ID,圖片網址,,座標,地址,候選人名稱,次要,共同,看板標語,標語 tag,黨徽,可能須排除,原始答案
1,/proj-assets/election-board/uploads/images/1538387921-b04b57fa3fe29edb2a5dd1d68b8682aa.jpeg,7,POINT(25.0459888888889 121.567436111111),台北信義台北市東西向快速道路276號,葉智遠,,,"讓台灣走得遠,爭取學生坐捷運免費","政策,學生",,,葉智遠=3 =0
2,/proj-assets/election-board/uploads/images/1538387972-0dc76e6df28b992e5fa3fa23598d4412.jpeg,7,POINT(25.0453194444444 121.568838888889),台北信義永吉路30巷3號,秦慧珠,,,博士,學歷,,,秦慧珠=2 =0
3,/proj-assets/election-board/uploads/images/1538388056-828985c872c943722bb85cc2cd09105a.jpeg,7,POINT(25.0490888888889 121.565588888889),台北松山東興路22號,戴錫欽,,,戴動台北,姓名諧音,,,戴錫欽=7 許家蓓=3 =0
3,/proj-assets/election-board/uploads/images/1538388056-828985c872c943722bb85cc2cd09105a.jpeg,7,POINT(25.0490888888889 121.565588888889),台北松山東興路22號,許家蓓,,,,,,,戴錫欽=7 許家蓓=3 =0
4,/proj-assets/election-board/uploads/images/1538388053-4e07eec3f16112ee220ce9d04f9db133.jpeg,7,POINT(24.9771388888889 121.444961111111),新北土城學府路二段222號,曾進益,,蘇貞昌,議員第一衝,姓名諧音,,,曾進益=3 蘇貞昌=1 =0
4,/proj-assets/election-board/uploads/images/1538388053-4e07eec3f16112ee220ce9d04f9db133.jpeg,7,POINT(24.9771388888889 121.444961111111),新北土城學府路二段222號,蘇貞昌,,曾進益,議員第一衝,姓名諧音,,,
5,/proj-assets/election-board/uploads/images/1538388101-c00f2a8aa484e8d60ca7b17b9e219fe3.jpeg,7,POINT(25.0630027777778 121.516463888889),台北大同民權西路153號,葉林傳,,,民意傳真,姓名諧音,,,葉林傳=5 =0
6,/proj-assets/election-board/uploads/images/1538388101-78b427c8d4605a6c89681f95b7160a3d.jpeg,7,POINT(24.9926916666667 121.541694444444),台北文山羅斯福路6段216號景美站,歐陽龍,,,"誠懇信任,用愛打造新台北",,,,歐陽龍=2 耿葳=2 =0
6,/proj-assets/election-board/uploads/images/1538388101-78b427c8d4605a6c89681f95b7160a3d.jpeg,7,POINT(24.9926916666667 121.541694444444),台北文山羅斯福路6段216號景美站,耿葳,,,,,,,歐陽龍=2 耿葳=2 =0
7,/proj-assets/election-board/uploads/images/1538388137-015bd87c9cf4145f68aab82d8d2759ed.jpeg,7,POINT(25.0630055555556 121.51645),台北大同民權西路153號,林國成,,,"民生第一,台北監督連線",所屬團體,,,林國成=2 =0
