"","縣市","姓名","金額","描述","link","選舉","推薦政黨","當選註記","count"
"1","彰化縣","白玉如",174659,"宣傳支出中，有標示廣告看板支出細項，共申報2筆。總金額為174659元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1o60vrE00sjwfWO_C3VP3hkKjqccOfDCt5Of4UY35FnA/edit?usp=sharing","2018 議員","中國國民黨","*",1
"2","新竹市","蔡惠婷",309425,"宣傳支出中，有標示廣告看板支出細項，共申報27筆。總金額為309425元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1Dv7t54hCPD8Y1_TN_QPRrYrDl5hp3aIWQ3dK6pkQb-w/edit?usp=sharing","2018 議員","時代力量","*",1
"3","高雄市","蔡金晏",41550,"宣傳支出中，有標示廣告看板支出細項，共申報2筆。總金額為41550元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1VP-vTfNqlUhIWqLXyTzGFRAuuI7FhAw06Q7I6zku2c4/edit?usp=sharing","2018 議員","中國國民黨","*",2
"4","新北市","蔡明堂",2004490,"宣傳支出中，有標示廣告看板支出細項，共申報10筆。總金額為2004490元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1vgWjCVdDn94-ANlXOG7a_Ug__ZFlUDF9RGVZTmoUVGM/edit?usp=sharing","2018 議員","中國國民黨","*",3
"5","新北市","蔡淑君",1258400,"宣傳支出中，有標示廣告看板支出細項，共申報12筆。總金額為1258400元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1FVDltkTbm66APa9k2ZXCfyquScFJ_ia8m43ZWWuTZbw/edit?usp=sharing","2018 議員","中國國民黨","*",5
"6","基隆市","蔡旺璉",86405,"宣傳支出中，有標示廣告看板支出細項，共申報1筆。總金額為86405元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1jAu6jRDUL7jUvFqFHb90aBqdcQu2Jb8o7ozaiV7dlYQ/edit?usp=sharing","2018 議員","中國國民黨","*",1
"7","高雄市","蔡武宏",932400,"宣傳支出中，有標示廣告看板支出細項，共申報1筆。總金額為932400元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1y-p61HJerO7POnrKnVwYvL5xT0fC0LZ9vCFA6d8yrMI/edit?usp=sharing","2018 議員","中國國民黨","*",4
"8","臺中市","蔡耀頡",469000,"宣傳支出中，有標示廣告看板支出細項，共申報7筆。總金額為469000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1quFrrnpeFiXkXVouvPAiuT_uUx5PsCZ6OTj2C-n-46g/edit?usp=sharing","2018 議員","民主進步黨","*",1
"9","基隆市","蔡長宏",2e+05,"宣傳支出中，有標示廣告看板支出細項，共申報1筆。總金額為200000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/17yK-29UqP27aL2PKuMZSSJ5cQhhtkIcv7-_k_0iI4w8/edit?usp=sharing","2018 議員","中國國民黨",NA,1
"10","臺中市","曾朝榮",141069,"宣傳支出中，有標示廣告看板支出細項，共申報16筆。總金額為141069元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1UmoF4HzQfA7j5f64rnv6GG8PwKkImiPmVWyRPh-YRoo/edit?usp=sharing","2018 議員","民主進步黨","*",2
"11","臺南市","曾信凱",813960,"宣傳支出中，有標示廣告看板支出細項，共申報28筆。總金額為813960元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1rTpFk5FLLgDUgkkhiA2iVIV_IDtnOJf43qZj_aZmFqo/edit?usp=sharing","2018 議員","無黨籍及未經政黨推薦","*",1
"12","臺南市","沈震東",1164000,"宣傳支出中，有標示廣告看板支出細項，共申報19筆。總金額為1164000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/10-uE2_8OdwD5XscB2QPyATR5xlYzNYkpMlTWhcPhWMo/edit?usp=sharing","2018 議員","民主進步黨","*",4
"13","臺南市","陳碧玉",1182304,"宣傳支出中，有標示廣告看板支出細項，共申報6筆。總金額為1182304元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1ZDQJ2ft0jzyL4etRbQKVdtAkkgVj6bTYQgczZ0i9jSA/edit?usp=sharing","2018 議員","民主進步黨","*",40
"14","臺北市","陳炳甫",42000,"宣傳支出中，有標示廣告看板支出細項，共申報1筆。總金額為42000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1pE-I471ryiFxkR3AF3tt6hmYUIOy-AJ6o33qvXy-bLU/edit?usp=sharing","2018 議員","中國國民黨","*",5
"15","臺中市","陳成添",160000,"宣傳支出中，有標示廣告看板支出細項，共申報1筆。總金額為160000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1V_w5_Hvgbak_EAxqg1YVDD7Kdw7q_PqUVSp6oJfG85o/edit?usp=sharing","2018 議員","中國國民黨","*",1
"16","臺北市","陳慈慧",646660,"宣傳支出中，有標示廣告看板支出細項，共申報5筆。總金額為646660元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1PlgaDcFfIDtpwpG8m4Rfme3pfEsibJ669aV48S64xMk/edit?usp=sharing","2018 議員","民主進步黨","*",1
"17","基隆市","陳東財",579900,"宣傳支出中，有標示廣告看板支出細項，共申報2筆。總金額為579900元，有區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1imTEs8baA5WBk7zpyiBEAU9ldsmVkk0AP5hx_GZ73Mc/edit?usp=sharing","2018 議員","民主進步黨",NA,2
"18","新北市","陳鴻源",21525,"宣傳支出中，有標示廣告看板支出細項，共申報1筆。總金額為21525元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/138OWdTZWc4KF5beryZsFMMyFMtYfcaPlTRLW9UP0lUg/edit?usp=sharing","2018 議員","中國國民黨","*",4
"19","新北市","陳錦錠",279000,"宣傳支出中，有標示廣告看板支出細項，共申報11筆。總金額為279000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/11KXYi1XN6zrUakit2fYqj8TJNwP_gZurphFrlg_HE5o/edit?usp=sharing","2018 議員","中國國民黨","*",2
"20","高雄市","陳麗珍",6000,"宣傳支出中，有標示廣告看板支出細項，共申報1筆。總金額為6000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1IOYxd73aRbB-XpztV9lsKqXUmmnnbljN3SoCiO6AUmc/edit?usp=sharing","2018 議員","中國國民黨","*",7
"21","高雄市","陳玫娟",1478087,"宣傳支出中，有標示廣告看板支出細項，共申報13筆。總金額為1478087元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1dXk_9Go5iDdIC6LUnUNUASxk--0eAh2vBLvdP1yHJgQ/edit?usp=sharing","2018 議員","中國國民黨","*",3
"22","屏東縣","陳明達",63170,"宣傳支出中，有標示廣告看板支出細項，共申報2筆。總金額為63170元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1FEK81Xw04aH12fawRk2MZ2-mb8ZT0b_hGr5_NKhn7Z8/edit?usp=sharing","2018 議員","民主進步黨","*",1
"23","新北市","陳明義",112000,"宣傳支出中，有標示廣告看板支出細項，共申報3筆。總金額為112000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1M8j4tDO_BO70v13jBAKcrjrNqH-rsh9aXVSogZw0R4Q/edit?usp=sharing","2018 議員","中國國民黨","*",1
"24","宜蘭縣","陳歐珀",2822161,"宣傳支出中，有標示廣告看板支出細項，共申報57筆。總金額為2822161元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1bvUDQst4C65hyoJwngN4Ia9pWFKtbjVMjEhMzf8uLgY/edit?usp=sharing","2018 縣市長","民主進步黨",NA,2
"25","高雄市","陳其邁",528000,"宣傳支出中，有標示廣告看板支出細項，共申報4筆。總金額為528000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1mm-wIrN_A550K1TsAW30c9C6SnIUx8z9U3BS9t6h0H0/edit?usp=sharing","2018 縣市長","民主進步黨",NA,3
"26","臺中市","陳世凱",390700,"宣傳支出中，有標示廣告看板支出細項，共申報8筆。總金額為390700元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1z2nnMRmaddtmfU4NCZVxQ361KgO8DHB9mxOwbkiSca4/edit?usp=sharing","2018 議員","民主進步黨","*",2
"27","新北市","陳世榮",605283,"宣傳支出中，有標示廣告看板支出細項，共申報6筆。總金額為605283元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1pnMDVQxctqHSDn502jtij6APRGByLJszPfb_Wp7iNaw/edit?usp=sharing","2018 議員","無黨籍及未經政黨推薦","*",1
"28","新北市","陳偉杰",487500,"宣傳支出中，有標示廣告看板支出細項，共申報10筆。總金額為487500元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1pCMQ8Uwuqm3vTKitA91kExyUJS_hWe7sq173lAKq4Ic/edit?usp=sharing","2018 議員","中國國民黨","*",2
"29","新北市","陳文治",1260000,"宣傳支出中，有標示廣告看板支出細項，共申報1筆。總金額為1260000元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1HGrFRKl0domxZP5lb2hkbneuiETCc_p9WrmCyfRxlV0/edit?usp=sharing","2018 議員","民主進步黨","*",1
"30","嘉義縣","陳文忠",111900,"宣傳支出中，有標示廣告看板支出細項，共申報2筆。總金額為111900元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1qiw3xttAgEZIzb9NWUEefY7wZTGtmNzgjOTG-Hxn7qA/edit?usp=sharing","2018 議員","無黨籍及未經政黨推薦","*",5
"31","臺北市","陳賢蔚",1610814,"宣傳支出中，有標示廣告看板支出細項，共申報3筆。總金額為1610814元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1l9jRVxyv9Ov1h_cVcBuXQkriNNQBMRHBquLJyK3YZeI/edit?usp=sharing","2018 議員","民主進步黨",NA,5
"32","桃園市","陳學聖",360307,"宣傳支出中，有標示廣告看板支出細項，共申報4筆。總金額為360307元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1z1tM53EqMGgr5XatCB5LEDsmbyLl0MyP9J1MysowJI8/edit?usp=sharing","2018 縣市長","中國國民黨",NA,1
"33","臺北市","陳彥伯",639450,"宣傳支出中，有標示廣告看板支出細項，共申報2筆。總金額為639450元，未區分單塊看板明細。","https://docs.google.com/spreadsheets/d/1XPIELjOmCczMTqZAtD8NKh9Prqk9lmpLfscGQSJjgTs/edit?usp=sharing","2018 議員","新黨",NA,1
