"prvCode","cityCode","deptCode","liCode","areaCode","TOWNCODE","VILLCODE","COUNTYCODE","COUNTYNAME","TOWNNAME","VILLNAME","areaName"
"10","002",NA,NA,"12","","","10002","宜蘭縣",NA,NA,"宜蘭縣第12選區"
"10","002","010",NA,"12","10002010","","10002","宜蘭縣","宜蘭市",NA,"宜蘭縣第12選區"
"10","002","040",NA,"12","10002040","","10002","宜蘭縣","頭城鎮",NA,"宜蘭縣第12選區"
"10","002","050",NA,"12","10002050","","10002","宜蘭縣","礁溪鄉",NA,"宜蘭縣第12選區"
"10","002","060",NA,"12","10002060","","10002","宜蘭縣","壯圍鄉",NA,"宜蘭縣第12選區"
"10","002","070",NA,"12","10002070","","10002","宜蘭縣","員山鄉",NA,"宜蘭縣第12選區"
"10","002","100",NA,"12","10002100","","10002","宜蘭縣","三星鄉",NA,"宜蘭縣第12選區"
"10","002","110",NA,"12","10002110","","10002","宜蘭縣","大同鄉",NA,"宜蘭縣第12選區"
"10","002",NA,NA,"13","","","10002","宜蘭縣",NA,NA,"宜蘭縣第13選區"
"10","002","020",NA,"13","10002020","","10002","宜蘭縣","羅東鎮",NA,"宜蘭縣第13選區"
"10","002","030",NA,"13","10002030","","10002","宜蘭縣","蘇澳鎮",NA,"宜蘭縣第13選區"
"10","002","080",NA,"13","10002080","","10002","宜蘭縣","冬山鄉",NA,"宜蘭縣第13選區"
"10","002","090",NA,"13","10002090","","10002","宜蘭縣","五結鄉",NA,"宜蘭縣第13選區"
"10","002","120",NA,"13","10002120","","10002","宜蘭縣","南澳鄉",NA,"宜蘭縣第13選區"
"10","004",NA,NA,"12","","","10004","新竹縣",NA,NA,"新竹縣第12選區"
"10","004","010",NA,"12","10004010","","10004","新竹縣","竹北市",NA,"新竹縣第12選區"
"10","004","030",NA,"12","10004030","","10004","新竹縣","新埔鎮",NA,"新竹縣第12選區"
"10","004","040",NA,"12","10004040","","10004","新竹縣","關西鎮",NA,"新竹縣第12選區"
"10","004","050",NA,"12","10004050","","10004","新竹縣","湖口鄉",NA,"新竹縣第12選區"
"10","004","060",NA,"12","10004060","","10004","新竹縣","新豐鄉",NA,"新竹縣第12選區"
"10","004","080",NA,"12","10004080","","10004","新竹縣","橫山鄉",NA,"新竹縣第12選區"
"10","004","120",NA,"12","10004120","","10004","新竹縣","尖石鄉",NA,"新竹縣第12選區"
"10","004",NA,NA,"13","","","10004","新竹縣",NA,NA,"新竹縣第13選區"
"10","004","020",NA,"13","10004020","","10004","新竹縣","竹東鎮",NA,"新竹縣第13選區"
"10","004","070",NA,"13","10004070","","10004","新竹縣","芎林鄉",NA,"新竹縣第13選區"
"10","004","090",NA,"13","10004090","","10004","新竹縣","北埔鄉",NA,"新竹縣第13選區"
"10","004","100",NA,"13","10004100","","10004","新竹縣","寶山鄉",NA,"新竹縣第13選區"
"10","004","110",NA,"13","10004110","","10004","新竹縣","峨眉鄉",NA,"新竹縣第13選區"
"10","004","130",NA,"13","10004130","","10004","新竹縣","五峰鄉",NA,"新竹縣第13選區"
"10","005",NA,NA,"08","","","10005","苗栗縣",NA,NA,"苗栗縣第08選區"
"10","005","010",NA,"08","10005010","","10005","苗栗縣","苗栗市",NA,"苗栗縣第08選區"
"10","005","020",NA,"08","10005020","","10005","苗栗縣","苑裡鎮",NA,"苗栗縣第08選區"
"10","005","030",NA,"08","10005030","","10005","苗栗縣","通霄鎮",NA,"苗栗縣第08選區"
"10","005","040",NA,"08","10005040","","10005","苗栗縣","竹南鎮",NA,"苗栗縣第08選區"
"10","005","050",NA,"08","10005050","","10005","苗栗縣","頭份市",NA,"苗栗縣第08選區"
"10","005","060",NA,"08","10005060","","10005","苗栗縣","後龍鎮",NA,"苗栗縣第08選區"
