選舉類型,選舉區,name,推薦之政黨,date of birth,號次
111年縣市長選舉,臺南市,黃偉哲,民主進步黨,1963,5
111年縣市長選舉,臺南市,吳炳輝,無,1967,4
111年縣市議員選舉,桃園市第12選舉區,吳宗憲,民主進步黨,1959,3
111年縣市議員選舉,桃園市第13選舉區,林志強,民主進步黨,1974,1
111年縣市議員選舉,桃園市第13選舉區,楊進福,無,1957,2
111年縣市議員選舉,桃園市第14選舉區,邱志成,民主進步黨,1973,4
111年縣市議員選舉,桃園市第1選舉區,黃瓊慧,民主進步黨,未知,26
111年縣市議員選舉,桃園市第2選舉區,林明義,中國國民黨,1968,8
111年縣市議員選舉,桃園市第4選舉區,郭麗華,民主進步黨,1965,2
111年縣市議員選舉,桃園市第5選舉區,林清松,無,1955,1
111年縣市議員選舉,桃園市第9選舉區,周玉琴,中國國民黨,1958,2
111年縣市議員選舉,高雄市第11選舉區,李雨庭,民主進步黨,1973,2
111年縣市議員選舉,高雄市第14選舉區,賴文德,無,1965,2
111年縣市議員選舉,高雄市第4選舉區,李柏毅,民主進步黨,1977,2
111年縣市議員選舉,高雄市第7選舉區,陳建良,無,未知,2
111年縣市議員選舉,高雄市第7選舉區,黃柏霖,中國國民黨,1967,12
111年縣市議員選舉,高雄市第7選舉區,曾俊傑,中國國民黨,1976,7
111年縣市議員選舉,高雄市第9選舉區,林智鴻,民主進步黨,1984,12
111年縣市議員選舉,新北市第13選舉區,林家豪,台灣民眾黨,未知,3
111年縣市議員選舉,新北市第2選舉區,蔡淑君,中國國民黨,1970,3
111年縣市議員選舉,新北市第2選舉區,陳明義,中國國民黨,1967,5
111年縣市議員選舉,新北市第4選舉區,黃桂蘭,中國國民黨,1957,6
111年縣市議員選舉,新北市第4選舉區,李翁月娥,無,1958,10
111年縣市議員選舉,新北市第4選舉區,李余典,民主進步黨,1958,4
111年縣市議員選舉,新北市第5選舉區,王淑慧,無,1955,5
111年縣市議員選舉,新北市第6選舉區,張嘉玲,民主進步黨,未知,9
111年縣市議員選舉,新北市第6選舉區,張志豪,民主進步黨,1981,10
111年縣市議員選舉,新北市第6選舉區,蔡明璋,新黨,1965,1
111年縣市議員選舉,新北市第7選舉區,陳鴻源,中國國民黨,1967,1
111年縣市議員選舉,新北市第8選舉區,黃永昌,中國國民黨,1962,3
111年縣市議員選舉,新北市第8選舉區,陳世榮,無,1957,13
111年縣市議員選舉,新北市第9選舉區,陳永福,民主進步黨,1958,4
111年縣市議員選舉,臺中市第11選舉區,李中,中國國民黨,1959,7
111年縣市議員選舉,臺中市第13選舉區,李天生,民主進步黨,1961,14
111年縣市議員選舉,臺中市第14選舉區,吳振嘉,中國國民黨,1970,1
111年縣市議員選舉,臺中市第15選舉區,吳建德,無,未知,5
111年縣市議員選舉,臺中市第15選舉區,洪志明,台灣民眾黨,未知,3
111年縣市議員選舉,臺中市第15選舉區,林清發,無,未知,2
111年縣市議員選舉,臺中市第16選舉區,林榮進,中國國民黨,1947,3
111年縣市議員選舉,臺中市第2選舉區,陳廷秀,無,1961,1
111年縣市議員選舉,臺中市第4選舉區,陳清龍,無,1965,10
111年縣市議員選舉,臺中市第4選舉區,謝志忠,民主進步黨,1969,6
111年縣市議員選舉,臺中市第5選舉區,蕭隆澤,民主進步黨,1960,2
111年縣市議員選舉,臺中市第6選舉區,陳淑華,民主進步黨,1970,4
111年縣市議員選舉,臺中市第6選舉區,黃馨慧,中國國民黨,1956,2
111年縣市議員選舉,臺中市第8選舉區,李文基,無,未知,4
111年縣市議員選舉,臺北市第1選舉區,陳慈慧,民主進步黨,1983,9
111年縣市議員選舉,臺北市第1選舉區,林世宗,民主進步黨,1959,6
111年縣市議員選舉,臺北市第2選舉區,陳志明,時代力量,1976,1
111年縣市議員選舉,臺北市第2選舉區,李明賢,中國國民黨,1973,4
