"name","other_names","gender","date of birth"
"黃瓊慧",NA,"","未知"
"陳建良",NA,"","未知"
"林家豪",NA,"","未知"
"張嘉玲",NA,"","未知"
"吳建德",NA,"","未知"
"洪志明",NA,"","未知"
"林清發",NA,"","未知"
"李文基",NA,"","未知"
"張志豪",NA,"","1972"
"林玉芬",NA,"","未知"
"林建志",NA,"","未知"
"陳建興",NA,"","未知"
"林志豪",NA,"","未知"
"陳志榮",NA,"","未知"
"鄭宇翔",NA,"","未知"
"曾尹儷",NA,"","未知"
"陳美妃",NA,"","未知"
"張家豪",NA,"","未知"
"陳時中",NA,"","未知"
"童文薰",NA,"","未知"
"鄭匡宇",NA,"","未知"
"黃聖峰",NA,"","未知"
"唐新民",NA,"","未知"
"王文娟",NA,"","未知"
"謝立康",NA,"","未知"
"劉哲夫",NA,"","未知"
"邱文威",NA,"","未知"
"陳姿伶 Amuy ．Muwakay",NA,"","未知"
"林春蘭",NA,"","未知"
"蔡惠蘭",NA,"","未知"
"蘇偉恩",NA,"","未知"
"周星文",NA,"","未知"
"歐蜜．偉浪",NA,"","未知"
"湯宏鈞",NA,"","未知"
"于北辰",NA,"","未知"
"呂儀恬",NA,"","未知"
"張凱翔",NA,"","未知"
"張碩芳",NA,"","未知"
"凌濤",NA,"","未知"
"陳品杰",NA,"","未知"
"藍士博",NA,"","未知"
"連俊男",NA,"","未知"
"陳葦澤",NA,"","未知"
"李宗豪",NA,"","未知"
"黃偉群",NA,"","未知"
"呂宇晟",NA,"","未知"
"邱述文",NA,"","未知"
"許家睿",NA,"","未知"
"趙宏勳",NA,"","未知"
"伍世文",NA,"","未知"
"徐鈺雯",NA,"","未知"
"余適霖",NA,"","未知"
"錢龍",NA,"","未知"
"林宥辰",NA,"","未知"
"徐慈檉",NA,"","未知"
"簡維成",NA,"","未知"
"毛嘉慶",NA,"","未知"
"林昭印",NA,"","未知"
"吳正吉",NA,"","未知"
"游智彬",NA,"","未知"
"黃柏儒",NA,"","未知"
"李荳芽",NA,"","未知"
"謝克洋",NA,"","未知"
"高宇彥",NA,"","未知"
"曾姸潔",NA,"","未知"
"陳韋曄",NA,"","未知"
"陳羽凡",NA,"","未知"
"蕭立妍",NA,"","未知"
"張清俊",NA,"","未知"
"黃彥毓",NA,"","未知"
"黃敬雅",NA,"","未知"
"黃雍琇",NA,"","未知"
"湯茹婷",NA,"","未知"
"陳識明",NA,"","未知"
"余宗熹",NA,"","未知"
"洪村銘",NA,"","未知"
"楊佩樺",NA,"","未知"
"張雨柔",NA,"","未知"
"蔡永晶",NA,"","未知"
"巫振興",NA,"","未知"
"余葆祈 FotolKila",NA,"","未知"
"葛姵瑩",NA,"","未知"
"林錫閔",NA,"","未知"
"高忠德 Takiludun .Anu",NA,"","未知"
"林榮昊",NA,"","未知"
"林慧欣",NA,"","未知"
"陳慶鴻",NA,"","未知"
"劉航遠",NA,"","未知"
"黃思學",NA,"","未知"
"黃偵琳",NA,"","未知"
"陳子瑜",NA,"","未知"
"鄭侑青",NA,"","未知"
"劉宥廷",NA,"","未知"
"劉文晏",NA,"","未知"
"白喬茵",NA,"","未知"
"黃飛鳳",NA,"","未知"
"張婷婷",NA,"","未知"
"張惟晴",NA,"","未知"
"謝誌峰",NA,"","未知"
"劉家榮",NA,"","未知"
"張博洋",NA,"","未知"
"王文心",NA,"","未知"
"湯詠瑜",NA,"","未知"
"許釆蓁",NA,"","未知"
"蘇致榮",NA,"","未知"
"徐尚賢",NA,"","未知"
"羅章譽",NA,"","未知"
"陳妙真",NA,"","未知"
"顧崇德",NA,"","未知"
"蕭敬嚴",NA,"","未知"
"彭立信",NA,"","未知"
"吳國譽 La Ace Aming",NA,"","未知"
"楊曉君",NA,"","未知"
"林霈宸",NA,"","未知"
"藞妏・尼卡兒",NA,"","未知"
"楊萬金",NA,"","未知"
"何應明",NA,"","未知"
"陳家琪",NA,"","未知"
"彭莉惠",NA,"","未知"
"黃琦翔",NA,"","未知"
"李宇翔",NA,"","未知"
"郭原佑",NA,"","未知"
"吳香君",NA,"","未知"
"翁震州",NA,"","未知"
"黃聖超",NA,"","未知"
"林秉宥",NA,"","未知"
"郭岱軒",NA,"","未知"
"陳聰吉",NA,"","未知"
"戴湘儀",NA,"","未知"
"陳炫銘",NA,"","未知"
"王景弘",NA,"","未知"
"顏蔚慈",NA,"","未知"
"林鼎超",NA,"","未知"
"陳宛毓",NA,"","未知"
"陳俊霖",NA,"","未知"
"吳訓孝",NA,"","未知"
"吳建智",NA,"","未知"
"顏維勲",NA,"","未知"
"山田摩衣",NA,"","未知"
"郭柏成",NA,"","未知"
"王如意",NA,"","未知"
"陳逸展",NA,"","未知"
"簡元泰",NA,"","未知"
"彭一書",NA,"","未知"
"高乃芸",NA,"","未知"
"卓冠廷",NA,"","未知"
"王正",NA,"","未知"
"呂家愷",NA,"","未知"
"陳乃瑜",NA,"","未知"
"黃心華",NA,"","未知"
"許瑞宏",NA,"","未知"
"黃敬傑",NA,"","未知"
"何昆霖",NA,"","未知"
"陳雅惠",NA,"","未知"
"張鈺偵",NA,"","未知"
"林霈涵",NA,"","未知"
"林俊凱",NA,"","未知"
"徐小媚",NA,"","未知"
"黃佳恬",NA,"","未知"
"葉諾凡",NA,"","未知"
"吳吉森",NA,"","未知"
"林子傑",NA,"","未知"
"段中仁",NA,"","未知"
"鄒明諺",NA,"","未知"
"陳裕承",NA,"","未知"
"徐煊博",NA,"","未知"
"古秀英",NA,"","未知"
"劉新仁",NA,"","未知"
"孫造雄",NA,"","未知"
"紀金豐",NA,"","未知"
"陳怡萱",NA,"","未知"
"陳奇勳",NA,"","未知"
"林昊佑",NA,"","未知"
"曾威",NA,"","未知"
"陳玄曄",NA,"","未知"
"宋柏誼",NA,"","未知"
"魏嘉慶",NA,"","未知"
"楊文元",NA,"","未知"
"廖芝晏",NA,"","未知"
"邱愛珊",NA,"","未知"
"傅智恒",NA,"","未知"
"吳呈賢",NA,"","未知"
"黃威堯",NA,"","未知"
"黃郁芩",NA,"","未知"
"鄭勁節",NA,"","未知"
"邢振華",NA,"","未知"
"曾崇芳",NA,"","未知"
"張仲翹",NA,"","未知"
"楊大鋐",NA,"","未知"
"羅東霖",NA,"","未知"
"洪鑫任",NA,"","未知"
"何坤鑫",NA,"","未知"
"謝家宜",NA,"","未知"
"陳俞融",NA,"","未知"
"林欣德",NA,"","未知"
"林志穎",NA,"","未知"
"林延鳳",NA,"","未知"
"陳思宇",NA,"","未知"
"項豪",NA,"","未知"
"黃瀞瑩",NA,"","未知"
"鄭穎隆",NA,"","未知"
"郝淑薏",NA,"","未知"
"何孟樺",NA,"","未知"
"陳宥丞",NA,"","未知"
"吳欣岱",NA,"","未知"
"詹為元",NA,"","未知"
"楊寶楨",NA,"","未知"
"張文潔",NA,"","未知"
"高毓安",NA,"","未知"
"郭榮先",NA,"","未知"
"柳采葳",NA,"","未知"
"林珍羽",NA,"","未知"
"連紹傑",NA,"","未知"
"徐千淳",NA,"","未知"
"曾琳詒",NA,"","未知"
"郭智亭",NA,"","未知"
"邵維倫",NA,"","未知"
"吳怡萱",NA,"","未知"
"洪婉臻",NA,"","未知"
"李有宜",NA,"","未知"
"李菁琪",NA,"","未知"
"謝和弦",NA,"","未知"
"王麒傑",NA,"","未知"
"呂增塔",NA,"","未知"
"楊植斗",NA,"","未知"
"趙怡翔",NA,"","未知"
"張四維",NA,"","未知"
"陳聖文",NA,"","未知"
"高揚凱",NA,"","未知"
"林泓泰",NA,"","未知"
"鄭淑娟",NA,"","未知"
"林岳龍",NA,"","未知"
"林元敏",NA,"","未知"
"徐正文",NA,"","未知"
"吳郁瑾 Sawmah Kawlo",NA,"","未知"
"陳慧君 Mulas・Ismahasan",NA,"","未知"
"高為人 Sayun Watan",NA,"","未知"
"蔡宛秦",NA,"","未知"
"曾之婕",NA,"","未知"
"邱瓊儀",NA,"","未知"
"陳皇宇",NA,"","未知"
"賴惠美",NA,"","未知"
"施余興望 Tjakumay Tagaw",NA,"","未知"
"王宣貿",NA,"","未知"
"廖志峯",NA,"","未知"
"姚正玉",NA,"","未知"
"黄建昌",NA,"","未知"
"謝舒凡",NA,"","未知"
"蔣琦君",NA,"","未知"
"姜雨良",NA,"","未知"
"余柷青",NA,"","未知"
"洪岳銘",NA,"","未知"
"蔡麗青",NA,"","未知"
"陳建大明",NA,"","未知"
"王明彥",NA,"","未知"
"陳進星",NA,"","未知"
"陳詩薇",NA,"","未知"
"邱昭勝",NA,"","未知"
"陳瑜緁",NA,"","未知"
"黃肇輝",NA,"","未知"
"吳依潔",NA,"","未知"
"許崇洲",NA,"","未知"
"朱正軒",NA,"","未知"
"江品璁",NA,"","未知"
"林冠維",NA,"","未知"
"杜雪吟",NA,"","未知"
"李冠霖",NA,"","未知"
"周嘉韋",NA,"","未知"
"蔡宗豪",NA,"","未知"
"林依婷",NA,"","未知"
"陳琬惠",NA,"","未知"
"許鋐哲",NA,"","未知"
"谷辣斯・尤達卡 Kolas Yotaka",NA,"","未知"
"朱紀瑋",NA,"","未知"
"周春米",NA,"","未知"
"詹智鈞",NA,"","未知"
"謝褔弘",NA,"","未知"
"吳盛聖",NA,"","未知"
"黃希賢",NA,"","未知"
"曾國民",NA,"","未知"
"曹爾元",NA,"","未知"
"王忠銘",NA,"","未知"
"高虹安",NA,"","未知"
"沈慧虹",NA,"","未知"
"蔡松益",NA,"","未知"
"黃紹聰",NA,"","未知"
"王育敏",NA,"","未知"
"蕭仁正",NA,"","未知"
"陳長宏",NA,"","未知"
"謝正信",NA,"","未知"
"沈志弘",NA,"","未知"
"游吉祥",NA,"","未知"
"黃惠慈",NA,"","未知"
"胡健森",NA,"","未知"
"尤文瀚",NA,"","未知"
"潘淑芬",NA,"","未知"
"陳漢澤",NA,"","未知"
"張勝德",NA,"","未知"
"魯秀傑",NA,"","未知"
"吳長青",NA,"","未知"
"林聰池",NA,"","未知"
"楊坊翔",NA,"","未知"
"江汶賢",NA,"","未知"
"林佩螢",NA,"","未知"
"張芷珊",NA,"","未知"
"吳珮菱",NA,"","未知"
"江信賢",NA,"","未知"
"林則葹",NA,"","未知"
"林品仰",NA,"","未知"
"王格致",NA,"","未知"
"潘璿安",NA,"","未知"
"督固・撒耘",NA,"","未知"
"林資斌",NA,"","未知"
"葉志豪",NA,"","未知"
"何進雄 Kin Cian・Ri Pun",NA,"","未知"
"陳德仁",NA,"","未知"
"陳泱瑚",NA,"","未知"
"蔡其雍",NA,"","未知"
"許大鴻",NA,"","未知"
"周曉芸",NA,"","未知"
"張雲量",NA,"","未知"
"黃子誠",NA,"","未知"
"楊育菡",NA,"","未知"
"陳錦偉",NA,"","未知"
"吳佩雯",NA,"","未知"
"歐陽豪",NA,"","未知"
"吳嘉將",NA,"","未知"
"張婉慈",NA,"","未知"
"賴世皎",NA,"","未知"
"簡千翔",NA,"","未知"
"張錫淵",NA,"","未知"
"白騏澤",NA,"","未知"
"吳棋楠",NA,"","未知"
"曾琮愷",NA,"","未知"
"邱奇才",NA,"","未知"
"王鵬霖",NA,"","未知"
"林佑虔",NA,"","未知"
"沈夙崢",NA,"","未知"
"林儒暘",NA,"","未知"
"林友友",NA,"","未知"
"阮惠心",NA,"","未知"
"李帛璋",NA,"","未知"
"涂恩平",NA,"","未知"
"陳奎合",NA,"","未知"
"李天慧",NA,"","未知"
"黃春麟",NA,"","未知"
"李廣演",NA,"","未知"
"蘇昱誠",NA,"","未知"
"江秉翰",NA,"","未知"
"廖崧皓",NA,"","未知"
"陸宥熹",NA,"","未知"
"越秋女",NA,"","未知"
"羅俊傑",NA,"","未知"
"周陳曉玟",NA,"","未知"
"梁育慈",NA,"","未知"
"陳炫言",NA,"","未知"
"蘇煥鈞",NA,"","未知"
"陳秋豪",NA,"","未知"
"趙文俊",NA,"","未知"
"李承育",NA,"","未知"
"梁梅瑛",NA,"","未知"
"陳韋強",NA,"","未知"
"蘇孟婕",NA,"","未知"
"鍾詔元",NA,"","未知"
"曾德正",NA,"","未知"
"蕭禾秦",NA,"","未知"
"陳宗廷",NA,"","未知"
"吳慈慧",NA,"","未知"
"潘敏泉",NA,"","未知"
"林宇澤",NA,"","未知"
"呂少麒",NA,"","未知"
"張榮傑",NA,"","未知"
"潘芳泉",NA,"","未知"
"潘翠雲",NA,"","未知"
"羅以明",NA,"","未知"
"黃萬盛",NA,"","未知"
"黎尚安",NA,"","未知"
"翁杰",NA,"","未知"
"謝大山",NA,"","未知"
"葉忠倫",NA,"","未知"
"邱毓興",NA,"","未知"
"吳亭亭",NA,"","未知"
"劉治竑",NA,"","未知"
"吳翌立",NA,"","未知"
"李本欽",NA,"","未知"
"鍾維發",NA,"","未知"
"徐沄臻",NA,"","未知"
"蕭詠萱",NA,"","未知"
"饒斯淵",NA,"","未知"
"黎光明",NA,"","未知"
"劉恭銘",NA,"","未知"
"林志學",NA,"","未知"
"盛瑛",NA,"","未知"
"朱仲一",NA,"","未知"
"黃月娥 Yuma Baysu",NA,"","未知"
"林毓峯",NA,"","未知"
"許睿慈",NA,"","未知"
"紀珈",NA,"","未知"
"李嘉濠",NA,"","未知"
"李依芩",NA,"","未知"
"紀文荃",NA,"","未知"
"徐佑昇",NA,"","未知"
"梁堂華",NA,"","未知"
"吳驊珈",NA,"","未知"
"黃紀棠",NA,"","未知"
"黃永翔",NA,"","未知"
"江欣怡",NA,"","未知"
"劉韋巡",NA,"","未知"
"莫璦緁",NA,"","未知"
"陳冠羽",NA,"","未知"
"林坤明",NA,"","未知"
"曾怡芳",NA,"","未知"
"陳愷閎",NA,"","未知"
"王尚潔",NA,"","未知"
"劉浩晨",NA,"","未知"
"陳善澔",NA,"","未知"
"陳芳盈",NA,"","未知"
"林聖智",NA,"","未知"
"林靖冠",NA,"","未知"
"張光儀",NA,"","未知"
"黃英學",NA,"","未知"
"陳世彬",NA,"","未知"
"吳錦凉",NA,"","未知"
"魏順興",NA,"","未知"
"楊國寬",NA,"","未知"
"顏嘉葦",NA,"","未知"
"何志勇",NA,"","未知"
"宋品瑩",NA,"","未知"
"陳清智",NA,"","未知"
"劉彥伶",NA,"","未知"
"周莉柔",NA,"","未知"
"謝佩妤",NA,"","未知"
"劉明鴻",NA,"","未知"
"黃家曄",NA,"","未知"
"黃耀正",NA,"","未知"
"陳鶴文",NA,"","未知"
"許登淇",NA,"","未知"
"黃立達",NA,"","未知"
"施淑婷",NA,"","未知"
"曾泰程",NA,"","未知"
"鄭慶欽",NA,"","未知"
"楊玲宜",NA,"","未知"
"吳旭豐",NA,"","未知"
"曾沛騰",NA,"","未知"
"劉昊禮",NA,"","未知"
"湯惠鈴",NA,"","未知"
"法隆伊佑",NA,"","未知"
"張雁萍",NA,"","未知"
"范植華",NA,"","未知"
"鄭福強",NA,"","未知"
"徐勝凌",NA,"","未知"
"吳發勝",NA,"","未知"
"徐瑜新",NA,"","未知"
"呂宛庭",NA,"","未知"
"馮守亮",NA,"","未知"
"鄭正",NA,"","未知"
"陳晏華",NA,"","未知"
"彭致豪",NA,"","未知"
"林若宸",NA,"","未知"
"翁渙瑤",NA,"","未知"
"郭定緯",NA,"","未知"
"梁樹綸",NA,"","未知"
"林昱孜",NA,"","未知"
"顏色不分藍綠支持性專區顏色田慎節",NA,"","未知"
"吳家慧",NA,"","未知"
"洪瑋庭",NA,"","未知"
"林煒軒",NA,"","未知"
"張閔舜",NA,"","未知"
"李錦洋",NA,"","未知"
"蔡坤叡",NA,"","未知"
"黃敏修",NA,"","未知"
"江佩曄",NA,"","未知"
"陳主明",NA,"","未知"
"黃惠汝",NA,"","未知"
"劉宜奮",NA,"","未知"
"洪安仁",NA,"","未知"
"林岱杰",NA,"","未知"
"郭金雀",NA,"","未知"
"高子羚",NA,"","未知"
"黃啟豪",NA,"","未知"
"何文華",NA,"","未知"
"莊信宗",NA,"","未知"
"劉世承",NA,"","未知"
"王啟瑞",NA,"","未知"
