選舉類型,地區,姓名,當選註記,,,,,,
1994直轄市議員選舉,臺北市第01選區,陳進祺,*,,,,,,
1994直轄市議員選舉,臺北市第01選區,陳政忠,*,,,,,,
1994直轄市議員選舉,臺北市第01選區,陳勝宏,*,,,,,,
1994直轄市議員選舉,臺北市第01選區,陳雪芬,*,,,,,,
1994直轄市議員選舉,臺北市第01選區,林瑞圖,*,,,,,,
1994直轄市議員選舉,臺北市第01選區,吳碧珠,*,,,,,,
1994直轄市議員選舉,臺北市第01選區,魏億龍,*,,,,,,
1994直轄市議員選舉,臺北市第01選區,賁馨儀,*,,,,,,
1994直轄市議員選舉,臺北市第01選區,陳正德,*,,,,,,
1994直轄市議員選舉,臺北市第01選區,郭石吉,*,,,,,,
1994直轄市議員選舉,臺北市第02選區,賈毅然,*,,,,,,
1994直轄市議員選舉,臺北市第02選區,李建昌,*,,,,,,
1994直轄市議員選舉,臺北市第02選區,陳建治,*,,,,,,
1994直轄市議員選舉,臺北市第02選區,李金璋,*,,,,,,
1994直轄市議員選舉,臺北市第02選區,廖彬良,*,,,,,,
1994直轄市議員選舉,臺北市第02選區,謝英美,*,,,,,,
1994直轄市議員選舉,臺北市第03選區,秦茂松,*,,,,,,
1994直轄市議員選舉,臺北市第03選區,王昆和,*,,,,,,
1994直轄市議員選舉,臺北市第03選區,陳永德,*,,,,,,
1994直轄市議員選舉,臺北市第03選區,李逸洋,*,,,,,,
1994直轄市議員選舉,臺北市第03選區,璩美鳳,*,,,,,,
1994直轄市議員選舉,臺北市第03選區,費鴻泰,*,,,,,,
1994直轄市議員選舉,臺北市第03選區,許淵國,*,,,,,,
1994直轄市議員選舉,臺北市第03選區,卓榮泰,*,,,,,,
1994直轄市議員選舉,臺北市第03選區,秦慧珠,*,,,,,,
1994直轄市議員選舉,臺北市第04選區,楊鎮雄,*,,,,,,
1994直轄市議員選舉,臺北市第04選區,黃金如,*,,,,,,
1994直轄市議員選舉,臺北市第04選區,藍美津,*,,,,,,
1994直轄市議員選舉,臺北市第04選區,林晉章,*,,,,,,
1994直轄市議員選舉,臺北市第04選區,許木元,*,,,,,,
1994直轄市議員選舉,臺北市第04選區,陳玉梅,*,,,,,,
1994直轄市議員選舉,臺北市第04選區,謝明達,*,,,,,,
1994直轄市議員選舉,臺北市第05選區,李仁人,*,,,,,,
1994直轄市議員選舉,臺北市第05選區,陳學聖,*,,,,,,
1994直轄市議員選舉,臺北市第05選區,段宜康,*,,,,,,
1994直轄市議員選舉,臺北市第05選區,康水木,*,,,,,,
1994直轄市議員選舉,臺北市第05選區,林宏熙,*,,,,,,
1994直轄市議員選舉,臺北市第05選區,龐建國,*,,,,,,
1994直轄市議員選舉,臺北市第05選區,林美倫,*,,,,,,
1994直轄市議員選舉,臺北市第05選區,陳嘉銘,*,,,,,,
1994直轄市議員選舉,臺北市第06選區,黃義清,*,,,,,,
1994直轄市議員選舉,臺北市第06選區,柯景昇,*,,,,,,
1994直轄市議員選舉,臺北市第06選區,秦儷舫,*,,,,,,
1994直轄市議員選舉,臺北市第06選區,林慶隆,*,,,,,,
1994直轄市議員選舉,臺北市第06選區,蔣乃辛,*,,,,,,
1994直轄市議員選舉,臺北市第06選區,李承龍,*,,,,,,
1994直轄市議員選舉,臺北市第06選區,周柏雅,*,,,,,,
1994直轄市議員選舉,臺北市第06選區,陳錦祥,*,,,,,,
1994直轄市議員選舉,臺北市第06選區,李慶安,*,,,,,,
1994直轄市議員選舉,臺北市第06選區,鄧家基,*,,,,,,
1994直轄市議員選舉,臺北市第06選區,江蓋世,*,,,,,,
1994直轄市議員選舉,高雄市第01選區,陳漢昇,*,,,,,,
1994直轄市議員選舉,高雄市第01選區,李喬如,*,,,,,,
1994直轄市議員選舉,高雄市第01選區,蔡松雄,*,,,,,,
1994直轄市議員選舉,高雄市第01選區,蕭裕正,*,,,,,,
1994直轄市議員選舉,高雄市第01選區,張省吾,*,,,,,,
1994直轄市議員選舉,高雄市第01選區,陳明吉,*,,,,,,
1994直轄市議員選舉,高雄市第02選區,陳萬達,*,,,,,,
1994直轄市議員選舉,高雄市第02選區,藍星木,*,,,,,,
1994直轄市議員選舉,高雄市第02選區,楊色玉,*,,,,,,
1994直轄市議員選舉,高雄市第02選區,陳雲龍,*,,,,,,
1994直轄市議員選舉,高雄市第02選區,吳昱輝,*,,,,,,
1994直轄市議員選舉,高雄市第02選區,陳道實,*,,,,,,
1994直轄市議員選舉,高雄市第02選區,周鍾㴴,*,,,,,,
1994直轄市議員選舉,高雄市第03選區,蔡見興,*,,,,,,
1994直轄市議員選舉,高雄市第03選區,吳林淑敏,*,,,,,,
1994直轄市議員選舉,高雄市第03選區,曾長發,*,,,,,,
1994直轄市議員選舉,高雄市第03選區,林永堅,*,,,,,,
1994直轄市議員選舉,高雄市第03選區,劉少春,*,,,,,,
1994直轄市議員選舉,高雄市第03選區,吳重新,*,,,,,,
1994直轄市議員選舉,高雄市第03選區,黃添財,*,,,,,,
1994直轄市議員選舉,高雄市第03選區,黃昭星,*,,,,,,
1994直轄市議員選舉,高雄市第03選區,梅再興,*,,,,,,
1994直轄市議員選舉,高雄市第03選區,黃啟川,*,,,,,,
1994直轄市議員選舉,高雄市第04選區,湯金全,*,,,,,,
1994直轄市議員選舉,高雄市第04選區,龔瑞泰,*,,,,,,
1994直轄市議員選舉,高雄市第04選區,許崑源,*,,,,,,
1994直轄市議員選舉,高雄市第05選區,蔡龍居,*,,,,,,
1994直轄市議員選舉,高雄市第05選區,張瑞德,*,,,,,,
1994直轄市議員選舉,高雄市第05選區,陳田錨,*,,,,,,
1994直轄市議員選舉,高雄市第05選區,羅志明,*,,,,,,
1994直轄市議員選舉,高雄市第05選區,洪茂俊,*,,,,,,
1994直轄市議員選舉,高雄市第05選區,林滴娟,*,,,,,,
1994直轄市議員選舉,高雄市第05選區,黃芳仁,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,顏寶琴,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,郭玟成,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,王青,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,蔡媽福,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,楊振添,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,蔡慶源,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,朱安雄,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,江振陸,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,朱文慶,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,李復興,*,,,,,,
1994直轄市議員選舉,臺北市,李銀來,*,,,,,,
1994直轄市議員選舉,高雄市,高玉生,*,,,,,,
1998縣市議員選舉,屏東縣,陳惠琴,*,,,,,,
1998直轄市議員選舉,臺北市第01選區,陳正德,*,,,,,,
