選舉類型,地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
1994直轄市議員選舉,臺北市第01選區,陳進祺,1,男,1961,無,15891,0.0545,*,否
1994直轄市議員選舉,臺北市第01選區,趙叔鍵,2,男,1949,中國國民黨,4151,0.0142,,否
1994直轄市議員選舉,臺北市第01選區,孫潤本,3,男,1958,中國國民黨,9056,0.031,,否
1994直轄市議員選舉,臺北市第01選區,陳政忠,4,男,1955,中國國民黨,22438,0.0769,*,否
1994直轄市議員選舉,臺北市第01選區,蔡茂林,5,男,1947,中國國民黨,3900,0.0134,,否
1994直轄市議員選舉,臺北市第01選區,鄭貴夏,6,男,1945,中國國民黨,7209,0.0247,,否
1994直轄市議員選舉,臺北市第01選區,何春盛,7,男,1954,無,1962,0.0067,,否
1994直轄市議員選舉,臺北市第01選區,陳勝宏,8,男,1944,民主進步黨,13942,0.0478,*,否
1994直轄市議員選舉,臺北市第01選區,張秋雄,9,男,1937,中國國民黨,8640,0.0296,,是
1994直轄市議員選舉,臺北市第01選區,江碩平,10,男,1949,中國國民黨,9424,0.0323,,否
1994直轄市議員選舉,臺北市第01選區,莊瑞雲,11,男,1937,無,1266,0.0043,,否
1994直轄市議員選舉,臺北市第01選區,彭芝園,12,男,1954,新黨,12234,0.0419,,否
1994直轄市議員選舉,臺北市第01選區,趙志祿,13,男,1950,無,182,0.0006,,否
1994直轄市議員選舉,臺北市第01選區,葉有正,14,男,1936,無,3397,0.0116,,否
1994直轄市議員選舉,臺北市第01選區,陳耀煌,15,男,1955,無,3456,0.0118,,否
1994直轄市議員選舉,臺北市第01選區,黃宗文,16,男,1957,民主進步黨,7541,0.0258,,是
1994直轄市議員選舉,臺北市第01選區,羅斌,17,男,1933,無,124,0.0004,,否
1994直轄市議員選舉,臺北市第01選區,陳雪芬,18,女,1957,中國國民黨,25330,0.0868,*,是
1994直轄市議員選舉,臺北市第01選區,林瑞圖,19,男,1956,民主進步黨,43865,0.1503,*,是
1994直轄市議員選舉,臺北市第01選區,吳碧珠,20,女,1949,中國國民黨,15708,0.0538,*,是
1994直轄市議員選舉,臺北市第01選區,包崇敏,21,男,1955,無,1160,0.004,,否
