選舉類型,地區,姓名
2018縣市議員選舉,宜蘭縣,孫湯玉惠
2018縣市議員選舉,新竹縣,林秉君
2018縣市議員選舉,苗栗縣,楊文昌
2018縣市議員選舉,彰化縣,陳榮妹
2018縣市議員選舉,南投縣,石慶龍
2018縣市議員選舉,屏東縣,潘坤福
2018縣市議員選舉,臺東縣,陳政宗
2018縣市議員選舉,臺東縣,林琮翰
2018縣市議員選舉,臺東縣,方賢仁
2018縣市議員選舉,臺東縣,鄭崗山
2018縣市議員選舉,臺東縣,尤忠正
2018縣市議員選舉,臺東縣,楊清順
2018縣市議員選舉,臺東縣,高美珠
2018縣市議員選舉,臺東縣,楊秋珍
2018縣市議員選舉,花蓮縣,笛布斯・顗賚
2018縣市議員選舉,花蓮縣,李正文
2018縣市議員選舉,花蓮縣,周駿宥
2018縣市議員選舉,花蓮縣,賴國祥
2018縣市議員選舉,花蓮縣,蔡依靜
2018縣市議員選舉,花蓮縣,哈尼．噶照
2018縣市議員選舉,花蓮縣,陳英妹
2018縣市議員選舉,基隆市,陳明建
2018縣市議員選舉,新竹市,林慈愛
2018縣市議員選舉,宜蘭縣,陳傑麟
2018縣市議員選舉,宜蘭縣,松王淑珍
2018縣市議員選舉,新竹縣,劉建民
2018縣市議員選舉,新竹縣,張益生
2018縣市議員選舉,苗栗縣,黃月娥
2018縣市議員選舉,南投縣,全文才
2018縣市議員選舉,南投縣,廖文賢
2018縣市議員選舉,嘉義縣,武清山
2018縣市議員選舉,屏東縣,江金妹
2018縣市議員選舉,屏東縣,陸月嬌
2018縣市議員選舉,屏東縣,何長成
2018縣市議員選舉,屏東縣,潘正義
2018縣市議員選舉,屏東縣,周陳文彬
2018縣市議員選舉,屏東縣,李紀財
2018縣市議員選舉,屏東縣,林采穎
2018縣市議員選舉,屏東縣,杜仁勇
2018縣市議員選舉,臺東縣,古志成
2018縣市議員選舉,臺東縣,張全馨嵐
2018縣市議員選舉,臺東縣,章正輝
2018縣市議員選舉,臺東縣,蔡玉玲
2018縣市議員選舉,臺東縣,黃碧妹
2018縣市議員選舉,花蓮縣,許淑銀
2018縣市議員選舉,花蓮縣,簡智隆
2018縣市議員選舉,花蓮縣,高小成
2018縣市議員選舉,連江縣,曹爾章
2018縣市議員選舉,連江縣,林惠萍
2018縣市議員選舉,連江縣,陳書建
2018縣市議員選舉,連江縣,曹以標
2018縣市議員選舉,連江縣,林明揚
2018縣市議員選舉,連江縣,陳玉發
2018縣市議員選舉,連江縣,周瑞國
