議員,區域,value,關係,親屬姓名
于秀英,南投縣,張啟訓妻子,妻子,張啟訓
方一峰,臺南市,方隆盛兒子,兒子,方隆盛
方隆盛,臺南市,方一峰爸爸,爸爸,方一峰
王士壬,雲林縣,王鈺齊爸爸,爸爸,王鈺齊
王文怡,臺東縣,王飛龍女兒,女兒,王飛龍
王志雄,高雄市,王玉雲兒子,兒子,王玉雲
王玉雲,高雄市,王志雄媽媽,媽媽,王志雄
王昆和,臺北市,王博昱爸爸,爸爸,王博昱
王東一,嘉義縣,王啓澧爸爸,爸爸,王啓澧
王林美足,屏東縣,王薇茗媽媽,媽媽,王薇茗
王玲惠,臺中市,鄭逢時妻子,妻子,鄭逢時
王秋冬,臺中市,朱暖英丈夫,丈夫,朱暖英
王英三,臺中市,蔡鴻文姻親,姻親,蔡鴻文
蔡鴻文,臺中市,王英三姻親,姻親,王英三
王飛龍,臺東縣,王文怡爸爸,爸爸,王文怡
王啟敏,屏東縣,王鈺榮兒子,兒子,王鈺榮
王鈺榮,屏東縣,王啟敏爸爸,爸爸,王啟敏
王啓澧,嘉義縣,王東一兒子,兒子,王東一
王博昱,臺北市,王昆和兒子,兒子,王昆和
王焜弘,嘉義縣,王焜玄哥哥,哥哥,王焜玄
王焜玄,嘉義縣,王焜弘弟弟,弟弟,王焜弘
王翔鐘,基隆市,楊秀玉公公,公公,楊秀玉
王新展,屏東縣,陳惠琴丈夫,丈夫,陳惠琴
王鈺齊,雲林縣,王士壬女兒,女兒,王士壬
王薇茗,屏東縣,王林美足女兒,女兒,王林美足
田智宣,花蓮縣,張美慧丈夫,丈夫,張美慧
白玉如,彰化縣,白鴻森姪女,姪女,白鴻森
白玉如,彰化縣,白閔傑表妹,表妹,白閔傑
白鴻森,彰化縣,白閔傑爸爸,爸爸,白閔傑
白鴻森,彰化縣,白玉如舅舅,舅舅,白玉如
白閔傑,彰化縣,白鴻森兒子,兒子,白鴻森
白閔傑,彰化縣,白玉如表哥,表哥,白玉如
白權,彰化縣,周天啟女婿,女婿,周天啟
伊斯坦大・貝雅夫・正福,高雄市,謝貴來弟弟,弟弟,謝貴來
朱文慶,高雄市,朱有福兒子,兒子,朱有福
朱安雄,高雄市,朱挺玗爸爸,爸爸,朱挺玗
朱有福,高雄市,朱文慶爸爸,爸爸,朱文慶
朱挺玗,高雄市,朱安雄女兒,女兒,朱安雄
朱暖英,臺中市,王秋冬妻子,妻子,王秋冬
江上清,新北市,江永昌表哥,表哥,江永昌
江上清,新北市,趙長江兒子,兒子,趙長江
江正吉,臺中市,江肇國爸爸,爸爸,江肇國
江永昌,新北市,趙長江外甥,外甥,趙長江
江永昌,新北市,江上清表弟,表弟,江上清
趙長江,新北市,江上清爸爸,爸爸,江上清
趙長江,新北市,江永昌舅舅,舅舅,江永昌
江玲君,高雄市,江吉源女兒,女兒,江吉源
江吉源,高雄市,江玲君爸爸,爸爸,江玲君
江堅壽,臺東縣,鄭崗山表哥,表哥,鄭崗山
江肇國,臺中市,江正吉兒子,兒子,江正吉
何志偉,臺北市,陳勝宏兒子,兒子,陳勝宏
何春木,臺中市,何敏誠爸爸,爸爸,何敏誠
何敏誠,臺中市,何春木兒子,兒子,何春木
何傳,高雄市,何義哥哥,哥哥,何義
何義,遴選,何傳哥哥,哥哥,何傳
余邦彥,新竹市,余泉霖兒子,兒子,余泉霖
余政道,高雄市,余陳月瑛兒子,兒子,余陳月瑛
余政道,高雄市,余玲雅弟弟,弟弟,余玲雅
余泉霖,新竹市,余邦彥爸爸,爸爸,余邦彥
余玲雅,高雄市,余陳月瑛女兒,女兒,余陳月瑛
余玲雅,高雄市,余政道姊姊,姊姊,余政道
余陳月瑛,高雄市,余玲雅媽媽,媽媽,余玲雅
余陳月瑛,高雄市,余政道媽媽,媽媽,余政道
吳大清,高雄市,吳陳惠珍丈夫,丈夫,吳陳惠珍
吳陳惠珍,高雄市,吳大清妻子,妻子,吳大清
吳光誠,高雄市,吳珠惠兒子,兒子,吳珠惠
吳珠惠,高雄市,吳光誠媽媽,媽媽,吳光誠
吳伯雄,桃園市,吳志剛爸爸,爸爸,吳志剛
吳志剛,臺北市,吳伯雄兒子,兒子,吳伯雄
吳秀華,臺東縣,吳俊立妹妹,妹妹,吳俊立
吳俊立,臺東縣,吳秀華哥哥,哥哥,吳秀華
吳承璋,高雄市,李蕙蕙丈夫,丈夫,李蕙蕙
吳明浩,澎湖縣,吳政杰爸爸,爸爸,吳政杰
吳南河,臺南市,吳新榮兒子,兒子,吳新榮
吳新榮,臺南市,吳南河爸爸,爸爸,吳南河
吳建志,花蓮縣,吳國棟姪子,姪子,吳國棟
吳政杰,澎湖縣,吳明浩兒子,兒子,吳明浩
吳政勳,高雄市,李雨庭丈夫,丈夫,李雨庭
吳政勳,高雄市,吳鴻鳴兒子,兒子,吳鴻鳴
吳政勳,高雄市,李真和女婿,女婿,李真和
吳政勳,高雄市,李香蘭妹夫,妹夫,李香蘭
吳禹寰,臺南市,吳健保兒子,兒子,吳健保
吳秋齡,宜蘭縣,魏炎輝妻子,妻子,魏炎輝
吳修榮,雲林縣,吳天時兒子,兒子,吳天時
吳天時,雲林縣,吳修榮爸爸,爸爸,吳修榮
吳健保,臺南市,吳禹寰爸爸,爸爸,吳禹寰
吳國棟,花蓮縣,吳建志叔叔,叔叔,吳建志
吳棋祥,南投縣,羅美玲丈夫,丈夫,羅美玲
吳瑞芳,南投縣,林民政妻子,妻子,林民政
吳蕙蘭,雲林縣,李培元妻子,妻子,李培元
吳鴻森,新竹縣,吳鴻麟哥哥,哥哥,吳鴻麟
吳鴻麟,桃園市,吳鴻森弟弟,弟弟,吳鴻森
吳鴻鳴,高雄市,李雨庭公公,公公,李雨庭
吳鴻鳴,高雄市,吳政勳爸爸,爸爸,吳政勳
吳鴻鳴,高雄市,李真和姻親,姻親,李真和
吳鴻鳴,高雄市,李香蘭姻親,姻親,李香蘭
吳瓊華,臺中市,陳健楷妻子,妻子,陳健楷
吳瓊華,臺中市,陳忠順媳婦,媳婦,陳忠順
陳健楷,臺中市,吳瓊華丈夫,丈夫,吳瓊華
陳健楷,臺中市,陳忠順兒子,兒子,陳忠順
陳忠順,臺中市,陳健楷爸爸,爸爸,陳健楷
陳忠順,臺中市,吳瓊華公公,公公,吳瓊華
呂秀惠,嘉義縣,呂鍾葉女兒,女兒,呂鍾葉
呂鍾葉,嘉義縣,呂秀惠媽媽,媽媽,呂秀惠
呂林小鳳,桃園市,呂邱葉媳婦,媳婦,呂邱葉
呂邱葉,桃園市,呂林小鳳婆婆,婆婆,呂林小鳳
宋雨蓁,新北市,宋進財女兒,女兒,宋進財
宋進財,新北市,宋雨蓁爸爸,爸爸,宋雨蓁
宋瑋莉,基隆市,林家輝妻子,妻子,林家輝
宋賢一,臺東縣,顏金成大舅,大舅,顏金成
宋賢一,臺東縣,章正輝大舅,大舅,章正輝
宋麗華,屏東縣,蔡豪妻子,妻子,蔡豪
蔡豪,屏東縣,宋麗華丈夫,丈夫,宋麗華
李子駸,臺中市,李卿雲兒子,兒子,李卿雲
李中岑,臺南市,李慶信女兒,女兒,李慶信
李仁人,臺北市,李黃恒貞,女兒,李黃恒貞
李仁人,臺北市,郭昭巖媽媽,媽媽,郭昭巖
李仁人,臺北市,李務本女兒,女兒,李務本
李黃恒貞,臺北市,李務本妻子,妻子,李務本
李黃恒貞,臺北市,李仁人媽媽,媽媽,李仁人
李黃恒貞,臺北市,郭昭巖外婆,外婆,郭昭巖
李務本,臺北市,李黃恒貞丈夫,丈夫,李黃恒貞
李務本,臺北市,李仁人爸爸,爸爸,李仁人
李務本,臺北市,郭昭巖外公,外公,郭昭巖
李元風,臺南市,李武龍叔叔,叔叔,李武龍
李天佑,臺南市,謝龍介妻舅,妻舅,謝龍介
李文正,臺南市,李啓維爸爸,爸爸,李啓維
李文英,臺北市,李順德外孫女,外孫女,李順德
李順德,高雄市,李文英外公,外公,李文英
李世斌,屏東縣,邱連輝女婿,女婿,邱連輝
李全富,臺南市,李全教弟弟,弟弟,李全教
李全教,臺南市,李全富哥哥,哥哥,李全富
李亞築,高雄市,李長生女兒,女兒,李長生
李佩玲,嘉義市,張志成妻子,妻子,張志成
李佩玲,嘉義市,鄭秀英媳婦,媳婦,鄭秀英
李佳芬,雲林縣,李明哲姊姊,姊姊,李明哲
李佳芬,雲林縣,李日貴女兒,女兒,李日貴
李日貴,雲林縣,李佳芬爸爸,爸爸,李佳芬
李忠曆,嘉義市,李廣二兒子,兒子,李廣二
李明哲,雲林縣,李佳芬弟弟,弟弟,李佳芬
李明哲,雲林縣,李日貴兒子,兒子,李日貴
李日貴,雲林縣,李明哲爸爸,爸爸,李明哲
李武龍,臺南市,李元風姪子,姪子,李元風
