"","title","date","content"
"1","李克强：两岸同胞走得越近越亲 两岸关系发展就会越好越实"," 时间:2019-03-15 14:21　　　来源：新华网/中国政府网","　　3月15日上午十三届全国人大二次会议闭幕后，国务院总理李克强在人民大会堂三楼金色大厅会见采访十三届全国人大二次会议的中外记者并回答记者提出的问题。"
"2","李克强：两岸同胞走得越近越亲 两岸关系发展就会越好越实"," 时间:2019-03-15 14:21　　　来源：新华网/中国政府网","3月15日，国务院总理李克强在北京人民大会堂会见采访十三届全国人大二次会议的中外记者并答记者问。 新华社记者 沈伯韩 摄"
"3","李克强：两岸同胞走得越近越亲 两岸关系发展就会越好越实"," 时间:2019-03-15 14:21　　　来源：新华网/中国政府网","　　东森新闻云记者："
"4","李克强：两岸同胞走得越近越亲 两岸关系发展就会越好越实"," 时间:2019-03-15 14:21　　　来源：新华网/中国政府网","　　我想请教的是，今年年初习近平总书记在《告台湾同胞书》发表40周年纪念会上的重要讲话，在两岸引起广泛关注。外界很关注大陆今年会具体如何贯彻和落实，举例来说像促进两岸共同发展和两岸民众福祉方面。谢谢。"
"5","李克强：两岸同胞走得越近越亲 两岸关系发展就会越好越实"," 时间:2019-03-15 14:21　　　来源：新华网/中国政府网","　　国务院总理 李克强："
"6","李克强：两岸同胞走得越近越亲 两岸关系发展就会越好越实"," 时间:2019-03-15 14:21　　　来源：新华网/中国政府网","　　今年年初，习近平总书记在纪念《告台湾同胞书》发表40周年纪念会上的重要讲话，阐述了我们关于台湾问题的大政方针、原则立场。我们将继续坚持一个中国原则和“九二共识”，反对“台独”，促进两岸关系和平稳定发展，促进祖国和平统一。"
"7","李克强：两岸同胞走得越近越亲 两岸关系发展就会越好越实"," 时间:2019-03-15 14:21　　　来源：新华网/中国政府网","　　两岸同胞同根相系，我们愿意出台更多的优惠政策，让台湾同胞在大陆不论是投资兴业、就业就学、生活居住，都能够享受到和大陆同胞同等待遇。我们已经出台了促进两岸经济文化交流合作的“31条举措”，现在的问题是要把这“31条举措”扎扎实实地落到位，而且在这个过程当中，还应当有新的举措。因为两岸同胞共享发展机遇，走得越近越亲，两岸关系的发展就会越好越实。我们都希望能够共圆中华民族伟大复兴的梦想。谢谢。"
"8","李克强：两岸同胞走得越近越亲 两岸关系发展就会越好越实"," 时间:2019-03-15 14:21　　　来源：新华网/中国政府网",""
"9","李克强：港澳台投资可参照、或比照适用外商投资法"," 时间:2019-03-15 17:26　　　来源：新华网/中国政府网","　　3月15日上午十三届全国人大二次会议闭幕后，国务院总理李克强在人民大会堂三楼金色大厅会见采访十三届全国人大二次会议的中外记者并回答记者提出的问题。"
"10","李克强：港澳台投资可参照、或比照适用外商投资法"," 时间:2019-03-15 17:26　　　来源：新华网/中国政府网","3月15日，国务院总理李克强在北京人民大会堂会见采访十三届全国人大二次会议的中外记者并答记者问。 新华社记者 黄敬文 摄"
"11","李克强：港澳台投资可参照、或比照适用外商投资法"," 时间:2019-03-15 17:26　　　来源：新华网/中国政府网","　　香港凤凰卫视记者："
"12","李克强：港澳台投资可参照、或比照适用外商投资法"," 时间:2019-03-15 17:26　　　来源：新华网/中国政府网","　　我的问题是有关外商投资法，但是角度不太一样。因为我们特别关注到外商投资法当中并没有涉及到港澳台的投资，我想这会让港澳台各界有些不太理解。另外，我也仔细听了您刚刚关于对外开放的表述，其中也没有谈到港澳台，这会不会表明中央政府对待港澳台的投资政策上面会有一些调整呢？谢谢。"
"13","李克强：港澳台投资可参照、或比照适用外商投资法"," 时间:2019-03-15 17:26　　　来源：新华网/中国政府网","　　国务院总理 李克强："
"14","李克强：港澳台投资可参照、或比照适用外商投资法"," 时间:2019-03-15 17:26　　　来源：新华网/中国政府网","　　香港和澳门是中华人民共和国的特别行政区，海峡两岸同属一个中国，我们历来高度重视港澳台的投资，港澳到内地的投资占我们利用境外投资的70%，能不重视吗？我们会进一步发挥港澳作为单独关税区和自由港的作用。我刚才对台湾记者也说了，我们会为台胞来大陆投资兴业创造优惠的条件。"
"15","李克强：港澳台投资可参照、或比照适用外商投资法"," 时间:2019-03-15 17:26　　　来源：新华网/中国政府网","　　我这里要明确，港澳台投资是可以参照、或者比照适用刚刚通过的外商投资法，而且我们长期以来行之有效的一些制度安排和实际做法还要继续沿用，不仅不会影响，而且会有利于吸引港澳台的投资。国务院在制定有关法规或者有关政策性文件的过程中，会认真听取港澳台同胞的意见，切实保护好他们的合法权益，也欢迎有更多的港澳台投资。谢谢。"
"16","李克强：港澳台投资可参照、或比照适用外商投资法"," 时间:2019-03-15 17:26　　　来源：新华网/中国政府网",""
"17","国台办：任何“台独”分裂行径都阻挡不了两岸关系和平发展与祖国和平统一进程"," 时间:2019-03-13 16:22　　　来源：新华网","　　新华社北京3月12日电 针对蔡英文及民进党当局提出反制“一国两制”台湾方案，进一步恶化两岸关系，国台办发言人安峰山12日应询表示，近期，蔡英文及民进党当局的种种行径，本质就是破坏两岸关系和平发展前景，抗拒两岸和平统一大势、谋求“台独”分裂。其不断肆意攻击大陆，欺骗台湾民众，煽动两岸敌意，升高两岸对抗，恶化两岸关系，是在拿台湾民众的利益福祉做赌注，捞取选举私利，完全是为了一己之私、一党之私。陆委会更是变本加厉，处处设限，站在台湾同胞利益福祉的对立面，极力阻挡两岸同胞走近走实走好的步伐，只能是螳臂当车，不自量力。"
"18","国台办：任何“台独”分裂行径都阻挡不了两岸关系和平发展与祖国和平统一进程"," 时间:2019-03-13 16:22　　　来源：新华网","　　安峰山再次强调，“和平统一、一国两制”是我们一贯的基本方针。“一国两制”在台湾的具体实现形式会充分考虑台湾现实情况，会充分吸收两岸各界意见和建议，会充分照顾到台湾同胞利益和感情。任何逆潮流而动的“台独”分裂行径都阻挡不了两岸关系和平发展与祖国和平统一进程。"
"19","国台办：任何“台独”分裂行径都阻挡不了两岸关系和平发展与祖国和平统一进程"," 时间:2019-03-13 16:22　　　来源：新华网",""
"20","国台办：坚决反对我建交国和台湾地区进行任何形式官方往来"," 时间:2019-03-13 16:21　　　来源：新华网","　　新华社北京3月12日电（记者赵博）3月11日至12日，“印太地区保卫宗教自由公民社会对话”在台举办，美国国务院宗教自由无任所大使布朗贝克与会。国台办发言人安峰山12日应询指出，外交部已就此表明我态度。我要重申的是，我们坚决反对我建交国和台湾地区进行任何形式的官方往来，这一立场是一贯的、明确的。"
"21","国台办：坚决反对我建交国和台湾地区进行任何形式官方往来"," 时间:2019-03-13 16:21　　　来源：新华网",""
"22","习近平参加福建代表团审议"," 时间:2019-03-11 16:50　　　来源：新华网","习近平栗战书汪洋王沪宁赵乐际分别参加全国人大会议一些代表团审议"
"23","习近平参加福建代表团审议"," 时间:2019-03-11 16:50　　　来源：新华网","　　新华社北京3月10日电 中共中央总书记、国家主席、中央军委主席习近平，中共中央政治局常委、全国人大常委会委员长栗战书，中共中央政治局常委、全国政协主席汪洋，中共中央政治局常委、中央书记处书记王沪宁，中共中央政治局常委、中央纪委书记赵乐际，10日分别参加了十三届全国人大二次会议一些代表团的审议。"
"24","习近平参加福建代表团审议"," 时间:2019-03-11 16:50　　　来源：新华网","3月10日，中共中央总书记、国家主席、中央军委主席习近平参加十三届全国人大二次会议福建代表团的审议。 新华社记者 李学仁 摄"
"25","习近平参加福建代表团审议"," 时间:2019-03-11 16:50　　　来源：新华网","3月10日，中共中央总书记、国家主席、中央军委主席习近平参加十三届全国人大二次会议福建代表团的审议。 新华社记者 鞠鹏 摄"
"26","习近平参加福建代表团审议"," 时间:2019-03-11 16:50　　　来源：新华网","3月10日，中共中央总书记、国家主席、中央军委主席习近平参加十三届全国人大二次会议福建代表团的审议。 新华社记者 鞠鹏 摄"
