台灣集團名稱,中港上市公司名稱,項目,董事長,總經理,行業別,台資,上市地點,股票代號,上市年份,幣別,狀態,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,記載欄位,備註,年報網址
鴻海集團,富智康集團,補助款,池育阳,鸿海精密工业股份有限公司,资讯科技器材,y,香港,2038,2005,美元,OK,6657000,5607000,8298000,10159000,4517000,5650000,16085000,17010000,27397000,49563000,66622000,6. 其他收入、收益及虧損,"
附註: 主要指本集團於中國業務獲授的津貼。",http://file.finance.sina.com.cn/hkdata98/hk/hk_realtime_announcement/news/20190409/003458039-0.PDF
,富智康集團,營收,池育阳,鸿海精密工业股份有限公司,资讯科技器材,y,香港,2038,2005,美元,OK,9271000000,7214000000,6626000000,6354000000,5240000000,4997000000,6830000000,7451000000,6233000000,12080000000,14930000000,,,
鴻海集團,富士康工业互联网股份有限公司,補助款,李军旗（中）,郑弘孟（台）,其它,y,上海,601138,2018,人民幣,OK,,,,,,,,,228211000,404114000,493092000,十、 非经常性损益项目和金额,计入当期损益的政府补助(与企业业务密切相关， 按照国家统一标准定额或定量享受的政府补助除 外),http://static.sse.com.cn/disclosure/listedinfo/announcement/c/2019-03-30/601138_2018_n.pdf
,富士康工业互联网股份有限公司,營收,李军旗（中）,郑弘孟（台）,,y,,,,人民幣,,,,,,,,,,272712651000,354543851000,415377697000,,"主管業務：各类电子设备产品的设计、研发、制造与销售业务,依托于工业互联...",
鴻海集團,雲智匯科技服務有限公司,,,,,,香港,1037,1994,,未拿補助,,,,,0,0,0,0,0,0,0,,,http://www3.hkexnews.hk/listedco/listconews/SEHK/2018/0426/LTN20180426780_C.pdf
鴻海集團,鴻騰六零八八精密科技,補助款,卢松青,Foxconn Far East Cayman,,y,香港,6088,2017,美元,OK,,,,,,,,,2543000,8523000,9211000,7 其他收入,,http://www3.hkexnews.hk/listedco/listconews/SEHK/2018/0429/LTN20180429070_C.pdf
,鴻騰六零八八精密科技,營收,卢松青,Foxconn Far East Cayman,,y,,,,美元,,,,,,,,2482214000,2327902000,2880260000,3398803000,4005635000,,,
鴻海集團,鴻海集團,補助款,,,,,,,,台幣,,,,,,,,,,,,,,,
,鴻海集團,營收,,,,,,,,台幣,,,,,,,,,,,,,,,
鴻海集團,鵬鼎控股（深圳）股份有限公司,,,,,,深圳,2938,2018,美元,2018才上市資料不全,,,,,,,,,,,,,「泛鴻海」集團,
頂新國際集團,康師傅控股有限公司,補助款,魏宏名,魏张绿云,食物饮品,y,香港,322,1996,美元／人民幣*,OK,17068000,33395000,38958000,28521000,35978000,47814000,50079000,44996000,44350000,89241000*,166140000*,9. 其他淨收入,,http://doc.irasia.com/listco/hk/tingyi/annual/2018/car2018.pdf
,康師傅控股有限公司,營收,魏宏名,魏张绿云,,y,,,,美元／人民幣*,,4272053000,5081113000,6681482000,7866580000,9211852000,10940996000,63170397000*,57277611000*,55578849000*,58953788000*,60685645000*,,,
統一集團,統一企業中國控股公司,補助款,罗智先,统一企业股份有限公司,食物饮品,y,香港,220,2007,人民幣,OK,37637000,29944000,30740000,57050000,96723000,236064000,24955000,38621000,43284000,135866000,151099000,8. 其他收入,政府補助收入指自中國多個地方政府收取的 即時財務支援，作為本集團附屬公司對其所 在地區經濟及發展所作貢獻的回報。該等政 府補助屬無條件，亦無附帶須於日後達成的 承諾。有關金額已於綜合損益表之「其他收 入 」內 確 認。,http://www.uni-president.com.cn/annual.asp
,統一企業中國控股公司,營收,罗智先,统一企业股份有限公司,资讯科技器材,y,,,,人民幣,,9241571000,9108610000,12590784000,16931929000,21405723000,23328991000,22487671000,22101871000,20985532000,20821949000,21772240000,,,
裕隆集團,無,,,,,,,,,人民幣,無上市公司,,,,,,,,,,,,,,http://www.yulon-motor.com.tw/upload_img/files/investors/裕隆汽車106年報0531.pdf
群光藍天集團,無,,,,,,,,,人民幣,無上市公司,,,,,,,,,,,,,,https://www.clevo.com.tw/Upload/InfoFile/2018Q1合併財務報告書.pdf
華新麗華集團,無,,,,,,,,,人民幣,無上市公司,,,,,,,,,,,,,,http://www.walsin.com/walsin/page.do?menuId=43&reportYear=2018
光寶集團,無,,,,,,,,,人民幣,無上市公司,,,,,,,,,,,,,,https://www.liteon.com/zh-tw/investor/financialreports/8
旺旺集團,中國旺旺控股有限公司,補助款,蔡衍明,WPHL,食物饮品,y,香港,151,2008,美元／人民幣*,OK,15058000,32560000,31122000,47416000,42703000,55394000,59884000,72425000,368789000*,624066000*（~2018-03-31）,,25. 其他收入,,http://www.want-want.com/Investor/Report_74029018386530304.aspx?fbclid=IwAR3KdU3ZPpROa89TRKiECbf6IqAfKxayGIhem402oj-Q1kotd_CZvBu2ykI
,中國旺旺控股有限公司,營收,蔡衍明,WPHL,,y,,,,美元／人民幣*,,1553868000,1710854000,2244111000,2946500000,3358653000,23630104000*,23200585000*,21389320000*,19710128000*,24854462000*,,,,
聯華神通集團,無,,,,,,,,,美元／人民幣*,無上市公司,,,,,,,,,,,,,,
永豐餘集團,永道無線射頻標籤,,,,,,,,,美元／人民幣*,今年才申請中國上市,,,,,,,,,,,,,,
大成長城集團,大成食品(亞洲)有限公司,補助款,韩家宸,大成长城企业股份有限公司,农业产品,y,香港,3999,2007,人民幣／美元*,OK,777000*,3696000,7709000,4114000,18631000,27288000,8952000,421000,1871000,4018000,4288000,5. 其他經營收入及其他淨收益/（虧損）,,http://www.ir-cloud.com/hongkong/03999/irwebsite_c/index.php?mod=finreports
