中港上市公司名稱,項目,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
羅普斯金,補助款佔營收比例,,,0.12%,0.01%,0.02%,0.16%,0.02%,3.16%,8.27%,4.42%,0.57%
艾艾精工,補助款佔營收比例,,,,,,,,,2.10%,3.37%,1.74%
中國旺旺控股有限公司*（旺旺）,補助款佔營收比例,0.97%,1.90%,1.39%,1.61%,1.27%,1.61%,1.77%,2.32%,1.87%,2.51%,
巨騰國際控股有限公司,補助款佔營收比例,,0.08%,0.07%,0.03%,0.10%,0.22%,1.35%,0.49%,1.82%,1.85%,0.53%
友佳國際控股有限公司,補助款佔營收比例,0.28%,0.10%,0.13%,0.05%,0.20%,0.49%,0.12%,0.00%,5.65%,1.71%,2.09%
惠倫晶體,補助款佔營收比例,,,,,,0.86%,0.97%,0.24%,0.57%,1.67%,1.62%
滬電股份,補助款佔營收比例,,,0.27%,0.26%,0.07%,0.06%,1.21%,1.61%,5.14%,1.39%,1.15%
富滿電子,補助款佔營收比例,,,,,,,,0.87%,1.34%,1.38%,2.73%
敏實集團有限公司,補助款佔營收比例,2.28%,0.17%,1.27%,1.92%,1.27%,0.99%,1.64%,1.18%,0.80%,1.23%,0.92%
自然美（東森）,補助款佔營收比例,0.37%,1.39%,1.93%,0.94%,1.17%,1.59%,0.42%,1.68%,1.37%,1.05%,0.60%
亞洲水泥中國控股公司（遠東）,補助款佔營收比例,0.63%,1.22%,0.29%,0.89%,1.10%,0.85%,0.93%,0.88%,0.79%,0.92%,0.84%
勁勝智能,補助款佔營收比例,,0.30%,0.53%,0.12%,0.26%,0.09%,0.25%,0.62%,0.68%,0.80%,0.73%
天福,補助款佔營收比例,,,0.41%,0.24%,0.59%,0.79%,0.65%,0.58%,0.69%,0.74%,1.05%
海鷗住工,補助款佔營收比例,0.40%,0.26%,0.40%,0.11%,0.62%,0.28%,0.15%,0.41%,0.53%,0.72%,0.60%
統一企業中國控股公司,補助款佔營收比例,0.41%,0.33%,0.24%,0.34%,0.45%,1.01%,0.11%,0.17%,0.21%,0.65%,0.69%
弘訊科技,補助款佔營收比例,,,,,,0.44%,0.34%,0.65%,1.79%,0.65%,1.53%
凱普松國際電子有限公司,補助款佔營收比例,0.94%,0.08%,0.00%,0.13%,0.23%,0.02%,0.24%,0.85%,0.39%,0.63%,0.85%
悦心健康,補助款佔營收比例,0.75%,2.52%,3.95%,1.12%,3.54%,6.18%,1.43%,0.28%,0.95%,0.60%,1.29%
哈森商貿,補助款佔營收比例,,,,,,,1.34%,2.10%,1.93%,0.55%,3.25%
漢鐘精機,補助款佔營收比例,0.70%,0.64%,1.29%,0.41%,0.12%,0.53%,0.52%,0.58%,0.54%,0.50%,0.47%
鼎捷軟件,補助款佔營收比例,,,,,0.48%,0.60%,0.98%,0.66%,0.50%,0.48%,0.31%
鷹美國際控股有限公司（寶成）,補助款佔營收比例,,,1.00%,0.79%,0.46%,0.24%,0.27%,0.19%,0.31%,0.47%,0.18%
九興控股有限公司,補助款佔營收比例,,,,,,0.05%,0.00%,0.34%,0.42%,0.46%,0.44%
金鴻順,補助款佔營收比例,,,,,,,,0.00%,0.00%,0.39%,0.31%
信隆健康,補助款佔營收比例,,0.14%,0.06%,0.25%,0.08%,0.22%,0.09%,0.17%,0.18%,0.37%,0.48%
優德精密,補助款佔營收比例,,,,,,,0.12%,0.16%,1.65%,0.33%,1.01%
優德精密,補助款佔營收比例,,,,,,,0.00%,0.16%,1.65%,0.33%,1.01%
元祖股份,補助款佔營收比例,,,,,,,0.24%,0.34%,0.35%,0.29%,0.29%
新萊應材,補助款佔營收比例,,,,3.07%,0.38%,0.26%,0.12%,0.34%,0.32%,0.25%,0.71%
亞翔集成,補助款佔營收比例,,,,,,,0.00%,0.00%,0.00%,0.18%,0.03%
鴻海集團*,補助款佔營收比例,0.07%,0.08%,0.13%,0.16%,0.09%,0.11%,0.17%,0.17%,0.13%,0.17%,0.19%
康師傅控股有限公司（頂新）,補助款佔營收比例,0.40%,0.66%,0.58%,0.36%,0.39%,0.44%,0.54%,0.54%,0.55%,0.15%,0.27%
味丹國際有限公司,補助款佔營收比例,,,,,,,,,,0.12%,0.06%
晉億實業,補助款佔營收比例,,0.21%,0.17%,0.36%,0.98%,0.69%,0.54%,0.27%,0.65%,0.11%,0.21%
環旭電子（日月光）,補助款佔營收比例,,0.07%,0.05%,0.09%,0.15%,0.10%,0.08%,0.07%,0.19%,0.07%,0.11%
大成食品亞洲有限公司,補助款佔營收比例,0.06%,0.04%,0.08%,0.04%,0.16%,0.23%,0.08%,0.00%,0.02%,0.05%,0.06%
達芙妮國際控股有限公司,補助款佔營收比例,0.09%,0.51%,0.46%,0.41%,0.47%,0.36%,0.01%,0.07%,0.09%,0.05%,0.46%
怡球金屬資源,補助款佔營收比例,,,0.17%,0.09%,0.16%,0.03%,0.07%,0.05%,0.14%,0.02%,0.04%
宏昌電子（台塑）,補助款佔營收比例,,,0.44%,0.19%,0.29%,0.02%,0.25%,0.57%,0.19%,0.02%,0.01%
大洋集團控股有限公司,補助款佔營收比例,0.04%,0.22%,0.23%,0.20%,0.18%,0.83%,0.42%,0.06%,0.03%,0.01%,1.36%
