區域,1989,1990,1991,1992,1993,1994,1995,1996
總計,1005915,1028939,1155417,1920233,3895972,4321284,4813269,5480416
香港*,291278,243168,292496,841653,1889297,1983568,2040183,2087301
澳門,,,,27342,62444,50944,,
台灣,,,47189,317994,313913,339134,316516,348202
日本,300268,302070,189405,105335,490602,306089,,
德國,24383,39848,24494,25665,27449,58374,,
法國,80169,57934,85322,77696,77475,73375,,
義大利,15542,12539,13221,26743,36165,52410,,
荷蘭,5298,5019,2952,3746,13421,12285,,
比利時,1042,4273,3153,1507,14684,38882,,
盧森堡,483,324,1435,1177,159,182,,
芬蘭,3952,6152,7672,1033,5913,694,,
英國,37536,51957,22734,21553,57066,108584,,
丹麥,2008,1547,2283,2471,817,165,,
瑞典,9621,6160,7780,12359,11903,10779,,
瑞士,4648,5809,9906,14704,9273,10644,,
奧地利,4921,20380,15626,16819,8883,4474,,
挪威,3478,1606,2037,1013,2028,1630,,
西班牙,4641,10969,21863,15524,24553,31417,,
加拿大,6768,24096,40334,27496,36176,64070,,
美國,39392,59614,44399,58114,266253,302686,,
世界銀行,102677,101061,117266,109704,190491,120040,,
其他,45134,48602,164233,137103,109375,546256,,
