區域,1989,1990,1991,1992,1993,1994,1995,1996
總計,1,1,1,1,1,1,1,1
香港*,29.0%,23.6%,25.3%,43.8%,48.5%,45.9%,42.4%,38.1%
澳門,0.0%,0.0%,0.0%,1.4%,1.6%,1.2%,0.0%,0.0%
台灣,0.0%,0.0%,4.1%,16.6%,8.1%,7.8%,6.6%,6.4%
日本,29.9%,29.4%,16.4%,5.5%,12.6%,7.1%,,
德國,2.4%,3.9%,2.1%,1.3%,0.7%,1.4%,,
法國,8.0%,5.6%,7.4%,4.0%,2.0%,1.7%,,
義大利,1.5%,1.2%,1.1%,1.4%,0.9%,1.2%,,
荷蘭,0.5%,0.5%,0.3%,0.2%,0.3%,0.3%,,
比利時,0.1%,0.4%,0.3%,0.1%,0.4%,0.9%,,
盧森堡,0.0%,0.0%,0.1%,0.1%,0.0%,0.0%,,
芬蘭,0.4%,0.6%,0.7%,0.1%,0.2%,0.0%,,
英國,3.7%,5.0%,2.0%,1.1%,1.5%,2.5%,,
丹麥,0.2%,0.2%,0.2%,0.1%,0.0%,0.0%,,
瑞典,1.0%,0.6%,0.7%,0.6%,0.3%,0.2%,,
瑞士,0.5%,0.6%,0.9%,0.8%,0.2%,0.2%,,
奧地利,0.5%,2.0%,1.4%,0.9%,0.2%,0.1%,,
挪威,0.3%,0.2%,0.2%,0.1%,0.1%,0.0%,,
西班牙,0.5%,1.1%,1.9%,0.8%,0.6%,0.7%,,
加拿大,0.7%,2.3%,3.5%,1.4%,0.9%,1.5%,,
美國,3.9%,5.8%,3.8%,3.0%,6.8%,7.0%,,
世界銀行,10.2%,9.8%,10.1%,5.7%,4.9%,2.8%,,
其他,4.5%,4.7%,14.2%,7.1%,2.8%,12.6%,,
