學校名稱,學校體系,學位,系所名稱,在學學生人數,陸生人數,陸生所佔百分比,公私立
臺灣海洋大學,一般大學,博,海洋工程科技博士學位學程,8,5,62.5%,公立
政治大學,一般大學,博,傳播學院博士班,42,26,61.9%,公立
世新大學,一般大學,博,傳播博士學位學程,61,35,57.4%,私立
政治大學,一般大學,博,社會工作研究所,17,9,52.9%,公立
實踐大學,一般大學,博,管理學院創意產業博士班,25,13,52.0%,私立
東海大學,一般大學,博,社會工作學系,43,20,46.5%,私立
銘傳大學,一般大學,博,企業管理學系,39,17,43.6%,私立
中華大學,一般大學,博,工程科學博士學位學程,14,6,42.9%,私立
臺灣藝術大學,一般大學,博,傳播學院影音創作與數位媒體產業博士班,12,5,41.7%,公立
輔仁大學,一般大學,碩,品牌與時尚經營管理碩士學位學程,22,9,40.9%,私立
臺灣科技大學,技專校院,博,設計系,56,21,37.5%,公立
臺灣藝術大學,一般大學,博,表演藝術學院表演藝術博士班,22,8,36.4%,公立
輔仁大學,一般大學,碩,經濟學系,22,8,36.4%,私立
政治大學,一般大學,博,英國語文學系,26,9,34.6%,公立
政治大學,一般大學,博,社會學系,12,4,33.3%,公立
政治大學,一般大學,博,國際經營與貿易學系,6,2,33.3%,公立
清華大學,一般大學,博,台灣文學研究所,21,7,33.3%,公立
臺北藝術大學,一般大學,博,文化資源學院文化資產與藝術創新博士班,18,6,33.3%,公立
體育大學,一般大學,碩,國際運動教練科學碩士學位學程,3,1,33.3%,公立
輔仁大學,一般大學,博,音樂學系,33,11,33.3%,私立
靜宜大學,一般大學,碩,大眾傳播學系,3,1,33.3%,私立
義守大學,一般大學,碩,財務金融管理學系,12,4,33.3%,私立
銘傳大學,一般大學,博,應用中國文學系,35,11,31.4%,私立
輔仁大學,一般大學,碩,中國文學系,36,11,30.6%,私立
臺灣師範大學,一般大學,博,設計學系,23,7,30.4%,公立
大同大學,一般大學,博,設計科學研究所,80,24,30.0%,私立
政治大學,一般大學,博,應用數學系,7,2,28.6%,公立
東吳大學,一般大學,碩,歷史學系,14,4,28.6%,私立
