選舉類型,區域,名字,性別,政黨,現任與否,當選註記,,,,,,,,,,,,,,
1945臺灣省參議會,遴選,謝漢儒,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,遴選,葉榮鐘,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,遴選,楊金寶,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,遴選,陳清棟,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,遴選,郭雨新,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,遴選,張瑞麒,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,遴選,林虛中,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,遴選,李緞,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,遴選,呂永凱,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,遴選,何義,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,遴選,任公藩,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,澎湖縣,高順賢,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,澎湖縣,高恭,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺南縣,謝水藍,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺南縣,劉明朝,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺南縣,黃媽典,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺南縣,陳按察,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺南縣,郭柱,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺南縣,梁道,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺南縣,殷占魁,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺南縣,李萬居,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺南縣,王添燈,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺南市,韓石泉,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺南市,湯德章,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺東縣,鄭品聰,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺東縣,陳振宗,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺北縣,謝文程,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺北縣,盧根德,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺北縣,黃純青,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺北縣,林世南,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺北縣,林日高,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺北縣,李友三,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺北市,蔣渭川,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺北市,黃朝琴,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺北市,陳旺成,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺中縣,賴維種,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺中縣,楊陶,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺中縣,楊天賦,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺中縣,洪火煉,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺中縣,林獻堂,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺中縣,林碧梧,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺中縣,林忠,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺中縣,丁瑞彬,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺中市,陳茂堤,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,臺中市,林連宗,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,彰化市,李崇禮,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,彰化市,呂世明,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,嘉義市,劉傳來,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,嘉義市,黃文陶,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,新竹縣,彭德,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,新竹縣,張錫祺,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,新竹縣,范姜萍,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,新竹縣,林為恭,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,新竹縣,吳鴻森,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,新竹市,蘇惟梁,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,新竹市,何乾欽,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,基隆市,顏欽賢,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,基隆市,張振生,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,高雄縣,劉兼善,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,高雄縣,黃聯登,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,高雄縣,陳皆興,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,高雄縣,洪約白,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,高雄縣,林璧輝,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,高雄縣,吳瑞泰,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,高雄市,陳啟川,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,高雄市,郭國基,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,苗栗縣,劉闊才,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,屏東市,陳文石,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,屏東市,李明道,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,花蓮縣,粱阿標,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,花蓮縣,馬有岳,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,山原遴選,林瑞昌,,,,,,,,,,,,,,,,,,
1945臺灣省參議會,山原原住民,華清吉,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,澎湖縣,高順賢,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺南縣,黃朝琴,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺南縣,郭秋煌,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺南縣,梁許春菊,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺南縣,王雲龍,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺南市,黃業,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺南市,王開運,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺東縣,尤明哲,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺北縣,賴森林,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺北縣,李建和,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺北縣,白金泉,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺北縣,王宋瓊英,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺北市,黃成金,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺北市,陳逢源,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺北市,浦陸佩玉,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺北市,林頂立,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺中縣,蔡鴻文,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺中縣,陳水潭,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺中縣,林雲龍,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,臺中市,林湯盤,,,,,,,,,,,,,,,,,,
