country/region,name_chinese,risk_level,update_time
New Zealand,紐西蘭,low,2020-06-17
Macao,澳門,low,2020-06-17
Palau,帛琉,low,2020-06-17
Fiji,斐濟,medium,2021-04-28
Brunei,汶萊,low,2020-06-17
Nauru,諾魯,low,2020-08-26
the Marshall Islands,馬紹爾群島,low,2020-09-16
Bhutan,不丹,medium,2021-05-05
Australia,澳洲,low,2021-03-03
Singapore,新加坡,medium,2021-05-12
Hong Kong,香港,low,2021-05-26
Israel,以色列,medium,2021-05-26
South Africa,南非,aware,2021-11-26
Botswana,波札那,aware,2021-11-26
Namibia,納米比亞,aware,2021-11-26
Lesotho,賴索托,aware,2021-11-26
Eswatini,史瓦帝尼,aware,2021-11-26
Zimbabwe,辛巴威,aware,2021-11-26
Malawi,馬拉威,aware,2021-11-29
Mozambique,莫三比克,aware,2021-11-29
Egypt,埃及,aware,2021-11-29
Nigeria,奈及利亞,aware,2021-11-29
