日期,累計疫苗存量,疫苗進貨描述,AstraZeneca 累計存量,Moderna 累計存量,BNT累計存量,高端累計存量,累計施打人次,目標,AstraZeneca 累計施打數,Moderna 累計施打數,臺南市,臺東縣,臺北市,臺中市,新北市,桃園市,高雄市,新竹縣,彰化縣,雲林縣,屏東縣,基隆市,宜蘭縣,新竹市,苗栗縣,嘉義市,嘉義縣,花蓮縣,南投縣,澎湖縣,金門縣,連江縣,JJ 累計施打數,BNT 累計施打數,Sinovac 累計施打數,CanSino 累計施打數,SputnikV 累計施打數
2021-03-22,117000,直接跟廠商購買的 11.7 萬 AZ 疫苗到貨,117000,,,,1578,,0,Oxford/AstraZeneca,50,10,301,103,131,343,353,45,21,0,40,10,52,10,11,0,33,46,9,10,0,0,0.01,0,1578,0,0
2021-03-23,117000,,,,,,3218,,0,Oxford/AstraZeneca,121,51,486,371,238,765,678,112,34,11,84,10,52,10,21,33,66,46,19,10,0,0,0.01,0,3218,0,0
2021-03-24,117000,,,,,,5169,,0,Oxford/AstraZeneca,242,51,707,652,442,1089,1080,175,66,11,131,10,93,60,21,33,99,168,19,10,10,0,0.01,0,5169,0,0
2021-03-25,117000,,,,,,7053,,0,Oxford/AstraZeneca,,,,,,,,,,,,,,,,,,,,,,,0.01,0,7053,0,0
2021-03-26,117000,,,,,,9232,,0,Oxford/AstraZeneca,,,,,,,,,,,,,,,,,,,,,,,0.01,0,9232,0,0
2021-03-27,117000,,,,,,9377,,0,Oxford/AstraZeneca,,,,,,,,,,,,,,,,,,,,,,,0.01,0,9377,0,0
2021-03-28,117000,,,,,,9412,,0,Oxford/AstraZeneca,,,,,,,,,,,,,,,,,,,,,,,0.01,0,9412,0,0
2021-03-29,117000,,,,,,10891,,0,Oxford/AstraZeneca,,,,,,,,,,,,,,,,,,,,,,,0.01,0,10891,0,0
2021-03-30,117000,,,,,,12648,,0,Oxford/AstraZeneca,,,,,,,,,,,,,,,,,,,,,,,0.01,0,12648,0,0
2021-03-31,117000,,,,,,14400,,0,Oxford/AstraZeneca,,,,,,,,,,,,,,,,,,,,,,,0.01,0,14400,0,0
2021-04-01,117000,,,,,,16450,,0,Oxford/AstraZeneca,,,,,,,,,,,,,,,,,,,,,,,0.01,0,16450,0,0
2021-04-02,117000,,,,,,17056,,0,Oxford/AstraZeneca,1210,113,2944,2300,1886,2064,3055,488,430,64,315,166,379,244,122,184,473,476,73,50,20,0,0.01,0,17056,0,0
2021-04-03,117000,,,,,,17078,,0,Oxford/AstraZeneca,1210,113,2944,2300,1908,2064,3055,488,430,64,315,166,379,244,122,184,473,476,73,50,20,0,0.01,0,17078,0,0
2021-04-05,316200,COVEX 提供的19.9 萬 AZ 疫苗到貨,316200,,,,17245,,0,Oxford/AstraZeneca,1210,113,3007,2300,1929,2064,3085,488,430,64,315,166,379,244,132,205,495,476,73,50,20,0,0.00,0,17245,0,0
2021-04-06,316200,,,,,,18657,,0,Oxford/AstraZeneca,,,,,,,,,,,,,,,,,,,,,,,0.00,0,18657,0,0
2021-04-07,316200,,,,,,20075,,0,Oxford/AstraZeneca,1412,124,3712,2846,2120,2324,3387,530,516,128,336,226,454,285,164,268,552,538,83,50,20,0,0.00,0,20075,0,0
2021-04-08,316200,,,,,,21873,,0,Oxford/AstraZeneca,,,,,,,,,,,,,,,,,,,,,,,0.00,0,21873,0,0
2021-04-09,316200,,,,,,24450,,0,Oxford/AstraZeneca,,,,,,,,,,,,,,,,,,,,,,,0.00,0,24450,0,0
2021-04-10,316200,,,,,,24658,,0,Oxford/AstraZeneca,,,,,,,,,,,,,,,,,,,,,,,0.01,0,24658,0,0
2021-04-11,316200,,,,,,24701,,0,Oxford/AstraZeneca,,,,,,,,,,,,,,,,,,,,,,,0.01,0,24701,0,0
2021-04-12,316200,,,,,,25882,,0,Oxford/AstraZeneca,,,,,,,,,,,,,,,,,,,,,,,0.01,0,25882,0,0
2021-04-13,316200,,,,,,27113,,0,Oxford/AstraZeneca,,,,,,,,,,,,,,,,,,,,,,,0.01,0,27113,0,0
2021-04-14,316200,,,,,,28497,,0,Oxford/AstraZeneca,2053,165,6033,3733,2813,3280,5205,698,803,256,761,400,632,491,306,534,743,754,201,80,48,50,0.01,0,28497,0,0
2021-04-15,316200,,,,,,30039,,0,Oxford/AstraZeneca,2053,165,6033,3733,2813,3280,5205,698,803,256,761,400,632,491,306,534,743,754,201,80,48,50,0.01,0,30039,0,0
2021-04-16,316200,,,,,,32389,,0,Oxford/AstraZeneca,2347,187,6459,3885,2961,3512,5765,762,869,297,832,400,661,511,306,585,771,797,265,90,77,50,0.01,0,32389,0,0
