"prvCode","cityCode","areaCode","liCode","deptCode","candNo","tks","tksRate","candVictor"
"01","001","000","0000","11",1,2506,62.92,"*"
"01","001","000","0000","11",2,475,11.93,NA
"01","001","000","0000","11",3,1002,25.16,NA
"01","002","000","0000","13",1,910,22.74,"*"
"01","002","000","0000","13",2,1271,31.77,"*"
"01","002","000","0000","13",3,906,22.64,NA
"01","002","000","0000","13",4,239,5.97,NA
"01","002","000","0000","13",5,198,4.95,NA
"01","002","000","0000","13",6,477,11.92,NA
"01","003","000","0000","07",1,436,35.1,NA
"01","003","000","0000","07",2,806,64.9,"*"
"01","004","000","0000","08",1,497,46.45,NA
"01","004","000","0000","08",2,573,53.55,"*"
"01","006","000","0000","09",1,54,7.48,NA
"01","006","000","0000","09",2,90,12.47,NA
"01","006","000","0000","09",3,157,21.75,NA
"01","006","000","0000","09",4,49,6.79,NA
"01","006","000","0000","09",5,168,23.27,"*"
"01","006","000","0000","09",6,64,8.86,NA
"01","006","000","0000","09",7,140,19.39,NA
"01","007","000","0000","08",1,538,45.59,NA
"01","007","000","0000","08",2,642,54.41,"*"
"01","008","000","0000","06",1,1440,23.67,"*"
"01","008","000","0000","06",2,301,4.95,NA
"01","008","000","0000","06",3,1485,24.41,"*"
"01","008","000","0000","06",4,981,16.12,NA
"01","008","000","0000","06",5,825,13.56,NA
"01","008","000","0000","06",6,1052,17.29,NA
"01","008","000","0000","07",1,1004,18.51,NA
"01","008","000","0000","07",2,1222,22.53,"*"
"01","008","000","0000","07",3,865,15.94,NA
"01","008","000","0000","07",4,791,14.58,NA
"01","008","000","0000","07",5,509,9.38,NA
"01","008","000","0000","07",6,1034,19.06,"*"
"01","008","000","0000","08",1,900,33.49,NA
"01","008","000","0000","08",2,353,13.14,NA
"01","008","000","0000","08",3,1434,53.37,"*"
"01","008","000","0000","09",1,1757,21.05,"*"
"01","008","000","0000","09",2,1049,12.57,"*"
"01","008","000","0000","09",3,1005,12.04,NA
"01","008","000","0000","09",4,1194,14.3,"*"
"01","008","000","0000","09",5,564,6.76,NA
"01","008","000","0000","09",6,708,8.48,NA
"01","008","000","0000","09",7,1040,12.46,NA
"01","008","000","0000","09",8,1031,12.35,NA
"01","009","000","0000","05",1,802,12.67,NA
"01","009","000","0000","05",2,1143,18.06,NA
"01","009","000","0000","05",3,1068,16.88,NA
"01","009","000","0000","05",4,586,9.26,NA
"01","009","000","0000","05",5,1481,23.4,"*"
"01","009","000","0000","05",6,1248,19.72,"*"
"01","009","000","0000","06",1,499,6.03,NA
"01","009","000","0000","06",2,1557,18.82,"*"
"01","009","000","0000","06",3,937,11.33,NA
"01","009","000","0000","06",4,796,9.62,NA
"01","009","000","0000","06",5,835,10.09,NA
"01","009","000","0000","06",6,773,9.34,NA
"01","009","000","0000","06",7,1356,16.39,"*"
"01","009","000","0000","06",8,330,3.99,NA
"01","009","000","0000","06",9,1190,14.38,"*"
"01","009","000","0000","07",1,1179,22.44,"*"
"01","009","000","0000","07",2,1326,25.23,"*"
"01","009","000","0000","07",3,494,9.4,NA
"01","009","000","0000","07",4,796,15.15,NA
"01","009","000","0000","07",5,112,2.13,NA
"01","009","000","0000","07",6,734,13.97,NA
"01","009","000","0000","07",7,614,11.68,NA
"01","010","000","0000","08",1,965,54.67,"*"
"01","010","000","0000","08",2,800,45.33,NA
"01","001","001","0000","11",1,116,52.73,NA
"01","001","001","0000","11",2,23,10.45,NA
"01","001","001","0000","11",3,81,36.82,NA
"01","001","002","0000","11",1,47,51.09,NA
"01","001","002","0000","11",2,12,13.04,"*"
"01","001","002","0000","11",3,33,35.87,NA
"01","001","003","0000","11",1,98,53.85,"*"
"01","001","003","0000","11",2,33,18.13,NA
"01","001","003","0000","11",3,51,28.02,"*"
"01","001","004","0000","11",1,13,24.53,"*"
"01","001","004","0000","11",2,27,50.94,NA
"01","001","004","0000","11",3,13,24.53,"*"
"01","001","005","0000","11",1,192,61.94,"*"
"01","001","005","0000","11",2,28,9.03,"*"
"01","001","005","0000","11",3,90,29.03,"*"
"01","001","006","0000","11",1,150,61.98,NA
"01","001","006","0000","11",2,37,15.29,"*"
"01","001","006","0000","11",3,55,22.73,"*"
"01","001","007","0000","11",1,410,67.55,NA
"01","001","007","0000","11",2,53,8.73,NA
"01","001","007","0000","11",3,144,23.72,"*"
"01","001","008","0000","11",1,69,57.98,NA
"01","001","008","0000","11",2,12,10.08,NA
"01","001","008","0000","11",3,38,31.93,NA
"01","001","009","0000","11",1,62,53.45,NA
"01","001","009","0000","11",2,23,19.83,NA
"01","001","009","0000","11",3,31,26.72,"*"
"01","001","010","0000","11",1,46,66.67,"*"
"01","001","010","0000","11",2,16,23.19,"*"
"01","001","010","0000","11",3,7,10.14,"*"
"01","001","011","0000","11",1,420,71.67,"*"
"01","001","011","0000","11",2,30,5.12,NA
"01","001","011","0000","11",3,136,23.21,NA
"01","001","012","0000","11",1,220,80.59,NA
"01","001","012","0000","11",2,16,5.86,NA
"01","001","012","0000","11",3,37,13.55,NA
"01","001","013","0000","11",1,291,55.85,NA
"01","001","013","0000","11",2,104,19.96,NA
"01","001","013","0000","11",3,126,24.18,NA
"01","001","014","0000","11",1,106,66.25,"*"
"01","001","014","0000","11",2,13,8.13,NA
"01","001","014","0000","11",3,41,25.63,NA
"01","001","015","0000","11",1,52,60.47,NA
"01","001","015","0000","11",2,6,6.98,NA
"01","001","015","0000","11",3,28,32.56,NA
"01","001","016","0000","11",1,66,75,NA
"01","001","016","0000","11",2,5,5.68,"*"
"01","001","016","0000","11",3,17,19.32,NA
"01","001","017","0000","11",1,54,54,"*"
"01","001","017","0000","11",2,7,7,NA
"01","001","017","0000","11",3,39,39,"*"
