"prvCode","cityCode","areaCode","liCode","deptCode","candNo","tks","tksRate","candVictor"
"63","000","010","0002","08",1,13,92.85,"*"
"63","000","010","0002","08",2,1,7.14,NA
"63","000","010","0003","08",1,3,100,"*"
"63","000","010","0003","08",2,0,0,NA
"63","000","010","0004","08",1,5,100,"*"
"63","000","010","0004","08",2,0,0,NA
"63","000","010","0005","08",1,2,50,"*"
"63","000","010","0005","08",2,2,50,NA
"63","000","010","0006","08",1,4,100,"*"
"63","000","010","0006","08",2,0,0,NA
"63","000","010","0007","08",1,2,100,"*"
"63","000","010","0007","08",2,0,0,NA
"63","000","010","0008","08",1,4,80,"*"
"63","000","010","0008","08",2,1,20,NA
"63","000","010","0009","08",1,2,66.66,"*"
"63","000","010","0009","08",2,1,33.33,NA
"63","000","010","0010","08",1,2,66.66,"*"
"63","000","010","0010","08",2,1,33.33,NA
"63","000","010","0011","08",1,4,100,"*"
"63","000","010","0011","08",2,0,0,NA
"63","000","010","0012","08",1,6,100,"*"
"63","000","010","0012","08",2,0,0,NA
"63","000","010","0013","08",1,0,0,"*"
"63","000","010","0013","08",2,0,0,NA
"63","000","010","0014","08",1,3,100,"*"
"63","000","010","0014","08",2,0,0,NA
"63","000","010","0015","08",1,6,85.71,"*"
"63","000","010","0015","08",2,1,14.28,NA
"63","000","010","0016","08",1,10,83.33,"*"
"63","000","010","0016","08",2,2,16.66,NA
"63","000","010","0017","08",1,0,0,"*"
"63","000","010","0017","08",2,1,100,NA
"63","000","010","0018","08",1,3,37.5,"*"
"63","000","010","0018","08",2,5,62.5,NA
"63","000","010","0019","08",1,6,75,"*"
"63","000","010","0019","08",2,2,25,NA
"63","000","010","0020","08",1,16,88.88,"*"
"63","000","010","0020","08",2,2,11.11,NA
"63","000","010","0021","08",1,7,77.77,"*"
"63","000","010","0021","08",2,2,22.22,NA
"63","000","010","0022","08",1,5,83.33,"*"
"63","000","010","0022","08",2,1,16.66,NA
"63","000","010","0024","08",1,3,100,"*"
"63","000","010","0024","08",2,0,0,NA
"63","000","010","0025","08",1,6,54.54,"*"
"63","000","010","0025","08",2,5,45.45,NA
"63","000","010","0026","08",1,10,100,"*"
"63","000","010","0026","08",2,0,0,NA
"63","000","010","0027","08",1,1,50,"*"
"63","000","010","0027","08",2,1,50,NA
"63","000","010","0028","08",1,1,100,"*"
"63","000","010","0028","08",2,0,0,NA
"63","000","010","0029","08",1,3,75,"*"
"63","000","010","0029","08",2,1,25,NA
"63","000","010","0030","08",1,3,100,"*"
"63","000","010","0030","08",2,0,0,NA
"63","000","010","0031","08",1,0,0,"*"
"63","000","010","0031","08",2,1,100,NA
"63","000","010","0032","08",1,3,100,"*"
"63","000","010","0032","08",2,0,0,NA
"63","000","010","0033","08",1,3,75,"*"
"63","000","010","0033","08",2,1,25,NA
"63","000","010","0034","08",1,5,62.5,"*"
"63","000","010","0034","08",2,3,37.5,NA
"63","000","010","0035","08",1,0,0,"*"
"63","000","010","0035","08",2,0,0,NA
"63","000","020","0001","08",1,4,100,"*"
"63","000","020","0001","08",2,0,0,NA
"63","000","020","0002","08",1,0,0,"*"
"63","000","020","0002","08",2,2,100,NA
"63","000","020","0003","08",1,8,88.88,"*"
"63","000","020","0003","08",2,1,11.11,NA
"63","000","020","0004","08",1,3,100,"*"
"63","000","020","0004","08",2,0,0,NA
"63","000","020","0005","08",1,1,50,"*"
"63","000","020","0005","08",2,1,50,NA
"63","000","020","0006","08",1,1,50,"*"
"63","000","020","0006","08",2,1,50,NA
"63","000","020","0007","08",1,0,0,"*"
"63","000","020","0007","08",2,0,0,NA
"63","000","020","0008","08",1,7,77.77,"*"
"63","000","020","0008","08",2,2,22.22,NA
"63","000","020","0009","08",1,6,85.71,"*"
"63","000","020","0009","08",2,1,14.28,NA
"63","000","020","0010","08",1,1,100,"*"
"63","000","020","0010","08",2,0,0,NA
"63","000","020","0011","08",1,1,100,"*"
"63","000","020","0011","08",2,0,0,NA
"63","000","020","0012","08",1,0,0,"*"
"63","000","020","0012","08",2,0,0,NA
"63","000","020","0013","08",1,0,0,"*"
"63","000","020","0013","08",2,0,0,NA
"63","000","020","0014","08",1,3,75,"*"
"63","000","020","0014","08",2,1,25,NA
"63","000","020","0015","08",1,4,100,"*"
"63","000","020","0015","08",2,0,0,NA
"63","000","020","0016","08",1,1,100,"*"
"63","000","020","0016","08",2,0,0,NA
"63","000","020","0017","08",1,2,100,"*"
"63","000","020","0017","08",2,0,0,NA
"63","000","020","0018","08",1,9,90,"*"
"63","000","020","0018","08",2,1,10,NA
"63","000","020","0019","08",1,5,83.33,"*"
"63","000","020","0019","08",2,1,16.66,NA
"63","000","020","0020","08",1,4,66.66,"*"
"63","000","020","0020","08",2,2,33.33,NA
"63","000","020","0021","08",1,0,0,"*"
"63","000","020","0021","08",2,0,0,NA
"63","000","020","0022","08",1,6,66.66,"*"
"63","000","020","0022","08",2,3,33.33,NA
"63","000","020","0023","08",1,3,100,"*"
"63","000","020","0023","08",2,0,0,NA
"63","000","020","0024","08",1,4,100,"*"
"63","000","020","0024","08",2,0,0,NA
"63","000","020","0025","08",1,3,100,"*"
"63","000","020","0025","08",2,0,0,NA
"63","000","020","0026","08",1,0,0,"*"
"63","000","020","0026","08",2,0,0,NA
"63","000","020","0027","08",1,3,100,"*"
"63","000","020","0027","08",2,0,0,NA
"63","000","020","0028","08",1,2,40,"*"
"63","000","020","0028","08",2,3,60,NA
"63","000","020","0029","08",1,9,75,"*"
"63","000","020","0029","08",2,3,25,NA
"63","000","020","0030","08",1,15,88.23,"*"
"63","000","020","0030","08",2,2,11.76,NA
"63","000","020","0031","08",1,2,100,"*"
"63","000","020","0031","08",2,0,0,NA
"63","000","020","0032","08",1,22,88,"*"
"63","000","020","0032","08",2,3,12,NA
"63","000","020","0033","08",1,7,77.77,"*"
"63","000","020","0033","08",2,2,22.22,NA
"63","000","020","0034","08",1,1,50,"*"
"63","000","020","0034","08",2,1,50,NA
"63","000","020","0035","08",1,3,75,"*"
"63","000","020","0035","08",2,1,25,NA
"63","000","020","0036","08",1,4,80,"*"
