"prvCode","cityCode","areaCode","liCode","deptCode","candNo","tks","tksRate","candVictor"
"01","000","000","0000","01",1,3941,0.28,NA
"01","000","000","0000","01",2,424905,30.17,NA
"01","000","000","0000","01",3,615090,43.67,"*"
"01","000","000","0000","01",4,364618,25.89,NA
"02","000","000","0000","01",1,400766,54.46,"*"
"02","000","000","0000","01",2,13084,1.78,NA
"02","000","000","0000","01",3,289110,39.29,NA
"02","000","000","0000","01",4,7513,1.02,NA
"02","000","000","0000","01",5,25413,3.45,NA
"01","000","001","0000","01",1,257,0.23,"*"
"01","000","001","0000","01",2,38575,35.06,NA
"01","000","001","0000","01",3,45468,41.32,NA
"01","000","001","0000","01",4,25741,23.39,NA
"01","000","002","0000","01",1,397,0.29,"*"
"01","000","002","0000","01",2,49354,36.46,NA
"01","000","002","0000","01",3,51587,38.11,NA
"01","000","002","0000","01",4,34027,25.14,"*"
"01","000","003","0000","01",1,349,0.2,NA
"01","000","003","0000","01",2,68907,40,NA
"01","000","003","0000","01",3,61986,35.99,NA
"01","000","003","0000","01",4,41005,23.81,NA
"01","000","004","0000","01",1,253,0.22,"*"
"01","000","004","0000","01",2,28750,24.85,NA
"01","000","004","0000","01",3,56640,48.96,NA
"01","000","004","0000","01",4,30053,25.98,"*"
"01","000","005","0000","01",1,221,0.24,NA
"01","000","005","0000","01",2,30323,33.61,NA
"01","000","005","0000","01",3,35350,39.18,NA
"01","000","005","0000","01",4,24330,26.97,"*"
"01","000","006","0000","01",1,180,0.24,NA
"01","000","006","0000","01",2,10643,14.2,NA
"01","000","006","0000","01",3,44559,59.46,"*"
"01","000","006","0000","01",4,19552,26.09,NA
"01","000","007","0000","01",1,371,0.31,"*"
"01","000","007","0000","01",2,27790,23.25,NA
"01","000","007","0000","01",3,57930,48.46,NA
"01","000","007","0000","01",4,33452,27.98,NA
"01","000","008","0000","01",1,355,0.29,"*"
"01","000","008","0000","01",2,48718,40.27,NA
"01","000","008","0000","01",3,41167,34.03,"*"
"01","000","008","0000","01",4,30730,25.4,NA
"01","000","009","0000","01",1,216,0.35,"*"
"01","000","009","0000","01",2,16368,26.76,NA
"01","000","009","0000","01",3,26603,43.5,NA
"01","000","009","0000","01",4,17976,29.39,NA
"01","000","010","0000","01",1,322,0.28,NA
"01","000","010","0000","01",2,37528,32.8,NA
"01","000","010","0000","01",3,47894,41.86,"*"
"01","000","010","0000","01",4,28667,25.06,NA
"01","000","011","0000","01",1,449,0.28,NA
"01","000","011","0000","01",2,36998,22.82,NA
"01","000","011","0000","01",3,82589,50.95,"*"
"01","000","011","0000","01",4,42075,25.95,NA
"01","000","012","0000","01",1,571,0.43,NA
"01","000","012","0000","01",2,30951,23.47,"*"
"01","000","012","0000","01",3,63317,48.02,NA
"01","000","012","0000","01",4,37010,28.07,NA
"01","000","001","0001","01",1,14,0.36,"*"
"01","000","001","0002","01",1,11,0.21,NA
"01","000","001","0003","01",1,9,0.22,NA
"01","000","001","0004","01",1,7,0.24,NA
"01","000","001","0005","01",1,8,0.25,"*"
"01","000","001","0006","01",1,8,0.28,NA
"01","000","001","0007","01",1,3,0.12,NA
"01","000","001","0008","01",1,9,0.32,NA
"01","000","001","0009","01",1,3,0.11,"*"
"01","000","001","0010","01",1,9,0.2,NA
"01","000","001","0011","01",1,4,0.16,"*"
"01","000","001","0012","01",1,8,0.27,NA
"01","000","001","0013","01",1,6,0.3,NA
"01","000","001","0014","01",1,5,0.19,"*"
"01","000","001","0015","01",1,11,0.22,NA
"01","000","001","0016","01",1,12,0.31,NA
"01","000","001","0017","01",1,9,0.24,"*"
"01","000","001","0018","01",1,16,0.28,NA
"01","000","001","0019","01",1,5,0.16,"*"
"01","000","001","0020","01",1,6,0.14,NA
"01","000","001","0021","01",1,9,0.21,"*"
"01","000","001","0022","01",1,10,0.24,NA
"01","000","001","0023","01",1,12,0.31,NA
"01","000","001","0024","01",1,9,0.2,"*"
"01","000","001","0025","01",1,7,0.29,NA
"01","000","001","0026","01",1,5,0.23,"*"
"01","000","001","0027","01",1,2,0.09,NA
"01","000","001","0028","01",1,17,0.38,NA
"01","000","001","0029","01",1,6,0.3,"*"
"01","000","001","0030","01",1,4,0.21,"*"
"01","000","001","0031","01",1,4,0.11,NA
"01","000","001","0032","01",1,4,0.25,"*"
"01","000","001","0033","01",1,5,0.23,NA
"01","000","001","0001","01",2,1353,35.02,"*"
"01","000","001","0002","01",2,2067,40.27,NA
"01","000","001","0003","01",2,1698,41.96,NA
"01","000","001","0004","01",2,886,30.12,"*"
"01","000","001","0005","01",2,1272,39.3,NA
"01","000","001","0006","01",2,949,32.65,"*"
"01","000","001","0007","01",2,1145,44.67,NA
"01","000","001","0008","01",2,991,35.23,"*"
"01","000","001","0009","01",2,1083,40.68,NA
"01","000","001","0010","01",2,1795,39.23,NA
"01","000","001","0011","01",2,1130,46.16,NA
"01","000","001","0012","01",2,983,33.65,NA
"01","000","001","0013","01",2,704,35.45,"*"
"01","000","001","0014","01",2,1114,41.58,"*"
"01","000","001","0015","01",2,1520,29.96,NA
"01","000","001","0016","01",2,1567,39.99,NA
"01","000","001","0017","01",2,590,16.02,NA
"01","000","001","0018","01",2,1409,25.02,"*"
"01","000","001","0019","01",2,1528,48.55,"*"
"01","000","001","0020","01",2,2672,63.18,NA
"01","000","001","0021","01",2,1531,35.24,NA
"01","000","001","0022","01",2,1280,30.18,NA
"01","000","001","0023","01",2,1419,36.64,"*"
"01","000","001","0024","01",2,1219,27.3,NA
"01","000","001","0025","01",2,683,28.05,NA
"01","000","001","0026","01",2,633,29.17,"*"
"01","000","001","0027","01",2,678,29.41,"*"
"01","000","001","0028","01",2,1308,29.37,NA
"01","000","001","0029","01",2,686,34.11,NA
"01","000","001","0030","01",2,622,33.21,"*"
"01","000","001","0031","01",2,994,27.62,NA
"01","000","001","0032","01",2,470,29.3,NA
"01","000","001","0033","01",2,596,27,NA
"01","000","001","0001","01",3,1569,40.61,"*"
"01","000","001","0002","01",3,1972,38.42,NA
"01","000","001","0003","01",3,1489,36.79,NA
"01","000","001","0004","01",3,1316,44.73,NA
"01","000","001","0005","01",3,1172,36.21,"*"
"01","000","001","0006","01",3,1228,42.24,NA
"01","000","001","0007","01",3,867,33.83,NA
"01","000","001","0008","01",3,1238,44.01,NA
"01","000","001","0009","01",3,995,37.38,"*"
"01","000","001","0010","01",3,1761,38.48,"*"
"01","000","001","0011","01",3,808,33.01,NA
"01","000","001","0012","01",3,1286,44.03,NA
"01","000","001","0013","01",3,878,44.21,NA
"01","000","001","0014","01",3,904,33.74,NA
"01","000","001","0015","01",3,2311,45.55,NA
"01","000","001","0016","01",3,1342,34.25,NA
"01","000","001","0017","01",3,2140,58.12,"*"
"01","000","001","0018","01",3,2847,50.56,NA
"01","000","001","0019","01",3,918,29.17,NA
"01","000","001","0020","01",3,759,17.95,NA
"01","000","001","0021","01",3,1829,42.09,"*"
"01","000","001","0022","01",3,1847,43.55,NA
"01","000","001","0023","01",3,1494,38.57,NA
"01","000","001","0024","01",3,2195,49.16,"*"
"01","000","001","0025","01",3,1107,45.46,NA
"01","000","001","0026","01",3,1059,48.8,NA
"01","000","001","0027","01",3,1013,43.95,"*"
"01","000","001","0028","01",3,2030,45.58,NA
"01","000","001","0029","01",3,802,39.88,NA
"01","000","001","0030","01",3,754,40.26,"*"
"01","000","001","0031","01",3,1777,49.37,NA
"01","000","001","0032","01",3,738,46.01,NA
"01","000","001","0033","01",3,1023,46.35,"*"
"01","000","001","0001","01",4,928,24.02,NA
"01","000","001","0002","01",4,1083,21.1,NA
"01","000","001","0003","01",4,851,21.03,"*"
"01","000","001","0004","01",4,733,24.92,NA
"01","000","001","0005","01",4,785,24.25,NA
"01","000","001","0006","01",4,722,24.84,NA
"01","000","001","0007","01",4,548,21.38,"*"
"01","000","001","0008","01",4,575,20.44,"*"
"01","000","001","0009","01",4,581,21.83,NA
"01","000","001","0010","01",4,1011,22.09,"*"
"01","000","001","0011","01",4,506,20.67,NA
"01","000","001","0012","01",4,644,22.05,NA
"01","000","001","0013","01",4,398,20.04,NA
"01","000","001","0014","01",4,656,24.49,NA
"01","000","001","0015","01",4,1232,24.28,"*"
"01","000","001","0016","01",4,997,25.45,NA
"01","000","001","0017","01",4,943,25.61,"*"
"01","000","001","0018","01",4,1359,24.13,NA
"01","000","001","0019","01",4,696,22.12,"*"
"01","000","001","0020","01",4,792,18.73,NA
"01","000","001","0021","01",4,976,22.46,"*"
"01","000","001","0022","01",4,1104,26.03,NA
"01","000","001","0023","01",4,948,24.48,"*"
"01","000","001","0024","01",4,1042,23.34,NA
"01","000","001","0025","01",4,638,26.2,"*"
"01","000","001","0026","01",4,473,21.8,NA
"01","000","001","0027","01",4,612,26.55,NA
"01","000","001","0028","01",4,1099,24.67,"*"
"01","000","001","0029","01",4,517,25.71,NA
"01","000","001","0030","01",4,493,26.32,"*"
"01","000","001","0031","01",4,824,22.9,"*"
"01","000","001","0032","01",4,392,24.44,"*"
"01","000","001","0033","01",4,583,26.42,NA
"01","000","002","0034","01",1,4,0.14,NA
"01","000","002","0035","01",1,5,0.17,"*"
"01","000","002","0036","01",1,5,0.27,"*"
"01","000","002","0037","01",1,2,0.12,NA
"01","000","002","0038","01",1,8,0.3,NA
"01","000","002","0039","01",1,9,0.24,NA
"01","000","002","0040","01",1,7,0.25,NA
"01","000","002","0041","01",1,8,0.21,NA
"01","000","002","0042","01",1,9,0.25,"*"
"01","000","002","0043","01",1,5,0.21,NA
"01","000","002","0044","01",1,11,0.35,NA
"01","000","002","0045","01",1,6,0.26,"*"
"01","000","002","0046","01",1,12,0.36,NA
"01","000","002","0047","01",1,9,0.31,"*"
"01","000","002","0048","01",1,10,0.33,NA
"01","000","002","0049","01",1,10,0.27,"*"
"01","000","002","0050","01",1,12,0.33,NA
"01","000","002","0051","01",1,11,0.3,"*"
"01","000","002","0052","01",1,7,0.29,NA
"01","000","002","0053","01",1,17,0.41,NA
"01","000","002","0054","01",1,9,0.53,NA
"01","000","002","0055","01",1,14,0.38,"*"
"01","000","002","0056","01",1,12,0.33,NA
"01","000","002","0057","01",1,10,0.33,NA
"01","000","002","0058","01",1,14,0.28,NA
"01","000","002","0059","01",1,19,0.46,"*"
"01","000","002","0060","01",1,39,0.95,NA
"01","000","002","0061","01",1,6,0.17,"*"
"01","000","002","0062","01",1,10,0.22,NA
"01","000","002","0063","01",1,14,0.26,NA
"01","000","002","0064","01",1,4,0.14,NA
"01","000","002","0065","01",1,6,0.17,"*"
"01","000","002","0066","01",1,16,0.32,"*"
"01","000","002","0067","01",1,9,0.29,NA
"01","000","002","0068","01",1,8,0.26,"*"
"01","000","002","0069","01",1,10,0.25,NA
"01","000","002","0070","01",1,4,0.2,NA
"01","000","002","0071","01",1,6,0.22,"*"
"01","000","002","0072","01",1,14,0.33,NA
"01","000","002","0073","01",1,3,0.1,NA
"01","000","002","0074","01",1,3,0.15,NA
"01","000","002","0034","01",2,1755,59.41,NA
"01","000","002","0035","01",2,1397,47.48,"*"
"01","000","002","0036","01",2,809,44.09,NA
"01","000","002","0037","01",2,714,41.18,"*"
"01","000","002","0038","01",2,1160,43.41,NA
"01","000","002","0039","01",2,1319,35.1,NA
"01","000","002","0040","01",2,939,32.87,"*"
"01","000","002","0041","01",2,1620,41.74,NA
"01","000","002","0042","01",2,1330,37,NA
"01","000","002","0043","01",2,568,24.4,"*"
"01","000","002","0044","01",2,748,24.1,NA
"01","000","002","0045","01",2,673,28.71,NA
"01","000","002","0046","01",2,816,24.6,NA
"01","000","002","0047","01",2,469,16.22,NA
"01","000","002","0048","01",2,795,26.33,"*"
"01","000","002","0049","01",2,864,22.91,NA
"01","000","002","0050","01",2,1203,33,"*"
"01","000","002","0051","01",2,950,26.24,"*"
"01","000","002","0052","01",2,1247,51.51,NA
"01","000","002","0053","01",2,1559,37.64,NA
"01","000","002","0054","01",2,523,30.86,NA
"01","000","002","0055","01",2,1406,37.71,"*"
"01","000","002","0056","01",2,1091,29.73,NA
"01","000","002","0057","01",2,969,32.17,NA
"01","000","002","0058","01",2,1527,30.38,NA
"01","000","002","0059","01",2,1244,30.3,NA
"01","000","002","0060","01",2,1346,32.91,"*"
"01","000","002","0061","01",2,1779,50.57,"*"
"01","000","002","0062","01",2,1900,42.23,NA
"01","000","002","0063","01",2,2208,40.72,NA
"01","000","002","0064","01",2,1212,43.24,NA
"01","000","002","0065","01",2,1727,47.62,NA
"01","000","002","0066","01",2,2137,42.25,NA
"01","000","002","0067","01",2,1107,35.27,"*"
"01","000","002","0068","01",2,1325,43.05,NA
"01","000","002","0069","01",2,1818,44.66,NA
"01","000","002","0070","01",2,731,36.08,NA
"01","000","002","0071","01",2,1127,40.91,NA
"01","000","002","0072","01",2,1634,38.8,"*"
"01","000","002","0073","01",2,1047,34.34,"*"
"01","000","002","0074","01",2,561,28.81,NA
"01","000","002","0034","01",3,550,18.62,NA
"01","000","002","0035","01",3,912,31,NA
"01","000","002","0036","01",3,555,30.25,"*"
"01","000","002","0037","01",3,642,37.02,NA
"01","000","002","0038","01",3,775,29,"*"
"01","000","002","0039","01",3,1492,39.7,NA
