"prvCode","cityCode","areaCode","liCode","deptCode","candNo","tks","tksRate","candVictor"
"09","007","01","0001","010",1,764,64.69,"*"
"09","007","01","0001","010",2,417,35.3,NA
"09","007","01","0002","010",1,727,60.68,"*"
"09","007","01","0002","010",2,471,39.31,NA
"09","007","01","0004","010",1,911,67.33,"*"
"09","007","01","0004","010",2,442,32.66,NA
"09","007","01","0001","020",1,632,67.52,"*"
"09","007","01","0001","020",2,304,32.47,NA
"09","007","01","0004","020",1,297,77.95,"*"
"09","007","01","0004","020",2,84,22.04,NA
"09","007","01","0001","030",1,241,61.16,"*"
"09","007","01","0001","030",2,153,38.83,NA
"09","007","01","0005","030",1,266,71.69,"*"
"09","007","01","0005","030",2,105,28.3,NA
"09","007","01","0001","040",1,547,67.95,"*"
"09","007","01","0001","040",2,258,32.04,NA
"09","020","01","0001","010",1,26,1.23,NA
"09","020","01","0001","010",2,10,0.47,NA
"09","020","01","0001","010",3,1156,54.94,"*"
"09","020","01","0001","010",4,568,26.99,NA
"09","020","01","0001","010",5,25,1.18,NA
"09","020","01","0001","010",6,16,0.76,NA
"09","020","01","0001","010",7,23,1.09,NA
"09","020","01","0001","010",8,4,0.19,NA
"09","020","01","0001","010",9,239,11.35,NA
"09","020","01","0001","010",10,37,1.75,NA
"09","020","01","0002","010",1,34,0.85,NA
"09","020","01","0002","010",2,7,0.17,NA
"09","020","01","0002","010",3,1799,45.21,"*"
"09","020","01","0002","010",4,1382,34.73,NA
"09","020","01","0002","010",5,39,0.98,NA
"09","020","01","0002","010",6,41,1.03,NA
"09","020","01","0002","010",7,35,0.87,NA
"09","020","01","0002","010",8,22,0.55,NA
"09","020","01","0002","010",9,581,14.6,NA
"09","020","01","0002","010",10,39,0.98,NA
"09","020","01","0003","010",1,24,1.08,NA
"09","020","01","0003","010",2,6,0.27,NA
"09","020","01","0003","010",3,982,44.59,"*"
"09","020","01","0003","010",4,585,26.56,NA
"09","020","01","0003","010",5,17,0.77,NA
"09","020","01","0003","010",6,24,1.08,NA
"09","020","01","0003","010",7,21,0.95,NA
"09","020","01","0003","010",8,10,0.45,NA
"09","020","01","0003","010",9,509,23.11,NA
"09","020","01","0003","010",10,24,1.08,NA
"09","020","01","0004","010",1,23,1.46,NA
"09","020","01","0004","010",2,3,0.19,NA
"09","020","01","0004","010",3,756,48.03,"*"
"09","020","01","0004","010",4,561,35.64,NA
"09","020","01","0004","010",5,15,0.95,NA
"09","020","01","0004","010",6,9,0.57,NA
"09","020","01","0004","010",7,18,1.14,NA
"09","020","01","0004","010",8,10,0.63,NA
"09","020","01","0004","010",9,156,9.91,NA
"09","020","01","0004","010",10,23,1.46,NA
"09","020","01","0005","010",1,31,2.18,NA
"09","020","01","0005","010",2,4,0.28,NA
"09","020","01","0005","010",3,870,61.26,"*"
"09","020","01","0005","010",4,375,26.4,NA
"09","020","01","0005","010",5,8,0.56,NA
"09","020","01","0005","010",6,16,1.12,NA
"09","020","01","0005","010",7,4,0.28,NA
"09","020","01","0005","010",8,4,0.28,NA
"09","020","01","0005","010",9,97,6.83,NA
"09","020","01","0005","010",10,11,0.77,NA
"09","020","01","0006","010",1,7,0.84,NA
"09","020","01","0006","010",2,1,0.12,NA
"09","020","01","0006","010",3,487,59.03,"*"
"09","020","01","0006","010",4,235,28.48,NA
"09","020","01","0006","010",5,14,1.69,NA
"09","020","01","0006","010",6,13,1.57,NA
"09","020","01","0006","010",7,2,0.24,NA
"09","020","01","0006","010",8,5,0.6,NA
"09","020","01","0006","010",9,51,6.18,NA
"09","020","01","0006","010",10,10,1.21,NA
"09","020","01","0007","010",1,13,1.3,NA
"09","020","01","0007","010",2,2,0.2,NA
"09","020","01","0007","010",3,438,43.93,"*"
"09","020","01","0007","010",4,396,39.71,NA
"09","020","01","0007","010",5,8,0.8,NA
"09","020","01","0007","010",6,12,1.2,NA
"09","020","01","0007","010",7,10,1,NA
"09","020","01","0007","010",8,3,0.3,NA
"09","020","01","0007","010",9,106,10.63,NA
"09","020","01","0007","010",10,9,0.9,NA
"09","020","01","0008","010",1,22,1.36,NA
"09","020","01","0008","010",2,5,0.3,NA
"09","020","01","0008","010",3,914,56.62,"*"
"09","020","01","0008","010",4,417,25.83,NA
"09","020","01","0008","010",5,13,0.8,NA
"09","020","01","0008","010",6,15,0.92,NA
"09","020","01","0008","010",7,16,0.99,NA
"09","020","01","0008","010",8,4,0.24,NA
"09","020","01","0008","010",9,195,12.08,NA
"09","020","01","0008","010",10,13,0.8,NA
"09","020","01","0001","020",1,11,0.56,NA
"09","020","01","0001","020",2,4,0.2,NA
"09","020","01","0001","020",3,1116,56.85,"*"
"09","020","01","0001","020",4,672,34.23,NA
"09","020","01","0001","020",5,9,0.45,NA
"09","020","01","0001","020",6,14,0.71,NA
"09","020","01","0001","020",7,9,0.45,NA
"09","020","01","0001","020",8,6,0.3,NA
"09","020","01","0001","020",9,117,5.96,NA
"09","020","01","0001","020",10,5,0.25,NA
"09","020","01","0002","020",1,2,0.29,NA
"09","020","01","0002","020",2,1,0.14,NA
"09","020","01","0002","020",3,335,49.41,"*"
"09","020","01","0002","020",4,292,43.06,NA
"09","020","01","0002","020",5,2,0.29,NA
"09","020","01","0002","020",6,2,0.29,NA
"09","020","01","0002","020",7,2,0.29,NA
"09","020","01","0002","020",8,0,0,NA
"09","020","01","0002","020",9,39,5.75,NA
"09","020","01","0002","020",10,3,0.44,NA
"09","020","01","0003","020",1,5,1.22,NA
"09","020","01","0003","020",2,1,0.24,NA
"09","020","01","0003","020",3,260,63.88,"*"
"09","020","01","0003","020",4,117,28.74,NA
"09","020","01","0003","020",5,5,1.22,NA
"09","020","01","0003","020",6,4,0.98,NA
"09","020","01","0003","020",7,1,0.24,NA
"09","020","01","0003","020",8,0,0,NA
"09","020","01","0003","020",9,13,3.19,NA
"09","020","01","0003","020",10,1,0.24,NA
"09","020","01","0004","020",1,2,0.22,NA
"09","020","01","0004","020",2,2,0.22,NA
"09","020","01","0004","020",3,546,62.68,"*"
"09","020","01","0004","020",4,265,30.42,NA
"09","020","01","0004","020",5,4,0.45,NA
"09","020","01","0004","020",6,5,0.57,NA
"09","020","01","0004","020",7,2,0.22,NA
"09","020","01","0004","020",8,1,0.11,NA
"09","020","01","0004","020",9,44,5.05,NA
"09","020","01","0004","020",10,0,0,NA
"09","020","01","0005","020",1,5,0.65,NA
"09","020","01","0005","020",2,5,0.65,NA
"09","020","01","0005","020",3,572,75.26,"*"
"09","020","01","0005","020",4,144,18.94,NA
"09","020","01","0005","020",5,4,0.52,NA
"09","020","01","0005","020",6,2,0.26,NA
"09","020","01","0005","020",7,2,0.26,NA
"09","020","01","0005","020",8,1,0.13,NA
"09","020","01","0005","020",9,24,3.15,NA
"09","020","01","0005","020",10,1,0.13,NA
"09","020","01","0006","020",1,7,1.29,NA
"09","020","01","0006","020",2,1,0.18,NA
"09","020","01","0006","020",3,286,52.86,"*"
"09","020","01","0006","020",4,209,38.63,NA
"09","020","01","0006","020",5,5,0.92,NA
"09","020","01","0006","020",6,2,0.36,NA
"09","020","01","0006","020",7,1,0.18,NA
"09","020","01","0006","020",8,5,0.92,NA
"09","020","01","0006","020",9,25,4.62,NA
"09","020","01","0006","020",10,0,0,NA
