"prvCode","cityCode","areaCode","deptCode","liCode","cross_name"
9,7,0,20,"A001","塘岐村、后沃村"
9,7,0,30,"A001","青帆村、田沃村、西坵村"
9,7,0,40,"A001","中柳村、樂華村"
9,7,0,10,"A002","復興村、福沃村"
9,7,0,20,"A003","橋仔村、芹壁村、?里村、白沙村"
9,7,0,10,"A004","清水村、珠螺村"
9,7,0,30,"A004","福正村、大坪村"
9,7,0,10,"A005","仁愛村、津沙村、馬祖村、四維村"
10,13,0,10,"A001","光榮里、民權里"
10,18,0,20,"A001","西門里、中央里"
10,13,0,10,"A002","文明里、泰安里"
10,13,0,10,"A003","武廟里、大同里、端正里"
10,8,0,90,"A004","新城村、共和村"
10,5,0,70,"A005","西坪里、坪林里"
10,18,0,10,"A006","榮光里、親仁里"
10,18,0,20,"A006","石坊里、興南里"
10,13,0,10,"A008","大埔里、必信里"
10,18,0,10,"A008","下竹里、寺前里"
10,13,0,10,"A010","崇智里、崇禮里"
10,13,0,10,"A013","安樂里、平和里"
10,13,0,10,"A015","楠樹里、扶風里、慶春里"
10,13,0,10,"A018","金泉里、勝豐里"
10,18,0,20,"A034","南勢里、大鵬里"
10,13,0,10,"A047","凌雲里、鵬程里"
10,13,0,10,"A057","永順里、永昌里"
