"prvCode","cityCode","areaCode","liCode","deptCode","candNo","tks","tksRate","candVictor"
"01","000","01","0001","001",1,0,0,NA
"01","000","01","0001","001",2,0,0,"*"
"01","000","01","0001","001",3,0,0,NA
"01","000","01","0001","001",4,1,25,"*"
"01","000","01","0001","001",5,2,50,NA
"01","000","01","0001","001",6,1,25,"*"
"01","000","01","0002","001",1,0,0,NA
"01","000","01","0002","001",2,1,25,"*"
"01","000","01","0002","001",3,0,0,NA
"01","000","01","0002","001",4,3,75,"*"
"01","000","01","0002","001",5,0,0,NA
"01","000","01","0002","001",6,0,0,"*"
"01","000","01","0003","001",1,0,0,NA
"01","000","01","0003","001",2,0,0,"*"
"01","000","01","0003","001",3,0,0,NA
"01","000","01","0003","001",4,0,0,"*"
"01","000","01","0003","001",5,1,100,NA
"01","000","01","0003","001",6,0,0,"*"
"01","000","01","0004","001",1,0,0,NA
"01","000","01","0004","001",2,0,0,"*"
"01","000","01","0004","001",3,0,0,NA
"01","000","01","0004","001",4,4,66.66,"*"
"01","000","01","0004","001",5,2,33.33,NA
"01","000","01","0004","001",6,0,0,"*"
"01","000","01","0005","001",1,0,0,NA
"01","000","01","0005","001",2,0,0,"*"
"01","000","01","0005","001",3,0,0,NA
"01","000","01","0005","001",4,4,66.66,"*"
"01","000","01","0005","001",5,1,16.66,NA
"01","000","01","0005","001",6,1,16.66,"*"
"01","000","01","0006","001",1,3,25,NA
"01","000","01","0006","001",2,0,0,"*"
"01","000","01","0006","001",3,0,0,NA
"01","000","01","0006","001",4,3,25,"*"
"01","000","01","0006","001",5,3,25,NA
"01","000","01","0006","001",6,3,25,"*"
"01","000","01","0007","001",1,2,40,NA
"01","000","01","0007","001",2,0,0,"*"
"01","000","01","0007","001",3,0,0,NA
"01","000","01","0007","001",4,1,20,"*"
"01","000","01","0007","001",5,1,20,NA
"01","000","01","0007","001",6,1,20,"*"
"01","000","01","0008","001",1,2,33.33,NA
"01","000","01","0008","001",2,2,33.33,"*"
"01","000","01","0008","001",3,0,0,NA
"01","000","01","0008","001",4,1,16.66,"*"
"01","000","01","0008","001",5,1,16.66,NA
"01","000","01","0008","001",6,0,0,"*"
"01","000","01","0009","001",1,0,0,NA
"01","000","01","0009","001",2,2,50,"*"
"01","000","01","0009","001",3,0,0,NA
"01","000","01","0009","001",4,1,25,"*"
"01","000","01","0009","001",5,1,25,NA
"01","000","01","0009","001",6,0,0,"*"
"01","000","01","0010","001",1,0,0,NA
"01","000","01","0010","001",2,1,7.69,"*"
"01","000","01","0010","001",3,0,0,NA
"01","000","01","0010","001",4,6,46.15,"*"
"01","000","01","0010","001",5,1,7.69,NA
"01","000","01","0010","001",6,5,38.46,"*"
"01","000","01","0011","001",1,0,0,NA
"01","000","01","0011","001",2,1,25,"*"
"01","000","01","0011","001",3,0,0,NA
"01","000","01","0011","001",4,3,75,"*"
"01","000","01","0011","001",5,0,0,NA
"01","000","01","0011","001",6,0,0,"*"
"01","000","01","0012","001",1,0,0,NA
"01","000","01","0012","001",2,0,0,"*"
"01","000","01","0012","001",3,0,0,NA
"01","000","01","0012","001",4,4,100,"*"
"01","000","01","0012","001",5,0,0,NA
"01","000","01","0012","001",6,0,0,"*"
"01","000","01","0013","001",1,0,0,NA
"01","000","01","0013","001",2,0,0,"*"
"01","000","01","0013","001",3,0,0,NA
"01","000","01","0013","001",4,9,60,"*"
"01","000","01","0013","001",5,0,0,NA
"01","000","01","0013","001",6,6,40,"*"
"01","000","01","0014","001",1,0,0,NA
"01","000","01","0014","001",2,0,0,"*"
"01","000","01","0014","001",3,0,0,NA
"01","000","01","0014","001",4,1,100,"*"
"01","000","01","0014","001",5,0,0,NA
