"prvCode","cityCode","areaCode","liCode","deptCode","candNo","tks","tksRate","candVictor"
"09","007","010","0001","01",1,598,69.05,"*"
"09","007","010","0001","01",2,138,15.93,NA
"09","007","010","0001","01",3,115,13.27,NA
"09","007","010","0001","01",4,15,1.73,NA
"09","007","010","A002","01",1,494,66.04,"*"
"09","007","010","A002","01",2,143,19.11,NA
"09","007","010","A002","01",3,81,10.82,NA
"09","007","010","A002","01",4,30,4.01,NA
"09","007","010","A004","01",1,631,64.91,"*"
"09","007","010","A004","01",2,203,20.88,NA
"09","007","010","A004","01",3,109,11.21,NA
"09","007","010","A004","01",4,29,2.98,NA
"09","007","020","A001","01",1,415,73.45,"*"
"09","007","020","A001","01",2,88,15.57,NA
"09","007","020","A001","01",3,58,10.26,NA
"09","007","020","A001","01",4,4,0.7,NA
"09","007","020","A004","01",1,163,75.46,"*"
"09","007","020","A004","01",2,28,12.96,NA
"09","007","020","A004","01",3,22,10.18,NA
"09","007","020","A004","01",4,3,1.38,NA
"09","007","030","A001","01",1,143,61.37,"*"
"09","007","030","A001","01",2,50,21.45,NA
"09","007","030","A001","01",3,31,13.3,NA
"09","007","030","A001","01",4,9,3.86,NA
"09","007","030","A004","01",1,158,68.39,"*"
"09","007","030","A004","01",2,39,16.88,NA
"09","007","030","A004","01",3,26,11.25,NA
"09","007","030","A004","01",4,8,3.46,NA
"09","007","040","A001","01",1,325,69.29,"*"
"09","007","040","A001","01",2,71,15.13,NA
"09","007","040","A001","01",3,64,13.64,NA
"09","007","040","A001","01",4,9,1.91,NA
"09","020","010","0001","01",1,23,1.41,NA
"09","020","010","0001","01",2,313,19.28,NA
"09","020","010","0001","01",3,49,3.01,NA
"09","020","010","0001","01",4,21,1.29,NA
"09","020","010","0001","01",5,779,47.99,"*"
"09","020","010","0001","01",6,3,0.18,NA
"09","020","010","0001","01",7,4,0.24,NA
"09","020","010","0001","01",8,431,26.55,NA
"09","020","010","0002","01",1,53,1.62,NA
"09","020","010","0002","01",2,689,21.06,NA
"09","020","010","0002","01",3,64,1.95,NA
"09","020","010","0002","01",4,42,1.28,NA
"09","020","010","0002","01",5,1570,47.99,"*"
"09","020","010","0002","01",6,1,0.03,NA
"09","020","010","0002","01",7,5,0.15,NA
"09","020","010","0002","01",8,847,25.89,NA
"09","020","010","0003","01",1,26,1.47,NA
"09","020","010","0003","01",2,376,21.27,NA
"09","020","010","0003","01",3,37,2.09,NA
"09","020","010","0003","01",4,16,0.9,NA
"09","020","010","0003","01",5,851,48.16,"*"
"09","020","010","0003","01",6,0,0,NA
"09","020","010","0003","01",7,4,0.22,NA
"09","020","010","0003","01",8,457,25.86,NA
"09","020","010","0004","01",1,21,1.61,NA
"09","020","010","0004","01",2,229,17.61,NA
"09","020","010","0004","01",3,14,1.07,NA
"09","020","010","0004","01",4,12,0.92,NA
"09","020","010","0004","01",5,631,48.53,"*"
"09","020","010","0004","01",6,5,0.38,NA
"09","020","010","0004","01",7,1,0.07,NA
"09","020","010","0004","01",8,387,29.76,NA
"09","020","010","0005","01",1,22,2.11,NA
"09","020","010","0005","01",2,220,21.15,NA
"09","020","010","0005","01",3,16,1.53,NA
"09","020","010","0005","01",4,8,0.76,NA
"09","020","010","0005","01",5,573,55.09,"*"
"09","020","010","0005","01",6,1,0.09,NA
"09","020","010","0005","01",7,12,1.15,NA
"09","020","010","0005","01",8,188,18.07,NA
"09","020","010","0006","01",1,14,2.3,NA
"09","020","010","0006","01",2,122,20.06,NA
"09","020","010","0006","01",3,12,1.97,NA
"09","020","010","0006","01",4,6,0.98,NA
"09","020","010","0006","01",5,318,52.3,"*"
"09","020","010","0006","01",6,2,0.32,NA
"09","020","010","0006","01",7,3,0.49,NA
"09","020","010","0006","01",8,131,21.54,NA
"09","020","010","0007","01",1,9,1.18,NA
"09","020","010","0007","01",2,165,21.71,NA
"09","020","010","0007","01",3,8,1.05,NA
"09","020","010","0007","01",4,7,0.92,NA
"09","020","010","0007","01",5,345,45.39,"*"
"09","020","010","0007","01",6,1,0.13,NA
"09","020","010","0007","01",7,1,0.13,NA
"09","020","010","0007","01",8,224,29.47,NA
"09","020","010","0008","01",1,20,1.53,NA
"09","020","010","0008","01",2,379,29.01,NA
"09","020","010","0008","01",3,21,1.6,NA
"09","020","010","0008","01",4,6,0.45,NA
"09","020","010","0008","01",5,575,44.02,"*"
"09","020","010","0008","01",6,0,0,NA
"09","020","010","0008","01",7,8,0.61,NA
"09","020","010","0008","01",8,297,22.74,NA
"09","020","020","0001","01",1,23,1.46,NA
"09","020","020","0001","01",2,352,22.46,NA
"09","020","020","0001","01",3,19,1.21,NA
"09","020","020","0001","01",4,25,1.59,NA
"09","020","020","0001","01",5,789,50.35,"*"
"09","020","020","0001","01",6,2,0.12,NA
"09","020","020","0001","01",7,8,0.51,NA
"09","020","020","0001","01",8,349,22.27,NA
"09","020","020","0002","01",1,8,1.46,NA
"09","020","020","0002","01",2,158,28.88,NA
"09","020","020","0002","01",3,9,1.64,NA
"09","020","020","0002","01",4,4,0.73,NA
"09","020","020","0002","01",5,272,49.72,"*"
"09","020","020","0002","01",6,0,0,NA
"09","020","020","0002","01",7,1,0.18,NA
"09","020","020","0002","01",8,95,17.36,NA
"09","020","020","0003","01",1,3,0.84,NA
