"prvCode","cityCode","areaCode","liCode","deptCode","candNo","tks","tksRate","candVictor"
"63","000","01","0002","010",1,4,36.36,"*"
"63","000","01","0002","010",2,0,0,NA
"63","000","01","0002","010",3,1,9.09,NA
"63","000","01","0002","010",4,3,27.27,NA
"63","000","01","0002","010",5,1,9.09,NA
"63","000","01","0002","010",6,1,9.09,NA
"63","000","01","0002","010",7,0,0,NA
"63","000","01","0002","010",8,0,0,NA
"63","000","01","0002","010",9,1,9.09,"*"
"63","000","01","0002","010",10,0,0,"*"
"63","000","01","0003","010",1,2,40,"*"
"63","000","01","0003","010",2,0,0,NA
"63","000","01","0003","010",3,0,0,NA
"63","000","01","0003","010",4,0,0,NA
"63","000","01","0003","010",5,0,0,NA
"63","000","01","0003","010",6,0,0,NA
"63","000","01","0003","010",7,0,0,NA
"63","000","01","0003","010",8,0,0,NA
"63","000","01","0003","010",9,2,40,"*"
"63","000","01","0003","010",10,1,20,"*"
"63","000","01","0004","010",1,4,40,"*"
"63","000","01","0004","010",2,0,0,NA
"63","000","01","0004","010",3,0,0,NA
"63","000","01","0004","010",4,0,0,NA
"63","000","01","0004","010",5,0,0,NA
"63","000","01","0004","010",6,0,0,NA
"63","000","01","0004","010",7,0,0,NA
"63","000","01","0004","010",8,0,0,NA
"63","000","01","0004","010",9,5,50,"*"
"63","000","01","0004","010",10,1,10,"*"
"63","000","01","0005","010",1,1,25,"*"
"63","000","01","0005","010",2,1,25,NA
"63","000","01","0005","010",3,0,0,NA
"63","000","01","0005","010",4,0,0,NA
"63","000","01","0005","010",5,0,0,NA
"63","000","01","0005","010",6,0,0,NA
"63","000","01","0005","010",7,0,0,NA
"63","000","01","0005","010",8,0,0,NA
"63","000","01","0005","010",9,2,50,"*"
"63","000","01","0005","010",10,0,0,"*"
"63","000","01","0006","010",1,4,57.14,"*"
"63","000","01","0006","010",2,0,0,NA
"63","000","01","0006","010",3,0,0,NA
"63","000","01","0006","010",4,0,0,NA
"63","000","01","0006","010",5,0,0,NA
"63","000","01","0006","010",6,0,0,NA
"63","000","01","0006","010",7,0,0,NA
"63","000","01","0006","010",8,0,0,NA
"63","000","01","0006","010",9,2,28.57,"*"
"63","000","01","0006","010",10,1,14.29,"*"
"63","000","01","0007","010",1,0,0,"*"
"63","000","01","0007","010",2,0,0,NA
"63","000","01","0007","010",3,0,0,NA
"63","000","01","0007","010",4,0,0,NA
"63","000","01","0007","010",5,0,0,NA
