"prvCode","cityCode","areaCode","liCode","deptCode","profRate"
"00","000","000","0000","00",53.01
"01","000","000","0000","00",46.1
"02","000","000","0000","00",51.33
"03","001","000","0000","00",51.66
"03","002","000","0000","00",45.14
"03","003","000","0000","00",54.78
"03","004","000","0000","00",48.5
"03","005","000","0000","00",55.86
"03","006","000","0000","00",46.3
"03","007","000","0000","00",49.61
"03","008","000","0000","00",44.99
"03","009","000","0000","00",32.5
"03","010","000","0000","00",37.84
"03","011","000","0000","00",44.69
"03","012","000","0000","00",43.86
"03","013","000","0000","00",47.87
"03","014","000","0000","00",54.3
"03","015","000","0000","00",52.94
"03","016","000","0000","00",37.5
"03","017","000","0000","00",62.56
"03","018","000","0000","00",46.69
"03","019","000","0000","00",36.51
"03","020","000","0000","00",22.64
"03","021","000","0000","00",40
"04","001","000","0000","00",45.45
"04","002","000","0000","00",100
"03","001","001","0000","00",44.88
"03","001","002","0000","00",45.76
"03","001","003","0000","00",51.13
"03","001","004","0000","00",47.77
"03","001","005","0000","00",50.48
"03","001","006","0000","00",49.74
"03","001","007","0000","00",57.48
"03","001","008","0000","00",47.59
"03","001","009","0000","00",49.77
"03","001","010","0000","00",52.97
"03","001","011","0000","00",59.93
"03","001","012","0000","00",54.34
"03","001","013","0000","00",43.03
"03","001","014","0000","00",55.66
"03","001","015","0000","00",39.78
"03","001","016","0000","00",58.74
"03","001","017","0000","00",51.12
"03","001","018","0000","00",64
"03","001","019","0000","00",33.33
"03","001","020","0000","00",0
"03","001","021","0000","00",50
"03","001","022","0000","00",54.55
"03","001","023","0000","00",56.52
"03","001","024","0000","00",46.67
"03","001","025","0000","00",100
"03","001","026","0000","00",63.64
"03","001","027","0000","00",18.18
"03","001","028","0000","00",69.62
"03","001","029","0000","00",68.97
"03","002","001","0000","00",39.47
"03","002","002","0000","00",40
"03","002","003","0000","00",51.11
"03","002","004","0000","00",43.75
"03","002","005","0000","00",42
"03","002","006","0000","00",25
"03","002","007","0000","00",60
"03","002","008","0000","00",31.03
"03","002","009","0000","00",31.71
"03","002","010","0000","00",25
"03","002","011","0000","00",70.59
"03","002","012","0000","00",54.55
"03","003","001","0000","00",48.14
"03","003","002","0000","00",45.94
"03","003","003","0000","00",60.57
"03","003","004","0000","00",48.91
"03","003","005","0000","00",51.21
"03","003","006","0000","00",59.36
"03","003","007","0000","00",52.68
"03","003","008","0000","00",57.82
"03","003","009","0000","00",55.34
"03","003","010","0000","00",58.14
"03","003","011","0000","00",59.52
"03","003","012","0000","00",30
"03","003","013","0000","00",44.62
"03","004","001","0000","00",28.57
"03","004","002","0000","00",37.29
"03","004","003","0000","00",30
"03","004","004","0000","00",58.1
"03","004","005","0000","00",26.67
"03","004","006","0000","00",53.85
"03","004","007","0000","00",64.71
"03","004","008","0000","00",42.86
"03","004","009","0000","00",50
"03","004","010","0000","00",40
"03","004","011","0000","00",20
"03","004","012","0000","00",62.96
"03","004","013","0000","00",56.67
"03","005","001","0000","00",32
"03","005","002","0000","00",62.5
"03","005","003","0000","00",43.75
"03","005","004","0000","00",22.45
"03","005","005","0000","00",46.67
"03","005","006","0000","00",42.11
"03","005","007","0000","00",25
"03","005","008","0000","00",0
"03","005","009","0000","00",27.27
"03","005","010","0000","00",57.14
"03","005","011","0000","00",59.42
"03","005","012","0000","00",0
"03","005","013","0000","00",44.44
"03","005","014","0000","00",50
"03","005","015","0000","00",27.27
"03","005","016","0000","00",0
"03","005","017","0000","00",57.01
"03","005","018","0000","00",50
"03","006","001","0000","00",28.4
"03","006","002","0000","00",51.61
"03","006","003","0000","00",43.75
"03","006","004","0000","00",51.02
"03","006","005","0000","00",40.82
"03","006","006","0000","00",53.38
"03","006","007","0000","00",50
"03","006","008","0000","00",49.15
"03","006","009","0000","00",53.04
"03","006","010","0000","00",45.02
"03","006","011","0000","00",57.14
"03","006","012","0000","00",50
"03","006","013","0000","00",60
"03","006","014","0000","00",100
"03","006","015","0000","00",27.5
"03","006","016","0000","00",50.28
"03","006","017","0000","00",43.86
"03","006","018","0000","00",48.39
"03","006","019","0000","00",43.91
"03","006","020","0000","00",41.74
"03","006","021","0000","00",50
"03","007","001","0000","00",40.32
"03","007","002","0000","00",55.32
"03","007","003","0000","00",60.71
"03","007","004","0000","00",0
"03","007","005","0000","00",50
"03","007","006","0000","00",55.56
"03","007","007","0000","00",33.33
"03","007","008","0000","00",60
"03","007","009","0000","00",16.67
"03","007","010","0000","00",22.22
"03","007","011","0000","00",75
"03","007","012","0000","00",16.67
"03","007","013","0000","00",62.5
"03","007","014","0000","00",61.11
"03","007","015","0000","00",66.67
"03","007","016","0000","00",40
"03","007","017","0000","00",57.14
"03","007","018","0000","00",0
"03","007","019","0000","00",0
"03","007","020","0000","00",0
"03","007","021","0000","00",50
"03","007","022","0000","00",0
"03","007","023","0000","00",60
"03","007","024","0000","00",60
"03","007","025","0000","00",50
"03","007","026","0000","00",0
"03","008","001","0000","00",45.83
"03","008","002","0000","00",31.43
"03","008","003","0000","00",50
"03","008","004","0000","00",27.27
"03","008","005","0000","00",80
"03","008","006","0000","00",77.78
"03","008","007","0000","00",100
