"prvCode","cityCode","areaCode","liCode","deptCode","candNo","tks","tksRate","candVictor"
"01","000","001","0001","00",1,1396,51.64,NA
"01","000","001","0001","00",2,1307,48.35,"*"
"01","000","001","0002","00",1,1378,45.35,NA
"01","000","001","0002","00",2,1660,54.64,"*"
"01","000","001","0003","00",1,1592,46.23,NA
"01","000","001","0003","00",2,1851,53.76,"*"
"01","000","001","0004","00",1,1887,41.81,NA
"01","000","001","0004","00",2,2626,58.18,"*"
"01","000","001","0005","00",1,1822,39.79,NA
"01","000","001","0005","00",2,2757,60.2,"*"
"01","000","001","0006","00",1,1891,38.19,NA
"01","000","001","0006","00",2,3060,61.8,"*"
"01","000","001","0007","00",1,1880,39.22,NA
"01","000","001","0007","00",2,2913,60.77,"*"
"01","000","001","0008","00",1,1963,38.02,NA
"01","000","001","0008","00",2,3199,61.97,"*"
"01","000","001","0009","00",1,2230,40.31,NA
"01","000","001","0009","00",2,3302,59.68,"*"
"01","000","001","0010","00",1,1589,33.56,NA
"01","000","001","0010","00",2,3145,66.43,"*"
"01","000","001","0011","00",1,1113,36.73,NA
"01","000","001","0011","00",2,1917,63.26,"*"
"01","000","001","0012","00",1,1090,35.01,NA
"01","000","001","0012","00",2,2023,64.98,"*"
"01","000","001","0013","00",1,1444,34.03,NA
"01","000","001","0013","00",2,2799,65.96,"*"
"01","000","001","0014","00",1,1515,45.19,NA
"01","000","001","0014","00",2,1837,54.8,"*"
"01","000","001","0015","00",1,1407,46.22,NA
"01","000","001","0015","00",2,1637,53.77,"*"
"01","000","001","0016","00",1,1468,43.76,NA
"01","000","001","0016","00",2,1886,56.23,"*"
"01","000","001","0017","00",1,2444,42.92,NA
"01","000","001","0017","00",2,3250,57.07,"*"
"01","000","001","0018","00",1,1488,45.61,NA
"01","000","001","0018","00",2,1774,54.38,"*"
"01","000","001","0019","00",1,781,62.73,NA
"01","000","001","0019","00",2,464,37.26,"*"
"01","000","001","0020","00",1,2530,40.87,NA
"01","000","001","0020","00",2,3660,59.12,"*"
"01","000","001","0021","00",1,2575,45.42,NA
"01","000","001","0021","00",2,3094,54.57,"*"
"01","000","001","0022","00",1,2252,47.31,NA
"01","000","001","0022","00",2,2508,52.68,"*"
"01","000","001","0023","00",1,1673,43.69,NA
"01","000","001","0023","00",2,2156,56.3,"*"
"01","000","001","0024","00",1,1820,46.16,NA
"01","000","001","0024","00",2,2122,53.83,"*"
"01","000","001","0025","00",1,1776,43.19,NA
"01","000","001","0025","00",2,2336,56.8,"*"
"01","000","001","0026","00",1,620,29.63,NA
"01","000","001","0026","00",2,1472,70.36,"*"
"01","000","001","0027","00",1,1525,40.16,NA
"01","000","001","0027","00",2,2272,59.83,"*"
"01","000","001","0028","00",1,1282,45.17,NA
"01","000","001","0028","00",2,1556,54.82,"*"
"01","000","001","0029","00",1,1581,38.17,NA
"01","000","001","0029","00",2,2560,61.82,"*"
"01","000","001","0030","00",1,1246,38.15,NA
"01","000","001","0030","00",2,2020,61.84,"*"
"01","000","001","0031","00",1,1437,36.54,NA
"01","000","001","0031","00",2,2495,63.45,"*"
"01","000","001","0032","00",1,850,38.06,NA
"01","000","001","0032","00",2,1383,61.93,"*"
"01","000","001","0033","00",1,657,23.5,NA
"01","000","001","0033","00",2,2138,76.49,"*"
"01","000","001","0034","00",1,1037,38.19,NA
"01","000","001","0034","00",2,1678,61.8,"*"
"01","000","001","0035","00",1,1130,36.62,NA
"01","000","001","0035","00",2,1955,63.37,"*"
"01","000","001","0036","00",1,1636,45.76,NA
"01","000","001","0036","00",2,1939,54.23,"*"
"01","000","001","0037","00",1,1944,46.78,NA
"01","000","001","0037","00",2,2211,53.21,"*"
"01","000","001","0038","00",1,2796,40.86,NA
"01","000","001","0038","00",2,4046,59.13,"*"
"01","000","001","0039","00",1,738,49.13,NA
"01","000","001","0039","00",2,764,50.86,"*"
"01","000","001","0040","00",1,555,43.42,NA
"01","000","001","0040","00",2,723,56.57,"*"
"01","000","001","0041","00",1,457,62,NA
"01","000","001","0041","00",2,280,37.99,"*"
"01","000","001","0042","00",1,270,45.22,NA
"01","000","001","0042","00",2,327,54.77,"*"
"01","000","002","0043","00",1,1290,47.08,NA
"01","000","002","0043","00",2,1450,52.91,"*"
"01","000","002","0044","00",1,858,40.66,NA
"01","000","002","0044","00",2,1252,59.33,"*"
"01","000","002","0045","00",1,778,41.18,NA
"01","000","002","0045","00",2,1111,58.81,"*"
"01","000","002","0046","00",1,1175,40.4,NA
"01","000","002","0046","00",2,1733,59.59,"*"
"01","000","002","0047","00",1,1880,35.85,NA
"01","000","002","0047","00",2,3364,64.14,"*"
"01","000","002","0048","00",1,1926,45.58,NA
