"prv_code","city_code","area_code","li_code","dept_code","vote_to_votable"
10,"018","00","0000","000",43.39
10,"018","00","0000","010",45.55
10,"018","00","0001","010",49.49
10,"018","00","0002","010",46.38
10,"018","00","0003","010",42.97
10,"018","00","0004","010",46.14
10,"018","00","0005","010",52.38
10,"018","00","0007","010",48.14
10,"018","00","0010","010",44.41
10,"018","00","0011","010",27.37
10,"018","00","0012","010",45
10,"018","00","0013","010",45.1
10,"018","00","0014","010",45.38
10,"018","00","0015","010",46.89
10,"018","00","0016","010",40.38
10,"018","00","0017","010",50.72
10,"018","00","0018","010",46.05
10,"018","00","0019","010",46.54
10,"018","00","0020","010",45.52
10,"018","00","0021","010",46.26
10,"018","00","0022","010",47.11
10,"018","00","0023","010",47.62
10,"018","00","0024","010",51.95
10,"018","00","0025","010",52.1
10,"018","00","0026","010",47.04
10,"018","00","0027","010",50.92
10,"018","00","0028","010",43.09
10,"018","00","0029","010",44.81
10,"018","00","0030","010",45.04
10,"018","00","0031","010",44.22
10,"018","00","0032","010",47.35
10,"018","00","0033","010",50.43
10,"018","00","0035","010",47.11
10,"018","00","0036","010",47.13
10,"018","00","0037","010",52.51
10,"018","00","0038","010",42.2
10,"018","00","0039","010",45.07
10,"018","00","0040","010",41.93
10,"018","00","0041","010",43
10,"018","00","0042","010",46.45
10,"018","00","0043","010",44
10,"018","00","0044","010",46.13
10,"018","00","0045","010",41.3
10,"018","00","0046","010",40.84
10,"018","00","0047","010",51.62
10,"018","00","0048","010",45.54
10,"018","00","0049","010",43.05
10,"018","00","0050","010",43.8
10,"018","00","0051","010",45.42
10,"018","00","0052","010",47.58
10,"018","00","0053","010",36.03
10,"018","00","0054","010",49.15
10,"018","00","0055","010",45.48
10,"018","00","0056","010",45.08
10,"018","00","0000","020",42.74
10,"018","00","0001","020",45.62
10,"018","00","0002","020",44.04
10,"018","00","0003","020",45.14
10,"018","00","0004","020",42.39
10,"018","00","0005","020",44.85
10,"018","00","0007","020",45.72
10,"018","00","0008","020",46.01
10,"018","00","0009","020",46.17
10,"018","00","0010","020",49.93
10,"018","00","0011","020",46.16
10,"018","00","0012","020",44.31
10,"018","00","0013","020",42.66
10,"018","00","0014","020",39.67
10,"018","00","0015","020",44.52
10,"018","00","0016","020",44.88
10,"018","00","0017","020",46.34
10,"018","00","0018","020",43.37
10,"018","00","0019","020",45.98
10,"018","00","0020","020",42.98
10,"018","00","0021","020",47.5
10,"018","00","0022","020",44.32
10,"018","00","0023","020",47.98
10,"018","00","0024","020",35.02
10,"018","00","0025","020",39.89
10,"018","00","0026","020",41.42
10,"018","00","0027","020",38.29
10,"018","00","0028","020",37.46
10,"018","00","0029","020",34.52
10,"018","00","0030","020",44.16
10,"018","00","0031","020",44.37
10,"018","00","0032","020",39.23
10,"018","00","0033","020",42.92
10,"018","00","0034","020",44.66
10,"018","00","0036","020",45.91
10,"018","00","0037","020",43.61
10,"018","00","0038","020",38.16
10,"018","00","0039","020",36.08
10,"018","00","0040","020",45.89
10,"018","00","0041","020",42.58
10,"018","00","0042","020",45.68
10,"018","00","0043","020",45.47
10,"018","00","0044","020",38.87
10,"018","00","0045","020",47.42
10,"018","00","0046","020",50
10,"018","00","0047","020",37.7
10,"018","00","0000","030",39.12
10,"018","00","0001","030",39.04
10,"018","00","0002","030",38.28
10,"018","00","0003","030",40.26
10,"018","00","0004","030",35.58
10,"018","00","0005","030",44.04
10,"018","00","0006","030",41.57
10,"018","00","0007","030",45.09
10,"018","00","0008","030",37.59
10,"018","00","0009","030",39.53
10,"018","00","0010","030",45.56
10,"018","00","0011","030",40.17
10,"018","00","0012","030",36.68
10,"018","00","0013","030",38.03
10,"018","00","0014","030",38.64
10,"018","00","0015","030",36.43
10,"018","00","0016","030",37.62
10,"018","00","0017","030",29.85
10,"018","00","0018","030",38.77
10,"018","00","0019","030",39.4
10,"018","00","0020","030",34.48
10,"018","00","0021","030",35.16
10,"018","00","0022","030",37.99
10,"018","00","0023","030",43.09
10,"018","00","0024","030",40.62
