"prv_code","city_code","area_code","li_code","dept_code","agree_ticket","agree_ticket_percent","disagree_ticket","disagree_ticket_percent","agree_to_votable","vote_result"
10,"018","00","0000","000",131816,87.07,19581,12.93,36.91,"Y"
10,"018","00","0000","010",66266,89.14,8077,10.86,39.71,"Y"
10,"018","00","0001","010",259,79.69,66,20.31,37.81,"Y"
10,"018","00","0002","010",546,84.91,97,15.09,38.78,"Y"
10,"018","00","0003","010",299,84.23,56,15.77,35.01,"Y"
10,"018","00","0004","010",153,74.63,52,25.37,32.83,"Y"
10,"018","00","0005","010",231,85.24,40,14.76,44,"Y"
10,"018","00","0007","010",234,84.78,42,15.22,39.66,"Y"
10,"018","00","0010","010",249,81.64,56,18.36,35.22,"Y"
10,"018","00","0011","010",396,90.62,41,9.38,24.35,"Y"
10,"018","00","0012","010",199,83.61,39,16.39,36.85,"Y"
10,"018","00","0013","010",1267,91.28,121,8.72,40.27,"Y"
10,"018","00","0014","010",1054,85.07,185,14.93,38.02,"Y"
10,"018","00","0015","010",532,85.81,88,14.19,39.41,"Y"
10,"018","00","0016","010",1867,87.2,274,12.8,34.54,"Y"
10,"018","00","0017","010",487,92.94,37,7.06,46.51,"Y"
10,"018","00","0018","010",1749,88.42,229,11.58,39.58,"Y"
10,"018","00","0019","010",1659,88.95,206,11.05,40.61,"Y"
10,"018","00","0020","010",1776,87.44,255,12.56,39.09,"Y"
10,"018","00","0021","010",2357,90.69,242,9.31,40.99,"Y"
10,"018","00","0022","010",1203,89.31,144,10.69,41.18,"Y"
10,"018","00","0023","010",1100,86.21,176,13.79,40.01,"Y"
10,"018","00","0024","010",2060,92.63,164,7.37,47.2,"Y"
10,"018","00","0025","010",1934,96.08,79,3.92,49.22,"Y"
10,"018","00","0026","010",2563,91.11,250,8.89,41.8,"Y"
10,"018","00","0027","010",1347,89.21,163,10.79,44.19,"Y"
10,"018","00","0028","010",1241,85.29,214,14.71,35.6,"Y"
10,"018","00","0029","010",1083,83.5,214,16.5,36.4,"Y"
10,"018","00","0030","010",1987,88,271,12,38.78,"Y"
10,"018","00","0031","010",2031,84.24,380,15.76,36.56,"Y"
10,"018","00","0032","010",502,88.85,63,11.15,40.98,"Y"
10,"018","00","0033","010",1303,92.35,108,7.65,45.04,"Y"
10,"018","00","0035","010",372,92.08,32,7.92,42.22,"Y"
10,"018","00","0036","010",1137,92.51,92,7.49,42.97,"Y"
10,"018","00","0037","010",1826,95.05,95,4.95,49.19,"Y"
10,"018","00","0038","010",932,83.89,179,16.11,34.29,"Y"
10,"018","00","0039","010",1145,81.21,265,18.79,35.3,"Y"
10,"018","00","0040","010",726,84.71,131,15.29,34.55,"Y"
10,"018","00","0041","010",2157,89.73,247,10.27,37.72,"Y"
10,"018","00","0042","010",3891,93.4,275,6.6,42.61,"Y"
10,"018","00","0043","010",2010,89.29,241,10.71,38.43,"Y"
