channel,date,logger_id,start,end,duration,type,title
ctitv,20190706,FNoTaO1uh8,693,714,22,新聞,長榮罷工可望落幕？14:00 第三次勞資協商
ebc,20190706,MACbj1rAFI,1536,1560,25,新聞,簽團協！罷工棚歡呼
ebc,20190706,MACbj1rAFI,2456,2473,18,新聞,簽團協！罷工棚歡呼
ebc,20190706,cMItEZJGM9,1818,1840,23,新聞,簽團協 罷工棚歡呼
ebc,20190706,cMItEZJGM9,2076,2105,30,新聞,簽團協 罷工棚歡呼
ebc,20190706,cMItEZJGM9,2354,2378,25,新聞,簽團協 罷工棚歡呼
ebc,20190706,cMItEZJGM9,207,443,237,新聞,罷工後第3次協商！勞資盼能簽團協結束罷工
ebc,20190706,KeuOMomxyP,221,307,87,新聞,罷工後第3次協商！勞資皆盼能簽團協結束罷工
ebc,20190706,KeuOMomxyP,3807,3901,95,新聞,罷工後第3次協商！勞資皆盼能簽團協結束罷工
ebc,20190706,rAYXt6SdI4,409,430,22,新聞,罷工可望落幕？長榮勞資下午兩點再協商
ebc,20190706,rAYXt6SdI4,2204,2271,68,新聞,罷工可望落幕？長榮勞資下午兩點再協商
ebc,20190706,MACbj1rAFI,2890,3012,123,新聞,罷工17天落幕！ 勞資簽團協 航班八月初恢復(jbOcNpuq1zY)
ebc,20190706,cMItEZJGM9,1695,1715,21,新聞,資方讓步 罷工落幕
ebc,20190706,cMItEZJGM9,1942,1968,27,新聞,資方讓步 罷工落幕
ebc,20190706,cMItEZJGM9,2215,2243,29,新聞,資方讓步 罷工落幕
ebc,20190706,cMItEZJGM9,2484,2507,24,新聞,資方讓步 罷工落幕
ebc,20190706,cMItEZJGM9,2987,3009,23,新聞,資方讓步 罷工落幕
ebc,20190706,MACbj1rAFI,1131,1153,23,新聞,資方讓步 罷工落幕
ebc,20190706,cMItEZJGM9,3646,3901,256,新聞,勞資簽團協罷工17天落幕 勞資雙方17:50簽下團體協約／若沒有不當勞動行為！工會承諾3年內不罷工
ebc,20190706,MACbj1rAFI,171,312,142,新聞,勞資簽團協罷工17天落幕
ebc,20190706,KeuOMomxyP,3574,3607,34,新聞,勞動部穿針引線簽團協 長榮罷工可望落幕？／勒斃75歲情夫 65歲小三死者車肇逃被逮
ebc,20190706,SoMx4DJogu,3481,3614,134,新聞,長榮罷工Day17 工會：若多數同意停罷會有退場機制(8VIFfu7vPVU)
ebc,20190706,rAYXt6SdI4,1,14,14,新聞,長榮罷工Day17 工會：若多數同意停罷會有退場機制(8VIFfu7vPVU)
