水果,主產地,年份,產量,減幅
荔枝,高雄市,2009,29488,
荔枝,高雄市,2010,20149,-32%
荔枝,高雄市,2011,20448.28,1%
荔枝,高雄市,2012,22420.27,10%
荔枝,高雄市,2013,29106.9,30%
荔枝,高雄市,2014,28033.98,-4%
荔枝,高雄市,2015,27870.56,-1%
荔枝,高雄市,2016,12038.52,-57%
荔枝,高雄市,2017,17842.39,48%
荔枝,高雄市,2018,25459.38,43%
荔枝,高雄市,2019,6872.6,-73%
芒果,臺南市,2009,"63,347.09",
芒果,臺南市,2010,"44,948.88",-29%
芒果,臺南市,2011,"79,007.36",76%
芒果,臺南市,2012,"73,416.14",-7%
芒果,臺南市,2013,"115,148.98",57%
芒果,臺南市,2014,"72,171.02",-37%
芒果,臺南市,2015,"75,444.70",5%
芒果,臺南市,2016,"44,482.03",-41%
芒果,臺南市,2017,"73,856.92",66%
芒果,臺南市,2018,"58,569.27",-21%
芒果,臺南市,2019,"75,804.98",29%
棗,高雄市,2009,"17,516.63",
棗,高雄市,2010,"15,151.81",-14%
棗,高雄市,2011,"10,020.35",-34%
棗,高雄市,2012,"13,727.14",37%
棗,高雄市,2013,"15,592.72",14%
棗,高雄市,2014,"15,186.03",-3%
棗,高雄市,2015,"15,863.31",4%
棗,高雄市,2016,"13,803.71",-13%
棗,高雄市,2017,"8,106.18",-41%
棗,高雄市,2018,"15,160.67",87%
棗,高雄市,2019,"15,426.74",2%
海梨柑,新竹縣,2009,"14,871.10",
海梨柑,新竹縣,2010,"16,530.55",11%
海梨柑,新竹縣,2011,"18,618.95",13%
海梨柑,新竹縣,2012,"15,453.60",-17%
海梨柑,新竹縣,2013,"6,370.13",-59%
海梨柑,新竹縣,2014,"9,001.56",41%
海梨柑,新竹縣,2015,"7,457.70",-17%
海梨柑,新竹縣,2016,"7,457.87",0%
海梨柑,新竹縣,2017,"7,757.15",4%
海梨柑,新竹縣,2018,"6,673.95",-14%
海梨柑,新竹縣,2019,"6,367.57",-5%
柿子,臺中市,2009,"19,478.78",
柿子,臺中市,2010,"40,295.21",107%
柿子,臺中市,2011,"64,676.63",61%
柿子,臺中市,2012,"59,136.26",-9%
柿子,臺中市,2013,"43,597.48",-26%
柿子,臺中市,2014,"49,825.38",14%
