年份,屏東平均溫度,屏東距平溫差,台南平均溫度,台南距平溫差,台中平均溫度,台中距平溫差
1918,23.4,-1.59,22.31,-1.65,21.35,-1.45
1919,24.71,-0.28,23.3,-0.66,21.78,-1.02
1920,25.09,0.1,24.1,0.14,22.9,0.1
1921,24.66,-0.33,24.3,0.34,22.62,-0.18
1922,25.33,0.34,24.16,0.2,22.91,0.11
1923,24.3,-0.69,23.42,-0.54,22.35,-0.45
1924,24.53,-0.46,23.83,-0.13,22.7,-0.1
1925,23.76,-1.23,22.56,-1.4,21.55,-1.25
1926,24.63,-0.36,23.56,-0.4,22.37,-0.43
1927,24.86,-0.13,23.52,-0.44,22.4,-0.4
1928,25.35,0.36,24.37,0.41,23.21,0.41
1929,24.86,-0.13,24.74,0.78,23.33,0.53
1930,25.39,0.4,23.68,-0.28,22.64,-0.16
1931,25.61,0.62,24.74,0.78,23.58,0.78
1932,23.92,-1.07,22.68,-1.28,21.46,-1.34
1933,24.84,-0.15,23.32,-0.64,22.31,-0.43
1934,24.15,-0.84,22.99,-0.97,22.04,-0.76
1935,24.98,-0.01,24.14,0.18,23.07,0.27
1936,24.86,-0.13,23.92,-0.04,22.88,0.08
1937,25.24,0.25,24.24,0.28,23.34,0.54
1938,25.2,0.21,24.1,0.14,23.32,0.52
1939,24.32,-0.67,23.78,-0.18,22.77,-0.03
1940,24.71,-0.28,24.41,0.45,23.12,0.32
1941,26.04,1.05,25.54,1.58,24.23,1.43
1942,25.18,0.19,24.21,0.25,22.81,0.01
1943,24.55,0.44,23.9,-0.06,22.57,-0.23
1944,24.91,-0.08,24.24,0.28,23.03,0.23
1945,24.57,-0.42,22.97,-0.99,21.94,-0.86
1946,25.27,0.28,25.11,1.15,24.11,1.31
1947,25.09,0.1,23.97,0.01,22.88,0.08
1948,25.62,0.63,24.84,0.88,23.58,0.78
1949,25.27,0.28,24.5,0.54,23.35,0.55
1950,25.04,0.05,24.06,0.1,22.63,-0.17
1951,25.75,0.76,24.47,0.51,23.3,0.5
1952,25.58,0.59,24.07,0.11,22.86,0.06
1953,26.02,1.03,24.7,0.74,23.65,0.85
1954,26.05,1.06,24.9,0.94,23.8,1
1955,24.87,-0.12,23.84,-0.12,22.49,-0.31
1956,24.59,-0.4,23.34,-0.62,22.23,-0.57
1957,25.45,0.46,23.65,-0.31,22.8,0
1958,25.34,0.35,23.33,-0.63,22.23,-0.57
1959,26.03,1.04,24.97,1.01,23.69,0.89
1960,25.25,0.26,23.92,-0.04,22.97,0.17
1961,25.29,0.3,23.8,-0.16,22.69,-0.11
1962,24.43,-0.56,23.09,-0.87,21.81,-0.99
1963,23.44,-1.55,22.32,-1.64,20.62,-2.18
1964,25.32,0.33,23.67,-0.29,22.43,-0.37
1965,25.59,0.6,24.61,0.65,23.53,0.73
1966,26.5,1.51,25.53,1.57,24.45,1.65
1967,24.08,-0.91,22.67,-1.29,21.2,-1.6
1968,24.51,-0.48,23.43,-0.53,22.06,-0.74
1969,25.43,0.44,24.59,0.63,23.22,0.42
1970,25.55,0.56,24.28,0.32,23.15,0.35
1971,24.53,-0.46,23.37,-0.59,22.34,-0.46
1972,25.31,0.32,23.85,-0.11,23.08,0.28
1973,25.58,0.59,24.58,0.62,23.41,0.61
1974,25.31,0.32,24.12,0.16,22.97,0.17
1975,25.09,0.1,23.78,-0.18,22.56,-0.24
1976,25.28,0.29,24.29,0.43,23.18,0.38
1977,25.18,0.19,23.93,-0.03,22.74,-0.06
1978,24.62,-0.37,24.35,0.39,22.93,0.13
1979,25.41,0.42,25.6,1.64,24.24,1.44
1980,24.56,-0.43,23.96,0,22.34,-0.46
1981,24.92,-0.07,24.18,0.22,22.8,0
1982,24.74,-0.25,23.91,-0.05,22.62,-0.18
1983,24.53,-0.46,23.24,-0.72,22.08,-0.72
1984,24.28,-0.71,23.21,-0.75,22.25,-0.55
1985,25.11,0.12,24.05,0.09,22.88,0.08
1986,23.78,-1.21,23.14,-0.82,22.04,-0.76
1987,24.97,-0.02,24.39,0.43,23.33,0.58
1988,25.56,0.57,24.15,0.19,23.43,0.63
1989,24.94,-0.05,23.8,-0.16,23.21,0.41
1990,25.87,0.88,24.8,0.84,24.4,1.6
1991,25.37,0.38,24.61,0.65,23.98,1.18
1992,25.07,0.08,24.33,0.37,23.33,0.53
1993,25.2,0.21,24.64,0.68,23.71,0.91
1994,26.13,1.14,25.96,2,25.01,2.21
1995,24.72,-0.27,23.81,-0.15,22.69,-0.11
1996,24.9,-0.09,24.42,0.46,23.41,0.61
1997,25.39,0.4,24.55,0.59,23.77,0.97
1998,26.65,1.66,25.49,1.53,24.83,2.03
1999,25.35,0.36,24.58,0.62,24.11,1.31
2000,25.79,0.8,24.83,0.87,24.44,1.64
2001,25.72,0.73,25.34,1.38,24.68,1.88
2002,25.29,0.3,25.36,1.4,24.68,1.88
2003,25.07,0.08,24.85,0.89,23.98,1.18
2004,25.25,0.26,25,1.04,24.04,1.24
2005,24.87,-0.12,24.25,0.29,22.94,0.14
2006,26.29,1.3,25.4,1.44,24.59,1.79
2007,26.57,1.58,25.95,1.99,25.02,2.22
2008,25.45,0.46,24.14,0.18,23.31,0.51
2009,25.66,0.67,25.43,1.47,24.48,1.68
2010,25.86,0.87,25.38,1.42,24.22,1.42
2011,24.61,-0.38,24.38,-0.58,22.96,0.16
2012,25.68,0.69,24.25,0.29,23.51,0.71
2013,26.04,1.05,24.81,0.85,24.14,1.34
2014,25.05,0.06,24.14,0.18,23.15,0.51
2015,26,1.01,25.23,1.27,24.58,1.78
2016,26.42,1.43,24.68,0.72,24.18,1.38
2017,26.22,1.23,25.18,1.22,24.77,1.97
2018,25.33,0.34,23.92,-0.04,23.2,0.4
