時間戳記,您的學校位於哪個縣市？,您屬於下列哪個年齡層？,您使用頻率最高的手機應用程式為？,您使用頻率第二高的手機應用程式為？,您使用頻率第三高的手機應用程式為？,您使用頻率第四高的手機應用程式為？,您使用頻率第五高的手機應用程式為？
2020/12/30 下午 5:22:18,臺北市,15 歲以上 ～ 18 歲,Line,Instagram,照片,Google,Facebook
2020/12/30 下午 5:31:55,臺北市,15 歲以上 ～ 18 歲,Instagram ,Line,Netflix,Youtube,記帳程式（Pennyworth）
2020/12/30 下午 6:13:02,高雄市,15 歲以上 ～ 18 歲,Instagram ,Youtube,Line,Messenger,Netflix 
2020/12/30 下午 6:17:59,高雄市,12 ～ 15 歲,YouTube ,陸版抖音,IG,FB,傳說對決
2020/12/30 下午 6:18:26,高雄市,15 歲以上 ～ 18 歲,Ig,Netflix ,YouTube ,Dcard ,TikTok 
2020/12/30 下午 6:18:28,臺南市,15 歲以上 ～ 18 歲,Instagram ,Spotify,YouTube ,Line,Facebook 
2020/12/30 下午 6:19:12,高雄市,15 歲以上 ～ 18 歲,Instagram,YouTube ,傳說對決,X,X
2020/12/30 下午 6:20:00,臺南市,15 歲以上 ～ 18 歲,Poweramp,facebook,chrome,google翻譯,forest 專注森林
2020/12/30 下午 6:22:29,臺南市,15 歲以上 ～ 18 歲,ig,Message ,Line,大台南公車,雙鐵時刻表
2020/12/30 下午 6:22:36,臺南市,15 歲以上 ～ 18 歲,IG,Messenger ,YouTube ,LINE ,Flora
2020/12/30 下午 6:22:36,臺南市,15 歲以上 ～ 18 歲,ig,Message ,Line,大台南公車,雙鐵時刻表
2020/12/30 下午 6:28:39,高雄市,15 歲以上 ～ 18 歲,Ig,Yt ,Messages ,Fb,Line 
2020/12/30 下午 6:29:31,臺北市,15 歲以上 ～ 18 歲,line,YouTube ,Instagram ,Facebook ,小紅書
2020/12/30 下午 6:32:55,臺南市,15 歲以上 ～ 18 歲,YouTube ,Facebook ,Instagram ,Line,Messenger 
2020/12/30 下午 6:33:04,臺南市,15 歲以上 ～ 18 歲,Lofter,Youtube,Bilibili,MB3,少女的王座(遊戲)
2020/12/30 下午 6:34:24,高雄市,12 ～ 15 歲,Youtube,messenger,Fb,怪物鬧鐘,Line
2020/12/30 下午 6:34:55,臺南市,15 歲以上 ～ 18 歲,Messenger,Gmail,Pinterest ,Line,Instagram 
2020/12/30 下午 6:35:19,高雄市,15 歲以上 ～ 18 歲,YouTube ,IG,Line,Podcast ,MB3
2020/12/30 下午 6:36:13,高雄市,15 歲以上 ～ 18 歲,Ig,Line,Youtube,Lightroom,Severe
2020/12/30 下午 6:38:22,高雄市,15 歲以上 ～ 18 歲,YouTube,webtoon,b站,ig,qq
2020/12/30 下午 6:38:25,臺南市,15 歲以上 ～ 18 歲,IG,Youtube,KKBOX,Line,Facebook
2020/12/30 下午 6:38:32,臺南市,15 歲以上 ～ 18 歲,Instagram ,Line ,YouTube,Facebook ,Weverse 
2020/12/30 下午 6:41:10,高雄市,15 歲以上 ～ 18 歲,IG,YT,YT Music ,Line ,影片剪輯
2020/12/30 下午 6:42:12,高雄市,15 歲以上 ～ 18 歲,LINE,PUBG,tik tok,WeChat,Google
2020/12/30 下午 6:42:57,臺南市,15 歲以上 ～ 18 歲,Flora,Google,YouTube ,LINE ,Messenger 
2020/12/30 下午 6:43:21,高雄市,15 歲以上 ～ 18 歲,Instagram ,Messenger ,YouTube ,Facebook ,Google 
2020/12/30 下午 6:44:00,高雄市,15 歲以上 ～ 18 歲,IG,YT,小說迷,FB,相機
2020/12/30 下午 6:44:45,高雄市,15 歲以上 ～ 18 歲,ig,youtube,messenger,貓咪大戰爭,傳說對決
2020/12/30 下午 6:44:49,高雄市,15 歲以上 ～ 18 歲,Ig,Youtube,Google,X,X
2020/12/30 下午 6:45:36,臺南市,15 歲以上 ～ 18 歲,蝦皮購物,IG,YouTube ,FB,LINE
2020/12/30 下午 6:45:38,臺南市,15 歲以上 ～ 18 歲,ig,youtube ,BTS WORLD ,line ,WEBTOON
2020/12/30 下午 6:46:05,高雄市,15 歲以上 ～ 18 歲,ig,messenger,yt,line,蝦皮
2020/12/30 下午 6:46:34,高雄市,15 歲以上 ～ 18 歲,YouTube ,Line ,Instagram,Webtoon ,Ban G Dream 
2020/12/30 下午 6:47:41,高雄市,20,LINE,Instagram ,沒有,沒有,沒有
2020/12/30 下午 6:48:19,高雄市,15 歲以上 ～ 18 歲,IG,LINE,小紅書,YT,FB
2020/12/30 下午 6:48:23,高雄市,15 歲以上 ～ 18 歲,手遊,通訊軟體,X,X,X
2020/12/30 下午 6:50:17,高雄市,15 歲以上 ～ 18 歲,Instagram ,Youtube,Netflix ,抖音,Message 
2020/12/30 下午 6:53:41,高雄市,15 歲以上 ～ 18 歲,Instagram ,Youtube,傳說對決,Line,抖音
2020/12/30 下午 6:55:05,高雄市,15 歲以上 ～ 18 歲,IG,LINE,蝦皮,抖音,Netflix 
2020/12/30 下午 6:55:17,高雄市,15 歲以上 ～ 18 歲,IG,YouTube ,無,無,無
2020/12/30 下午 6:58:30,臺南市,15 歲以上 ～ 18 歲,FB,小說連結閱讀,Ig,Tuner Radio Plus,蝦皮購物
2020/12/30 下午 6:59:25,高雄市,15 歲以上 ～ 18 歲,IG,Youtube,Line,MB3,Tik Tok
2020/12/30 下午 6:59:52,臺南市,15 歲以上 ～ 18 歲,Message，IG，FB,YouTube,LINE,Pinterest,Google
2020/12/30 下午 7:01:12,高雄市,15 歲以上 ～ 18 歲,YouTube ,IG,Netflix ,Dcard ,Messenger 
2020/12/30 下午 7:08:10,高雄市,15 歲以上 ～ 18 歲,Ig,Youtube,Google ,Messenger ,照片
2020/12/30 下午 7:08:19,高雄市,15 歲以上 ～ 18 歲,ins,YT,lol,傳說,safari
2020/12/30 下午 7:08:25,高雄市,15 歲以上 ～ 18 歲,Line,Instagram,Twitter,Facebook,Steam
2020/12/30 下午 7:11:02,臺南市,15 歲以上 ～ 18 歲,Ig,YouTube ,Messenger ,Line,Dcard 
2020/12/30 下午 7:15:47,臺南市,15 歲以上 ～ 18 歲,IG,Line,Dcard ,小紅書,傳說對決
2020/12/30 下午 7:24:33,臺南市,15 歲以上 ～ 18 歲,Instagram,Youtube,愛奇藝,Line,抖音
2020/12/30 下午 7:29:47,臺南市,15 歲以上 ～ 18 歲,IG,Line,Neflix,Webtoon,Bus+
2020/12/30 下午 7:31:45,臺南市,15 歲以上 ～ 18 歲,Instagram,Messenger,蝦皮購物,Facebook,Chrome
2020/12/30 下午 7:35:52,高雄市,15 歲以上 ～ 18 歲,Ig,Line,Goodnight,Facebook,全民k歌
2020/12/30 下午 7:49:35,高雄市,15 歲以上 ～ 18 歲,Messenger , YouTube ,Google 搜尋引擎,Instagram,LINE
2020/12/30 下午 7:51:34,高雄市,15 歲以上 ～ 18 歲,Ig,message,webtoon,youtube,fb
2020/12/30 下午 7:52:01,臺南市,15 歲以上 ～ 18 歲,IG,Line,messenger,×,×
2020/12/30 下午 7:57:26,臺南市,15 歲以上 ～ 18 歲,Instagram ,Line,Facebook ,messenger ,YouTube 
2020/12/30 下午 8:03:57,臺南市,15 歲以上 ～ 18 歲,YouTube ,QQ飛車,皇室戰爭,chrome ,fb
2020/12/30 下午 8:04:11,臺南市,15 歲以上 ～ 18 歲,instagram ,chrome,twitter,youtube,line
2020/12/30 下午 8:04:37,臺南市,15 歲以上 ～ 18 歲,Youtube,ig,蝦皮,Dcard,Line
2020/12/30 下午 8:05:08,臺南市,15 歲以上 ～ 18 歲,ig,message,webtoon,line,蝦皮
2020/12/30 下午 8:05:14,臺南市,15 歲以上 ～ 18 歲,Safari,Facebook,World of tanks blitz (遊戲）,Dcard,Instagram
2020/12/30 下午 8:05:51,臺南市,15 歲以上 ～ 18 歲,萬國覺醒,Random Dice,Message,Google,漫畫人
2020/12/30 下午 8:08:22,臺南市,15 歲以上 ～ 18 歲,ig,YouTube,massage,fb,webtoon
2020/12/30 下午 8:09:53,新竹市,15 歲以上 ～ 18 歲,Ig,Line,YouTube ,Twitch,Fb
2020/12/30 下午 8:12:20,臺南市,15 歲以上 ～ 18 歲,Message,YouTube,王者榮耀,傳說,LoL
2020/12/30 下午 8:12:50,臺南市,15 歲以上 ～ 18 歲,ig,fb,youtube,dcard,Twitter
2020/12/30 下午 8:13:18,臺南市,12 ～ 15 歲,YouTube ,IG,荒野亂鬥,Messenger ,音樂
2020/12/30 下午 8:14:11,臺南市,15 歲以上 ～ 18 歲,戀與製作人,Facebook,プロセ力,YouTube ,IG
2020/12/30 下午 8:18:16,高雄市,15 歲以上 ～ 18 歲,ig,line,messenger ,抖音,yt
2020/12/30 下午 8:23:17,高雄市,15 歲以上 ～ 18 歲,IG,Messenger ,PUBG,Line,神魔之塔
2020/12/30 下午 8:24:18,新竹縣,15 歲以上 ～ 18 歲, ig,messenger,youtube,webtoon,wechat
2020/12/30 下午 8:24:18,嘉義縣,15 歲以上 ～ 18 歲,LINE,臉書,ig,youtube,tiktok
2020/12/30 下午 8:26:57,高雄市,15 歲以上 ～ 18 歲,ig,萬國覺醒,傳說對決,messnger,line
2020/12/30 下午 8:33:06,新竹縣,15 歲以上 ～ 18 歲,Ig,Google,Fb,X,X
2020/12/30 下午 8:34:21,新竹市,15 歲以上 ～ 18 歲,Instagram ,Line,YouTube ,Telegram,Dcard
2020/12/30 下午 8:36:06,高雄市,15 歲以上 ～ 18 歲,Ig ,YouTube ,抖音,蝦皮,Line
2020/12/30 下午 8:36:25,新竹市,15 歲以上 ～ 18 歲,instagram,youtube,messenger,google,蝦皮
2020/12/30 下午 8:37:20,新竹市,15 歲以上 ～ 18 歲,抖音,IG,YouTube,Fb,戀語製作人
2020/12/30 下午 8:42:38,臺南市,15 歲以上 ～ 18 歲,Safari,Instagram,Facebook,Line,蝦皮購物
2020/12/30 下午 8:44:15,高雄市,15 歲以上 ～ 18 歲,ig,YouTube ,MixerBox,知音漫客, line
2020/12/30 下午 8:45:26,嘉義縣,15 歲以上 ～ 18 歲,Messenger,Facebook,Line,Instagram,Youtube
2020/12/30 下午 8:46:43,臺南市,15 歲以上 ～ 18 歲,IG,Google,Line,熊大農場,Message 
2020/12/30 下午 8:48:26,高雄市,15 歲以上 ～ 18 歲,Instagram ,Messager,Line ,Dcard ,Line 
2020/12/30 下午 8:50:19,高雄市,12 ～ 15 歲,ig ,yt,抖音,Fb,Line
2020/12/30 下午 8:51:50,新竹市,15 歲以上 ～ 18 歲,Instagram ,Apple Music ,Youtube,SoundCloud ,小紅書
2020/12/30 下午 8:55:54,高雄市,15 歲以上 ～ 18 歲,YouTube,Message,IG,微博,蝦皮
2020/12/30 下午 9:09:54,高雄市,15 歲以上 ～ 18 歲,Youtube,Messenger,Ig,Line,激鬥峽谷
2020/12/30 下午 9:13:09,臺南市,15 歲以上 ～ 18 歲,Messenger,Spotify,IG,FB,LINE
2020/12/30 下午 9:17:08,新竹市,15 歲以上 ～ 18 歲,Messenger ,IG,FB,Line ,Dcard
2020/12/30 下午 9:24:30,嘉義縣,15 歲以上 ～ 18 歲,Instagram,Youtube,抖音,Facebook,傳說對決
2020/12/30 下午 9:25:09,新竹市,15 歲以上 ～ 18 歲,Ins,YouTube ,TikTok ,Facebook ,Shopee 
2020/12/30 下午 9:28:15,新竹市,12 ～ 15 歲,ig,messenger,youtube,電話,相機
2020/12/30 下午 9:38:47,臺南市,15 歲以上 ～ 18 歲,Messenger,Instagram ,Youtube,Google,Dcard
2020/12/30 下午 9:45:27,高雄市,15 歲以上 ～ 18 歲,ig,line ,fb,yt,twitter 
2020/12/30 下午 9:47:17,新竹市,15 歲以上 ～ 18 歲,Instagram,Youtube,Tiktok,Weibo,Line
2020/12/30 下午 9:47:19,臺中市,12 ～ 15 歲,Instagram,YouTube,Line,X,X
2020/12/30 下午 9:49:22,臺南市,15 歲以上 ～ 18 歲,IG,LINE,YT,Google,抖音
2020/12/30 下午 9:49:34,臺南市,15 歲以上 ～ 18 歲,Bravolol,Messenger ,Facebook ,StreetVoice ,Ig
2020/12/30 下午 9:49:51,高雄市,15 歲以上 ～ 18 歲,網際網路(看小說,愛奇藝,YouTube ,Instagram ,LINE 
2020/12/30 下午 9:51:26,臺中市,12 ～ 15 歲,IG,FB,LINE,抖音,YT
2020/12/30 下午 9:53:53,臺中市,12 ～ 15 歲,ig,賴,抖音,YT,FB
2020/12/30 下午 9:55:55,臺南市,15 歲以上 ～ 18 歲,Youtube,Instagram,小紅書,蝦皮,Google
2020/12/30 下午 9:59:31,高雄市,15 歲以上 ～ 18 歲,YouTube ,Goole,Ig,Fb,Line
2020/12/30 下午 10:02:58,臺南市,15 歲以上 ～ 18 歲,Ig,Messenger,Line,傳說,絕地求生
2020/12/30 下午 10:03:16,臺中市,15 歲以上 ～ 18 歲,instagram,line,抖音,zenly,YouTube 
2020/12/30 下午 10:03:48,臺南市,15 歲以上 ～ 18 歲,Instagram ,messenger ,facebook,LINE,lightroom 
2020/12/30 下午 10:05:42,臺南市,15 歲以上 ～ 18 歲,IG,webtoon,messenger,google,相簿
2020/12/30 下午 10:16:09,臺中市,12 ～ 15 歲,instagram,line,youtube,faccbook,cheers
2020/12/30 下午 10:19:34,臺南市,15 歲以上 ～ 18 歲,Facebook,微博,SKY光遇,Messenger,LINE
2020/12/30 下午 10:31:31,高雄市,15 歲以上 ～ 18 歲,Line,Ig,Dcard,MB3,雲端硬碟
2020/12/30 下午 10:41:13,臺南市,15 歲以上 ～ 18 歲,IG ,YouTube ,FB,傳說對決😻,LINE
2020/12/30 下午 10:41:37,臺南市,15 歲以上 ～ 18 歲,Instagram ,Facebook ,YouTube,Coin Master,X
2020/12/30 下午 10:43:15,臺南市,15 歲以上 ～ 18 歲,IG,Message,Google,2k,Snap chat
2020/12/30 下午 10:54:15,臺南市,15 歲以上 ～ 18 歲,youtube,messenger,facebook,instagram,LINE
2020/12/30 下午 11:03:38,臺南市,15 歲以上 ～ 18 歲,messenger ,Facebook ,Line,IG,Youtube
2020/12/30 下午 11:05:56,臺南市,15 歲以上 ～ 18 歲,IG,Dcard,YouTube ,Messenger ,Fb
2020/12/30 下午 11:10:14,高雄市,15 歲以上 ～ 18 歲,Instagram ,Line,Messager,Youtube,Fimo
2020/12/30 下午 11:50:40,高雄市,15 歲以上 ～ 18 歲,Ig,Line,Dcard,X,X
2020/12/30 下午 11:51:21,臺北市,15 歲以上 ～ 18 歲,Line,Chrome,Google drive,IG,Google sheet
2020/12/31 上午 12:46:27,臺南市,15 歲以上 ～ 18 歲,Face book,Instagram ,決戰！平安京,Bilibili ,Twitter 
2020/12/31 上午 2:35:38,高雄市,15 歲以上 ～ 18 歲,傳說對決,mg,line ,ig,fb
2020/12/31 上午 6:10:15,臺南市,15 歲以上 ～ 18 歲,哀居,Toutube,LINE,Discord,X
2020/12/31 上午 6:36:18,臺南市,15 歲以上 ～ 18 歲,fb,messenger,google,yt,ig
2020/12/31 上午 6:54:08,臺南市,15 歲以上 ～ 18 歲,抖音,IG,FB,Youtube,Line
2020/12/31 上午 7:03:38,桃園市,15 歲以上 ～ 18 歲,IG,YT,LINE ,Google,TunerRadioPlus
2020/12/31 上午 7:43:26,高雄市,15 歲以上 ～ 18 歲,YouTube ,line ,ig,ig,igfb
2020/12/31 上午 7:46:51,新北市,15 歲以上 ～ 18 歲,Ig,Line,Youtube,蝦皮,Fb
2020/12/31 上午 7:47:32,新北市,15 歲以上 ～ 18 歲,Ig,Line,Dcard,英雄聯盟,探探
