name,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額,end_date,year,start_date,end_year,screen_year
全國電影票房2017年10021008統計資訊,中國大陸,我在故宮修文物,2017-10-02,岸上影像有限公司,杭州潛影文化創意有限公司##故宮博物院##天津貓眼文化傳媒有限公司##上海幻電信息科技有限公司##微鯨科技有限公司##廣州弘光電影投資合夥企業##前景娛樂公司,9,570,129103,616,136143,2017-10-08,2017,2017-10-02,2017,2017
全國電影票房2017年10021008統計資訊,中華民國,乒乓,2017-10-02,財團法人公共電視文化事業基金會,財團法人公共電視文化事業基金會,1,295,58250,382,75340,2017-10-08,2017,2017-10-02,2017,2017
全國電影票房2017年10021008統計資訊,中華民國,林投記,2017-10-02,財團法人公共電視文化事業基金會,財團法人公共電視文化事業基金會,1,275,54130,354,69440,2017-10-08,2017,2017-10-02,2017,2017
全國電影票房2017年10021008統計資訊,香港,追龍,2017-09-29,華映娛樂股份有限公司,(香港)星王朝有限公司##(香港)夢造者娛樂有限公司##(香港)太陽娛樂文化有限公司##(香港)銀都機構有限公司##(香港)紅地毯文化產業投資基金##(大陸)博納影業集團股份有限公司##(大陸)北京源石影視文化有限公司,67,86861,19872900,136853,31110909,2017-10-08,2017,2017-10-02,2017,2017
全國電影票房2017年10021008統計資訊,中華民國,老師你會不會回來,2017-09-29,星泰國際娛樂股份有限公司,(中華民國)滿滿額娛樂有限公司##(中華民國)風尚國際文化傳媒股份有限公司##(中華民國)百聿數碼創意股份有限公司##(中華民國)香港商福斯傳媒有限公司台灣分公司##(中華民國)神州娛樂股份有限公司##(中華民國)鳳凰藝能股份有限公司##(新加坡)MM2 ENTERTAINMENT PTE  LTD(新加坡)MM2 ENTERTAINMENT PTE  LTD##(大陸)米銳克傳媒##(大陸)上海明時文化傳播有限公司,78,52922,11852483,100844,22419756,2017-10-08,2017,2017-10-02,2017,2017
全國電影票房2017年10021008統計資訊,美國,極地追擊,2017-09-29,海樂影業股份有限公司,"VOLTAGE PICTURES,LLC.",58,26034,5918703,45571,10319396,2017-10-08,2017,2017-10-02,2017,2017
全國電影票房2017年10021008統計資訊,美國,母親！,2017-09-29,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,81,16119,3718395,31218,7180965,2017-10-08,2017,2017-10-02,2017,2017
全國電影票房2017年10021008統計資訊,美國,穆荷蘭大道,2017-09-29,東昊影業有限公司,(法國)STUDIOCANAL S.A.S,10,3101,659445,4993,1060110,2017-10-08,2017,2017-10-02,2017,2017
全國電影票房2017年10021008統計資訊,日本,春宵苦短，少女前進吧！,2017-09-29,向洋影業有限公司,FUJI CREATIVE CORP.,5,1253,315275,1915,483714,2017-10-08,2017,2017-10-02,2017,2017
全國電影票房2017年10021008統計資訊,美國,密弒逃脫,2017-09-29,暗光鳥有限公司,"VOLTAGE PICTURES,LLC.",10,1028,225463,2069,453398,2017-10-08,2017,2017-10-02,2017,2017
全國電影票房2017年10021008統計資訊,法國,絕代天后黛莉達,2017-09-29,捷傑有限公司,PATHE DISTRIBUTION S.A.S.,8,581,120641,997,207722,2017-10-08,2017,2017-10-02,2017,2017
