"committee","lgno","name","term","sessionPeriod","isCoChairman","姓名+出生日期","立法院","組織名稱","職位名稱","起始","結束","地址","組織名稱+地址"
"內政委員會",24,"李正宗","04","1","N","李正宗+1948","立法院","立法院內政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院內政委員會+台北市中正區中山南路1號"
"內政委員會",44,"林正二","04","1","N","林正二+1952","立法院","立法院內政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院內政委員會+台北市中正區中山南路1號"
"內政委員會",54,"林春德","04","1","N","林春德+1947","立法院","立法院內政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院內政委員會+台北市中正區中山南路1號"
"內政委員會",76,"邱鏡淳","04","1","N","邱鏡淳+1949","立法院","立法院內政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院內政委員會+台北市中正區中山南路1號"
"內政委員會",98,"翁金珠","04","1","N","翁金珠+1947","立法院","立法院內政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院內政委員會+台北市中正區中山南路1號"
"內政委員會",103,"許登宮","04","1","N","許登宮+1940","立法院","立法院內政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院內政委員會+台北市中正區中山南路1號"
"內政委員會",124,"曹爾忠","04","1","N","曹爾忠+1954","立法院","立法院內政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院內政委員會+台北市中正區中山南路1號"
"內政委員會",126,"陳定南","04","1","N","陳定南+1943","立法院","立法院內政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院內政委員會+台北市中正區中山南路1號"
"內政委員會",148,"曾華德","04","1","N","曾華德+1953","立法院","立法院內政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院內政委員會+台北市中正區中山南路1號"
"內政委員會",156,"黃木添","04","1","Y","黃木添+1936","立法院","立法院內政委員會","召集委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院內政委員會+台北市中正區中山南路1號"
"內政委員會",161,"黃義交","04","1","N","黃義交+1953","立法院","立法院內政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院內政委員會+台北市中正區中山南路1號"
"內政委員會",174,"廖風德","04","1","N","廖風德+1951","立法院","立法院內政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院內政委員會+台北市中正區中山南路1號"
"內政委員會",183,"鄭朝明","04","1","N","鄭朝明+1952","立法院","立法院內政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院內政委員會+台北市中正區中山南路1號"
"內政委員會",186,"蔡中涵","04","1","N","蔡中涵+1943","立法院","立法院內政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院內政委員會+台北市中正區中山南路1號"
"內政委員會",189,"蔡家福","04","1","Y","蔡家福+1956","立法院","立法院內政委員會","召集委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院內政委員會+台北市中正區中山南路1號"
"內政委員會",212,"戴振耀","04","1","N","戴振耀+1948","立法院","立法院內政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院內政委員會+台北市中正區中山南路1號"
"內政委員會",220,"簡錫堦","04","1","Y","簡錫堦+1947","立法院","立法院內政委員會","召集委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院內政委員會+台北市中正區中山南路1號"
"經濟委員會",28,"李俊毅","04","1","N","李俊毅+1959","立法院","立法院經濟委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院經濟委員會+台北市中正區中山南路1號"
"經濟委員會",29,"李嘉進","04","1","N","李嘉進+1957","立法院","立法院經濟委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院經濟委員會+台北市中正區中山南路1號"
"經濟委員會",37,"吳克清","04","1","N","吳克清+1954","立法院","立法院經濟委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院經濟委員會+台北市中正區中山南路1號"
"經濟委員會",56,"林益世","04","1","N","林益世+1968","立法院","立法院經濟委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院經濟委員會+台北市中正區中山南路1號"
"經濟委員會",63,"林豐喜","04","1","N","林豐喜+1950","立法院","立法院經濟委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院經濟委員會+台北市中正區中山南路1號"
"經濟委員會",74,"邱垂貞","04","1","Y","邱垂貞+1951","立法院","立法院經濟委員會","召集委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院經濟委員會+台北市中正區中山南路1號"
"經濟委員會",81,"洪奇昌","04","1","N","洪奇昌+1951","立法院","立法院經濟委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院經濟委員會+台北市中正區中山南路1號"
"經濟委員會",88,"唐碧娥","04","1","N","唐碧娥+1960","立法院","立法院經濟委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院經濟委員會+台北市中正區中山南路1號"
"經濟委員會",90,"高揚昇","04","1","N","高揚昇+1952","立法院","立法院經濟委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院經濟委員會+台北市中正區中山南路1號"
"經濟委員會",95,"徐成焜","04","1","N","徐成焜+1947","立法院","立法院經濟委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院經濟委員會+台北市中正區中山南路1號"
"經濟委員會",104,"許舒博","04","1","Y","許舒博+1963","立法院","立法院經濟委員會","召集委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院經濟委員會+台北市中正區中山南路1號"
"經濟委員會",137,"陳超明","04","1","N","陳超明+1951","立法院","立法院經濟委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院經濟委員會+台北市中正區中山南路1號"
"經濟委員會",149,"曾蔡美佐","04","1","N","曾蔡美佐+1945","立法院","立法院經濟委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院經濟委員會+台北市中正區中山南路1號"
"經濟委員會",175,"廖婉汝","04","1","N","廖婉汝+1960","立法院","立法院經濟委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院經濟委員會+台北市中正區中山南路1號"
"經濟委員會",209,"謝言信","04","1","N","謝言信+1929","立法院","立法院經濟委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院經濟委員會+台北市中正區中山南路1號"
"經濟委員會",216,"鍾紹和","04","1","N","鍾紹和+1956","立法院","立法院經濟委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院經濟委員會+台北市中正區中山南路1號"
"財政委員會",17,"朱星羽","04","1","Y","朱星羽+1956","立法院","立法院財政委員會","召集委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院財政委員會+台北市中正區中山南路1號"
"財政委員會",42,"余政道","04","1","N","余政道+1963","立法院","立法院財政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院財政委員會+台北市中正區中山南路1號"
"財政委員會",64,"林耀興","04","1","N","林耀興+1959","立法院","立法院財政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院財政委員會+台北市中正區中山南路1號"
"財政委員會",73,"邱太三","04","1","N","邱太三+1956","立法院","立法院財政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院財政委員會+台北市中正區中山南路1號"
"財政委員會",102,"許添財","04","1","N","許添財+1951","立法院","立法院財政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院財政委員會+台北市中正區中山南路1號"
"財政委員會",107,"郭廷才","04","1","N","郭廷才+1936","立法院","立法院財政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院財政委員會+台北市中正區中山南路1號"
"財政委員會",117,"張俊宏","04","1","N","張俊宏+1938","立法院","立法院財政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院財政委員會+台北市中正區中山南路1號"
"財政委員會",132,"陳振雄","04","1","N","陳振雄+1944","立法院","立法院財政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院財政委員會+台北市中正區中山南路1號"
"財政委員會",140,"陳勝宏","04","1","N","陳勝宏+1944","立法院","立法院財政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院財政委員會+台北市中正區中山南路1號"
"財政委員會",142,"陳榮盛","04","1","N","陳榮盛+1946","立法院","立法院財政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院財政委員會+台北市中正區中山南路1號"
"財政委員會",169,"楊瓊瓔","04","1","N","楊瓊瓔+1964","立法院","立法院財政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院財政委員會+台北市中正區中山南路1號"
"財政委員會",173,"葉憲修","04","1","N","葉憲修+1948","立法院","立法院財政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院財政委員會+台北市中正區中山南路1號"
"財政委員會",179,"潘維剛","04","1","N","潘維剛+1957","立法院","立法院財政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院財政委員會+台北市中正區中山南路1號"
"財政委員會",192,"蔡豪","04","1","N","蔡豪+1958","立法院","立法院財政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院財政委員會+台北市中正區中山南路1號"
"財政委員會",202,"賴士葆","04","1","N","賴士葆+1951","立法院","立法院財政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院財政委員會+台北市中正區中山南路1號"
"財政委員會",211,"謝章捷","04","1","N","謝章捷+1958","立法院","立法院財政委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院財政委員會+台北市中正區中山南路1號"
"財政委員會",222,"羅明才","04","1","Y","羅明才+1967","立法院","立法院財政委員會","召集委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院財政委員會+台北市中正區中山南路1號"
"教育及文化委員會",5,"王世勛","04","1","N","王世勛+1951","立法院","立法院教育及文化委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"教育及文化委員會",13,"瓦歷斯．貝林","04","1","N","瓦歷斯．貝林+1952","立法院","立法院教育及文化委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"教育及文化委員會",18,"朱惠良","04","1","N","朱惠良+1950","立法院","立法院教育及文化委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"教育及文化委員會",31,"李慶安","04","1","N","李慶安+1959","立法院","立法院教育及文化委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"教育及文化委員會",47,"林宗男","04","1","Y","林宗男+1942","立法院","立法院教育及文化委員會","召集委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"教育及文化委員會",53,"林政則","04","1","Y","林政則+1944","立法院","立法院教育及文化委員會","召集委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"教育及文化委員會",71,"周慧瑛","04","1","N","周慧瑛+1955","立法院","立法院教育及文化委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"教育及文化委員會",79,"洪秀柱","04","1","N","洪秀柱+1948","立法院","立法院教育及文化委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"教育及文化委員會",85,"范巽綠","04","1","N","范巽綠+1951","立法院","立法院教育及文化委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"教育及文化委員會",99,"翁重鈞","04","1","N","翁重鈞+1955","立法院","立法院教育及文化委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"教育及文化委員會",101,"許素葉","04","1","N","許素葉+1933","立法院","立法院教育及文化委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"教育及文化委員會",110,"章仁香","04","1","N","章仁香+1953","立法院","立法院教育及文化委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"教育及文化委員會",123,"曹啟鴻","04","1","N","曹啟鴻+1948","立法院","立法院教育及文化委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"教育及文化委員會",138,"陳景峻","04","1","N","陳景峻+1956","立法院","立法院教育及文化委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"教育及文化委員會",157,"黃秀孟","04","1","Y","黃秀孟+1944","立法院","立法院教育及文化委員會","召集委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"教育及文化委員會",160,"黃敏惠","04","1","N","黃敏惠+1959","立法院","立法院教育及文化委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"教育及文化委員會",182,"鄭逢時","04","1","N","鄭逢時+1941","立法院","立法院教育及文化委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"教育及文化委員會",207,"穆閩珠","04","1","N","穆閩珠+1949","立法院","立法院教育及文化委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院教育及文化委員會+台北市中正區中山南路1號"
"交通委員會",15,"伍澤元","04","1","N","伍澤元+1945","立法院","立法院交通委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院交通委員會+台北市中正區中山南路1號"
"交通委員會",50,"林炳坤","04","1","Y","林炳坤+1948","立法院","立法院交通委員會","召集委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院交通委員會+台北市中正區中山南路1號"
"交通委員會",52,"林建榮","04","1","N","林建榮+1946","立法院","立法院交通委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院交通委員會+台北市中正區中山南路1號"
"交通委員會",60,"林源山","04","1","N","林源山+1940","立法院","立法院交通委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院交通委員會+台北市中正區中山南路1號"
"交通委員會",92,"郝龍斌","04","1","N","郝龍斌+1952","立法院","立法院交通委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院交通委員會+台北市中正區中山南路1號"
"交通委員會",111,"張川田","04","1","N","張川田+1945","立法院","立法院交通委員會","委員",1999-02-26,1999-06-22,"台北市中正區中山南路1號","立法院交通委員會+台北市中正區中山南路1號"
