item_id	name	birthdate	birthplace	jobtitle	roles	gender
nm0417837	Emil Jannings	1884-07-23	Rorschach, St. Gallen, Switzerland	Actor/Producer/Art Department	 Actor:81 Producer:5 Art department:3 Miscellaneous Crew:2 Self:3 Archive footage:30	M
nm0001932	Richard Barthelmess	1895-05-09	New York City, New York, USA	Actor/Soundtrack/Producer	 Actor:80 Soundtrack:4 Producer:2 Self:9 Archive footage:19	M
nm0310980	Janet Gaynor	1906-10-06	Philadelphia, Pennsylvania, USA	Actress/Soundtrack	 Actress:67 Soundtrack:6 Self:13 Archive footage:12	F
nm0841797	Gloria Swanson	1899-03-27	Chicago, Illinois, USA	Actress/Soundtrack/Producer	 Actress:83 Soundtrack:7 Producer:5 Thanks:2 Self:91 Archive footage:54	F
nm0237571	Louise Dresser	1878-10-05	Evansville, Indiana, USA	Actress	 Actress:50 Self:3 Archive footage:6	F
nm0580017	William Cameron Menzies	1896-07-29	New Haven, Connecticut, USA	Art Director/Director/Art Department	 Art director:70 Director:24 Art department:20 Production designer:20 Producer:12 Miscellaneous Crew:10 Second Unit Director or Assistant Director:4 Set decorator:2 Archive footage:3	M
nm0646856	Harry Oliver	1888-04-04	Hastings, Minnesota, USA	Art Director/Art Department/Miscellaneous Crew	 Art director:16 Art department:14 Miscellaneous Crew:3	M
nm0322843	Rochus Gliese	1891-01-06	Berlin, Germany	Art Director/Director/Production Designer	 Art director:22 Director:17 Production designer:12 Writer:6 Costume designer:7 Actor:6	M
nm0003546	Charles Rosher	1885-11-17	London, England, UK	Cinematographer/Camera and Electrical Department/Miscellaneous Crew	 Cinematographer:139 Camera and Electrical Department:2 Miscellaneous Crew:2	M
nm0835365	Karl Struss	1886-11-30	New York City, New York, USA	Cinematographer/Camera and Electrical Department/Director	 Cinematographer:147 Camera and Electrical Department:5	M
nm0055604	George Barnes	1892-10-16	Pasadena, California, USA	Cinematographer/Camera and Electrical Department	 Cinematographer:145 Camera and Electrical Department:2	M
nm0587277	Lewis Milestone	1895-09-30	Kishinev, Russian Empire [now Chisinau, Moldova]	Director/Writer/Producer	 Director:53 Writer:13 Producer:12 Actor:5 Editor:2 Editorial department:2 Miscellaneous Crew:2 Self:5	M
nm0928514	Ted Wilde	1889-12-16	New York City, New York, USA	Director/Writer	 Director:9 Writer:6	M
nm0097648	Frank Borzage	1894-04-23	Salt Lake City, Utah, USA	Actor/Director/Producer	 Actor:113 Director:107 Producer:29 Writer:6 Self:5 Archive footage:3	M
nm0107543	Herbert Brenon	1880-01-13	Dublin, Ireland, UK [now Republic of Ireland]	Director/Writer/Actor	 Director:124 Writer:61 Actor:21 Producer:12 Miscellaneous Crew:2 Self:3	M
nm0896542	King Vidor	1894-02-08	Galveston, Texas, USA	Director/Writer/Producer	 Director:78 Writer:28 Producer:23 Actor:5 Miscellaneous Crew:5 Self:26 Archive footage:15	M
nm0690120	Roy Pomeroy	1892-04-20	Darjeeling, India	Special Effects/Director/Miscellaneous Crew	 Special effects:5 Director:3 Miscellaneous Crew:2	M
nm0322227	Benjamin Glazer	1887-05-07	Belfast, Ireland [now Northern Ireland], UK	Writer/Producer/Director	 Writer:53 Producer:29 Director:2 Production manager:2 Miscellaneous Crew:2	M
nm0170401	Anthony Coldeway	1887-08-01	Louisville, Kentucky, USA	Writer/Director	 Writer:154	M
nm0169879	Alfred A. Cohn	1880-03-26	Freeport, Illinois, USA	Writer/Director/Editor	 Writer:41 Director:2 Editor:2	M
nm0372942	Ben Hecht	1894-02-28	New York City, New York, USA	Writer/Actor/Producer	 Writer:165 Actor:8 Producer:8 Director:7 Self:6	M
nm0083742	Lajos Biró	1880-08-22	Nagyvarad, Austria-Hungary [now Oradea, Bihor, Romania]	Writer/Miscellaneous Crew	 Writer:61 Miscellaneous Crew:6	M
nm0240534	Gerald C. Duffy	1896-04-13	New York City, New York, USA	W/r/i/t/e/r	 Writer:43	M
nm0062828	Warner Baxter	1889-03-29	Columbus, Ohio, USA	Actor/Soundtrack	 Actor:108 Soundtrack:5 Self:4 Archive footage:12	M
nm0606431	Chester Morris	1901-02-16	New York City, New York, USA	Actor/Soundtrack	 Actor:127 Self:23 Archive footage:9	M
nm0051628	George Bancroft	1882-09-30	Philadelphia, Pennsylvania, USA	A/c/t/o/r	 Actor:54 Self:5 Archive footage:11	M
nm0832011	Lewis Stone	1879-11-15	Worcester, Massachusetts, USA	Actor/Writer	 Actor:152 Self:10 Archive footage:20	M
nm0612847	Paul Muni	1895-09-22	Lemberg, Galicia, Austria-Hungary [now Lviv, Ukraine]	Actor/Soundtrack	 Actor:29 Soundtrack:3 Self:11 Archive footage:21	M
nm0681933	Mary Pickford	1892-04-08	Toronto, Ontario, Canada	Actress/Producer/Writer	 Actress:246 Producer:35 Writer:14 Soundtrack:3 Miscellaneous Crew:3 Thanks:2 Self:43 Archive footage:88	F
nm0522281	Bessie Love	1898-09-10	Midland, Texas, USA	Actress/Soundtrack/Miscellaneous Crew	 Actress:154 Soundtrack:7 Self:24 Archive footage:6	M
nm0173993	Betty Compson	1897-03-19	Beaver, Utah, USA	Actress/Soundtrack	 Actress:209 Soundtrack:3 Self:10 Archive footage:8	F
nm0341464	Corinne Griffith	1894-11-21	Texarkana, Texas, USA	Actress/Producer/Soundtrack	 Actress:71 Producer:12 Soundtrack:3 Self:7 Archive footage:2	F
nm0247074	Jeanne Eagels	1890-06-26	Kansas City, Missouri, USA	Actress	 Actress:12	F
nm0154183	Ruth Chatterton	1892-12-24	New York City, New York, USA	Actress/Soundtrack/Writer	 Actress:32 Soundtrack:2 Self:3 Archive footage:4	F
nm0316539	Cedric Gibbons	1893-03-23	Dublin, Ireland	Art Director/Art Department/Set Decorator	 Art director:058 Art department:84 Set decorator:2 Self:2	M
nm0500552	Mitchell Leisen	1898-10-06	Menominee, Michigan, USA	Director/Art Director/Costume Designer	 Director:51 Art director:22 Costume designer:16 Actor:7 Producer:7 Second Unit Director or Assistant Director:5 Costume and Wardrobe Department:3 Set decorator:2 Self:2	M
