item_id	name	duration	inLanguage	creator	contentRating	rating	genre	director	popularity	country	budget
tt0019451	Tempest	PT1H42M	English	George Marion Jr.Lewis MilestoneVladimir Nemirovich-DanchenkoC. Gardner SullivanErich von Stroheim	Not Rated	7.0	Drama/Romance	Sam TaylorLewis MilestoneViktor Tourjansky	NA	USA	NA
tt0017822	The Dove	PT1H30M	English	Willard MackWallace SmithRoland WestGerald BeaumontWallace Smith	Passed	6.4	Adventure/Drama/Romance	Roland West	NA	USA	NA
tt0018379	7th Heaven	PT1H50M	English	Austin StrongBenjamin GlazerKatherine HillikerH.H. CaldwellKatherine HillikerH.H. CaldwellBernard Vorhaus	Not Rated	7.8	Drama/Romance	Frank Borzage	$1,318,563	USA	$1,300,000
            
tt0018455	Sunrise: A Song of Two Humans	PT1H34M	English	Carl MayerHermann SudermannKatherine HillikerH.H. Caldwell	Passed	8.2	Drama/Romance	F.W. Murnau	NA	USA	NA
tt0019344	Sadie Thompson	PT1H37M	NA	W. Somerset MaughamRaoul WalshC. Gardner SullivanJohn ColtonClemence Randolph	Unrated	7.9	D/r/a/m/a	Raoul Walsh	NA	USA	NA
tt0017806	The Devil Dancer	PT1H13M	English	Harry HerveyEdwin Justus MayerAlice D.G. Miller	NA	5.3	Drama/Romance	Fred Niblo	NA	USA	NA
tt0018129	The Magic Flame	PT1H40M	English	Rudolph LotharGeorge Marion Jr.June MathisBess MeredythNellie Revell	NA	4.7	D/r/a/m/a	Henry King	$615,000	USA	NA
tt0018578	Wings	PT2H24M	English	John Monk SaundersHope LoringLouis D. LightonJulian JohnsonByron Morgan	PG-13	7.7	Drama/Romance/War/Action	William A. WellmanHarry d'Abbadie d'Arrast	NA	USA	$2,000,000
            
tt0019304	The Racket	PT1H24M	English	Bartlett CormackBartlett CormackDel AndrewsTom MirandaHarry Behn	Passed	6.9	Crime/Drama/Film-Noir	Lewis Milestone	NA	USA	NA
tt0017743	Chang: A Drama of the Wilderness	PT1H9M	NA	Achmed AbdullahMerian C. CooperErnest B. Schoedsack	Passed	7.1	Adventure/Documentary	Merian C. CooperErnest B. Schoedsack	$612,425	USA	$60
            
tt0018806	The Crowd	PT1H38M	NA	King VidorJohn V.A. WeaverJoseph FarnhamHarry BehnKing Vidor	Not Rated	8.0	Drama/Romance	King Vidor	NA	USA	NA
tt0018945	Glorious Betsy	PT1H20M	English	Anthony ColdewayJack JarmuthRida Johnson Young	Passed	6.5	Drama/History	Alan Crosland	NA	USA	NA
tt0018037	The Jazz Singer	PT1H28M	English	Samson RaphaelsonAlfred A. CohnJack JarmuthSamson Raphaelson	Unrated	6.7	Drama/Music/Musical/Romance	Alan Crosland	NA	USA	$422,000
            
tt0018526	Underworld	PT1H20M	English	Charles FurthmanHoward HawksBen HechtRobert N. LeeGeorge Marion Jr.Josef von Sternberg	Not Rated	7.7	Crime/Drama/Film-Noir/Romance	Josef von SternbergArthur Rosson	$753,300	USA	NA
tt0019071	The Last Command	PT1H28M	English	Lajos BiróJohn F. GoodrichHerman J. MankiewiczJosef von Sternberg	Not Rated	8.0	Drama/History/Romance/War	Josef von Sternberg	NA	USA	NA
tt0017979	The Private Life of Helen of Troy	PT1H27M	NA	John ErskineRobert E. SherwoodCarey WilsonGerald C. DuffyCasey Robinson	Passed	5.7	Action/Adventure/Comedy/History/Romance	Alexander Korda	NA	USA	NA
tt0019722	The Bridge of San Luis Rey	PT1H26M	NA	Marian AinsleeRuth CummingsAlice D.G. MillerThornton Wilder	NA	6.9	D/r/a/m/a	Charles Brabin	NA	USA	NA
tt0019630	Alibi	PT1H31M	English	Roland WestC. Gardner SullivanJohn Griffith WrayJ.C. NugentElaine S. CarringtonC. Gardner SullivanRoland West	TV-PG	6.0	C/r/i/m/e	Roland West	NA	USA	NA
tt0019843	Dynamite	PT2H9M	English	Jeanie MacphersonJohn Howard LawsonGladys UngerJeanie Macpherson	Passed	7.1	D/r/a/m/a	Cecil B. DeMille	NA	USA	NA
tt0019429	Street Angel	PT1H42M	NA	Monckton HoffePhilip KleinMarion OrthHenry Roberts Symonds	Not Rated	7.5	D/r/a/m/a	Frank Borzage	NA	USA	NA
tt0018666	The Awakening	PT1H30M	English	H.H. CaldwellKatherine HillikerFrances MarionCarey Wilson	NA	6.3	Drama/Romance	Victor Fleming	NA	USA	$762,000
            
tt0019257	The Patriot	PT1H53M	English	Ashley DukesJulian JohnsonHanns KrälyDmitri MerezhkovskyAlfred Neumann	NA	NA	D/r/a/m/a	Ernst Lubitsch	NA	USA	$1,000,000
            
tt0019574	White Shadows in the South Seas	PT1H28M	English	Frederick O'BrienRay DoyleJack CunninghamJohn Colton	Passed	7.1	Drama/Romance	W.S. Van DykeRobert J. Flaherty	NA	USA	NA
tt0018907	4 Devils	PT1H40M	English	Berthold ViertelHerman BangCarl MayerMarion OrthJohn Hunter Booth	Passed	6.9	D/r/a/m/a	F.W. Murnau	NA	USA	NA
tt0020018	In Old Arizona	PT1H35M	English	O. HenryTom BarryTom BarryPaul Girard Smith	Passed	5.7	Romance/Western	Irving Cummings	NA	USA	NA
tt0019237	Our Dancing Daughters	PT1H25M	English	Josephine LovettMarian AinsleeRuth Cummings	Not Rated	7.3	D/r/a/m/a	Harry Beaumont	NA	USA	$173,000
            
tt0019824	The Divine Lady	PT1H39M	English	E. BarringtonForrest HalseyAgnes Christine JohnstonHarry CarrEdwin Justus Mayer	Not Rated	6.3	Drama/History/Romance/War	Frank Lloyd	NA	USA	NA
tt0019729	The Broadway Melody	PT1H40M	English	Edmund GouldingSarah Y. MasonNorman HoustonJames GleasonEarl Baldwin	Passed	6.2	Drama/Musical/Romance	Harry Beaumont	NA	USA	$379,000
            
tt0019993	The Hollywood Revue of 1929	PT2H10M	English	Al BoasbergRobert E. HopkinsJoseph Farnham	NA	7.4	M/u/s/i/c/a/l	Charles ReisnerChristy CabanneNorman Houston	NA	USA	NA
tt0019591	A Woman of Affairs	PT1H38M	English	Michael ArlenBess MeredythMarian AinsleeRuth CummingsMichael Arlen	Not Rated	7.7	D/r/a/m/a	Clarence Brown	NA	USA	$383,000
            
tt0019348	Sal of Singapore	PT1H10M	English	Elliott J. ClawsonDale CollinsPierre GendronHoward HigginEdwin Justus Mayer	NA	6.2	D/r/a/m/a	Howard Higgin	NA	USA	NA
tt0019398	Skyscraper	PT1H8M	English	Elliott J. ClawsonTay GarnettJohn W. KrafftDudley Murphy	NA	6.2	D/r/a/m/a	Howard Higgin	NA	USA	NA
tt0018792	The Cop	PT1H17M	NA	Elliott J. ClawsonTay GarnettJohn W. Krafft	NA	6.6	Crime/Drama	Donald Crisp	NA	USA	NA
tt0020081	The Last of Mrs. Cheyney	PT1H34M	English	Frederick LonsdaleHanns KrälyClaudine West	Passed	6.0	Comedy/Drama	Sidney Franklin	NA	USA	NA
tt0020088	The Leatherneck	PT1H5M	English	Elliott J. ClawsonElliott J. ClawsonJohn W. Krafft	NA	6.3	Drama/War	Howard Higgin	NA	USA	NA
tt0020543	The Valiant	PT1H6M	English	Tom BarryTom BarryJohn Hunter BoothHolworthy HallRobert Middlemass	NA	6.3	D/r/a/m/a	William K. Howard	NA	USA	NA
tt0020603	Wonder of Women	PT1H35M	English	Marian AinsleeBess MeredythHermann Sudermann	NA	6.7	D/r/a/m/a	Clarence Brown	NA	USA	NA
tt0021025	King of Jazz	PT1H39M	English	Harry RuskinEdward T. Lowe Jr.Charles MacArthur	Not Rated	7.2	Animation/Comedy/Music/Musical	John Murray Anderson	$1,962,000	USA	$2,000,000
            
tt0019735	Bulldog Drummond	PT1H30M	English	Herman C. McNeileSidney Howard	Not Rated	6.5	Drama/Mystery/Thriller	F. Richard Jones	NA	USA	$550,000
            
tt0020358	Sally	PT1H43M	English	Guy BoltonWaldemar YoungP.G. WodehouseAndrew Percival Younger	TV-G	6.3	M/u/s/i/c/a/l	John Francis Dillon	NA	USA	NA
tt0020112	The Love Parade	PT1H47M	English	Ernest VajdaGuy BoltonLeon XanrofJules Chancel	Passed	7.2	Comedy/Musical/Romance	Ernst Lubitsch	NA	USA	$650,000
            
tt0021511	The Vagabond King	PT1H44M	English	Brian HookerHerman J. MankiewiczHerman J. MankiewiczJustin Huntly McCarthyWilliam H. PostR.H. Russell	NA	6.1	Musical/Romance	Ludwig BergerErnst Lubitsch	NA	USA	$1,200,000
            
tt0020594	With Byrd at the South Pole	PT1H22M	English	Julian Johnson	Approved	7.0	Documentary/Adventure	NA	NA	USA	NA
tt0020629	All Quiet on the Western Front	PT2H16M	English	Erich Maria RemarqueMaxwell AndersonGeorge AbbottDel AndrewsC. Gardner SullivanWalter AnthonyLewis Milestone	Not Rated	8.1	Drama/War	Lewis Milestone	NA	USA	$1,448,864
            
tt0020641	Anna Christie	PT1H29M	English	Frances MarionEugene O'Neill	Passed	6.9	Drama/Romance	Clarence Brown	NA	USA	$376,000
            
tt0020960	Hell's Angels	PT2H7M	English	Marshall NeilanJoseph Moncure MarchHoward EstabrookHarry BehnJoseph Moncure March	Passed	7.7	Drama/War	Howard HughesEdmund GouldingJames Whale	NA	USA	$3,950,000
            
tt0019823	Disraeli	PT1H30M	English	Julien JosephsonDe Leon AnthonyLouis N. Parker	Passed	6.4	Biography/Drama/History	Alfred E. Green	NA	USA	NA
tt0020686	The Big House	PT1H27M	English	Frances MarionJoseph FarnhamMartin Flavin	Passed	7.2	Crime/Drama/Thriller	George W. HillWard Wing	NA	USA	NA
tt0020827	The Divorcee	PT1H24M	English	Ursula ParrottNick GrindeZelda SearsJohn Meehan	Passed	6.8	Romance/Drama	Robert Z. Leonard	NA	USA	$340,691
            
tt0021281	Raffles	PT1H12M	English	Sidney HowardE.W. HornungEugene Wiley Presbrey	NA	6.8	Adventure/Crime/Drama/History/Romance/Thriller	George FitzmauriceHarry d'Abbadie d'Arrast	NA	USA	NA
tt0020744	The Case of Sergeant Grischa	PT1H31M	English	Arnold ZweigElizabeth Meehan	Passed	6.5	Drama/History/Romance/War	Herbert Brenon	NA	USA	NA
tt0021404	The Song of the Flame	PT1H36M	English	Oscar Hammerstein IIOtto A. HarbachGordon Rigby	NA	5.0	Musical/Romance	Alan Crosland	NA	USA	NA
tt0021420	Street of Chance	PT1H15M	English	Lenore J. CoffeeHoward EstabrookOliver H.P. GarrettGerald GeraghtyBen HechtCharles MacArthur	Passed	6.9	D/r/a/m/a	John Cromwell	NA	USA	NA
tt0021746	Cimarron	PT2H3M	English	Edna FerberHoward EstabrookHoward EstabrookLouis Sarecky	Passed	6.0	Drama/Western	Wesley Ruggles	NA	USA	$1,433,000
            
tt0021016	Just Imagine	PT1H53M	English	Buddy G. DeSylvaLew BrownRay HendersonDavid Butler	Passed	5.5	Comedy/Fantasy/Musical/Romance/Sci-Fi	David Butler	NA	USA	$1,100,000
            
tt0021156	Morocco	PT1H32M	English	Jules FurthmanBenno Vigny	Passed	7.2	Drama/Romance	Josef von Sternberg	NA	USA	NA
tt0022454	Svengali	PT1H21M	English	George L. Du MaurierJ. Grubb AlexanderJ. Grubb Alexander	Approved	6.9	Drama/Horror/Romance/Sci-Fi	Archie Mayo	NA	USA	NA
tt0021549	Whoopee!	PT1H33M	English	William Anthony McGuireOwen DavisWilliam M. ConselmanRobert Hobart DavisE.J. Rath	TV-G	7.6	Comedy/Musical/Romance	Thornton Freeland	NA	USA	NA
tt0022458	Tabu: A Story of the South Seas	PT1H26M	English	F.W. MurnauRobert J. FlahertyEdgar G. Ulmer	Not Rated	7.6	Drama/Romance/Adventure	F.W. Murnau	NA	USA	$150,000
            
tt0021301	The Right to Love	PT1H19M	English	Zoe AkinsSusan Glaspell	Passed	5.1	D/r/a/m/a	Richard Wallace	NA	USA	NA
tt0021826	East Lynne	PT1H42M	English	Tom BarryBradley KingMrs. Henry Wood	NA	6.9	D/r/a/m/a	Frank Lloyd	NA	USA	NA
tt0022397	Skippy	PT1H25M	English	Percy CrosbyJoseph L. MankiewiczDon MarquisNorman Z. McLeodSam Mintz	Approved	6.3	Comedy/Drama/Family	Norman Taurog	NA	USA	NA
tt0021890	The Front Page	PT1H41M	English	Ben HechtCharles MacArthurBartlett CormackCharles Lederer	TV-PG	6.8	C/o/m/e/d/y	Lewis Milestone	$1,526,000	USA	NA
tt0022495	Trader Horn	PT2H2M	English	Ethelreda LewisDale Van EveryJohn T. NevilleRichard SchayerCyril HumeAlfred Aloysius Horn	Passed	6.4	Action/Adventure/Drama/Romance	W.S. Van Dyke	NA	USA	$1,312,636
            
tt0020985	Holiday	PT1H31M	English	Philip BarryHorace Jackson	NA	6.8	Comedy/Drama	Edward H. Griffith	NA	USA	NA
