單位：千人,2009 年,2010 年,2011 年,2012 年,2013年,2014年,2015 年,2016 年,2017 年
赴海外工作人數總數,662,687,681,698,717,726,724,728,736
,,,,,,,,,
中國大陸（含港澳）,409,423,424,430,430,427,420,407,405
年增率(%),-,3.6,0.1,1.5,0.1,-0.7,-1.7,-3.1,-0.4
占 比(%),61.7,61.7,62.2,61.6,60,58.8,58,55.9,55
東南亞,77,85,81,92,109,113,111,111,109
年增率(%),-,10.3,-4.3,12.7,18.8,3.8,-1.3,-0.9,-1.6
占 比(%),11.6,12.4,11.9,13.1,15.2,15.6,15.4,15.2,14.8
美國,84,84,87,90,80,86,92,99,101
年增率(%),-,0.1,3.4,3.7,-11.1,7.2,7,7.5,1.8
占 比(%),12.7,12.3,12.8,13,11.2,11.9,12.7,13.6,13.7
其他,92,94,89,86,98,100,100,111,121
年增率(%),-,2.2,-5.9,-2.7,13.4,1.8,0.8,11,9.1
占 比(%),13.9,13.7,13,12.3,13.6,13.7,13.9,15.3,16.5
