"","date_2018","Page.Name","Page.Category","Page.Admin.Top.Country","Post.Created","Total.Interactions","Message","Link"
"1","2018-05-29","人人都有蒼蠅拍","COMMUNITY","TW","2018-05-29 22:48:08 CST","173","故意讓雙北跳電 好讓人民以為深澳電廠非蓋不可是嗎？ 門都沒有 核四重啟不就解決缺電了嗎？ https://udn.com/news/story/11330/3168476?utm_source=udnnews&utm_medium=fb","https://udn.com/news/story/11330/3168476?utm_source=udnnews&utm_medium=fb"
"2","2018-05-29","TVBS 少康戰情室","TV_SHOW","TW","2018-05-29 13:40:00 CST","184","【雙溪山林蓋水庫！　居民憂成深澳電廠2.0】 新北市府根本不知道也沒被知會，侯友宜也說不尊重當地政府，甚至居民很擔心雙溪水庫會成為第2個深澳電廠。","https://news.tvbs.com.tw/life/927944"
"3","2018-05-29","綠色台灣環境協會","COMMUNITY","","2018-05-29 16:10:02 CST","5","「乾淨的煤」汙染量低　政治話術忙解套？ 記者：呂蓓君 / 攝影：陳建銘 報導 2018/03/22 23:33 台電深澳電廠環差案通過環評，未來將使用和林口電廠一樣的「超超臨界機組」進行燃煤發電，引發民眾疑慮，空氣品質是否會更加惡化？行政院長賴清德澄清使用的是「乾淨的煤」，跟燃氣電廠的排放量差不多。卻遭到學者打臉，不管超超臨界機組效能再怎麼大仍然會排放重金屬汙染環境，未來北部的空汙情況一定會加乘。 林口火力發電廠是台灣第一個使用超超臨界機組的燃煤電廠。廠房裡面可以看到巨大的發電機組，每一部都是由1400個設備組裝起來，一部機組配有6部燃煤槽，一天就可以發80萬度電。一號機完全密封起來，這就是超超臨界機組，超超臨界機組是一種新型態的燃煤機，比起舊式的可以增加7%的效率，意思就是每發一度電可以減少20%的燃煤使用量。 源頭減量，搭配使用品質較好的煤種，像是高熱值亞煙煤、低灰低硫亞煙煤，經過高溫、高壓後汽化，再把氣體排放出去。林口火力發電廠的中央控制室不斷監測發電以後的氮氧化物硫氧化物，甚至PM2.5的排放量，24小時分3班，工作人員會不停把數值回傳到環保署。林口火力發電廠長朱記民表示，這個地方的煙囪幾乎看不到煙，用SCR觸煤轉換器做氮氧化物，再用PRS也就是濾袋式集塵器把粒狀汙染物截取下來。透過1千多度的高溫瞬間燃煤，把氮和硫化物生成的機率降到最低，再經過最先進的汙染防制系統可大幅降低氮氧化物和PM2.5的排放，未來深澳電廠上線之後也將使用和林口電廠一樣的技術。 環境品質文教基金會董事長謝英士說，可以預見會對無煙囪產業的縣市造成非常不利的影響，這些東西都是在12年沒有啟動之下造成的新問題。不過新北市環保局長劉和然重砲駁斥，林口電廠「看不到煙」不代表就比較乾淨，拿林口電廠幫深澳電廠背書根本是在欺騙民眾，同時引述中興大學環工系莊秉潔教授的說法，相較於天然氣機組不會排出重金屬，就算用了超超臨界機組燃燒煤炭發電仍會排放重金屬等致癌物質。朱記民表示，重金屬在鍋爐裡面燃燒的時候氧化了，台電在煤的採購時也特別針對汞訂下最高限制值。謝英士說，以前政府部門一直強調燃氣比燃煤好，現在說燃煤裡面也有很乾淨的煤，在某種程度上是一種誤導。 政府的能源轉型配比希望在2025年達到天然氣50%、燃煤30%、再生能源20%，為何不直接把深澳電廠改成天然氣電廠？台電發言人徐造華說，深澳廠區的空間不足以設置天然氣的儲氣槽以及相關的輸送設備，如果天然氣要經過陸管會經過基隆人口密集區的問題，如果經過海管會有工程技術以及海洋生態問題。 超超臨界機組再怎麼有效率，排放的粒狀物仍是大潭燃氣機組的48倍，今年又是選舉年，接下來就是夏季用電高峰，主政者還是得說清楚講明白，別把乾淨的煤當作政治話術。","https://www.facebook.com/415427208482342/photos/a.898436753514716/2222572897767755/?type=3"
"4","2018-05-30","中國國民黨台南市黨部","POLITICAL_PARTY","TW","2018-05-30 13:38:28 CST","133","愛台不斷電、青年護台灣！ 請為我們的選手打氣加油！ 這場全台接力路跑活動，從國民黨中央黨部出發，以8天7夜、210棒次接力路跑的方式，順時鐘方向串連環台，主軸為宣傳反深澳電廠、反空污、反核食，並推動公投案。 如果您在路上看到來自全國各地的青工選手，請別忘記給予掌聲與鼓勵，為他們加油，謝謝！ #愛台不斷電 #青年護台灣 #國民黨青年接力跑全國","https://www.facebook.com/TEL062268268/videos/1674923215889116/"
"5","2018-05-30","謝龍介","POLITICIAN","TW","2018-05-30 13:36:45 CST","1,587","愛台不斷電、青年護台灣！ 請為我們的選手打氣加油！ 這場全台接力路跑活動，從國民黨中央黨部出發，以8天7夜、210棒次接力路跑的方式，順時鐘方向串連環台，主軸為宣傳反深澳電廠、反空污、反核食，並推動公投案。 如果您在路上看到來自全國各地的青工選手，請別忘記給予掌聲與鼓勵，為他們加油，謝謝！ #愛台不斷電 #青年護台灣 #國民黨青年接力跑全國","https://www.facebook.com/TEL062268268/videos/1674923215889116/"
"6","2018-05-30","方一峰前進的力量","POLITICIAN","TW","2018-05-30 15:10:36 CST","119","愛台不斷電、青年護台灣！ 全台接力路跑活動，從國民黨中央黨部出發，以8天7夜、210棒次接力路跑的方式，順時鐘方向串連環台，主軸為宣傳反深澳電廠、反空污、反核食，並推動公投案。 西港132棒由清泰、基財及麗琴和二位優秀隊員接力跑 天氣非常炎熱，如果您在路上看到來自全國各地的青工選手，請別忘記給予掌聲與鼓勵，為他們加油，謝謝！ #愛台不斷電 #青年護台灣 #國民黨青年接力跑全國","https://www.facebook.com/Fangefong/photos/a.811580342196421/1837945356226576/?type=3"
"7","2018-05-31","大謙科技材料, 克微粒口罩, 克螨膜枕套, 克霾膜紗窗用口罩","PRODUCT_SERVICE","TW","2018-05-31 18:11:27 CST","28","您知道 ""重金屬"" 也會被 ""吸"" 入體內嗎? 我們可以選擇有機的食材來預防重金屬被吃入體內, 但空氣中的重金屬卻是我們無法預防的. :dc克微粒口罩 經 交大環工所 - 大氣中重金屬過濾效濾測試 達 95% , 是您告別空汙重金屬的威脅, 做為自我保護的第一道防線. https://news.dctpro.com/?utm_source=fb&utm_campaign=heavy%20mental #dc克微粒口罩 #大氣中重金屬 #防重金屬口罩 #可水洗的高效口罩 #深澳電廠 #大謙科技材料","https://news.dctpro.com/?utm_source=fb&utm_campaign=heavy+mental"
"8","2018-06-01","孫大千Sun, Ta-Chien","PERSON","TW","2018-06-01 08:00:17 CST","99","如果蔡英文總統的核心幕僚都像是洪耀福秘書長，持續的使用「自我陶醉」的態度對全黨進行「集體催眠」，那麼我相信，很快的會有難以數計的台灣人民，和呂秀蓮副總統一樣，決定和民進黨說「Bye Bye」。 民進黨秘書長洪耀福的談話，實在是「眾人皆醒他獨醉」，犯下了幾個嚴重的誤判： 首先，洪耀福說，「空汙、核食都是假議題」。這樣的觀點真的令人懷疑他是否和我們活在同一塊土地上。隨便找一個路人甲問一下，都可以知道答案。難道滿街上戴著口罩的民眾都是為了趕流行嗎？ 接著，洪耀福又說，「打空汙、深澳電廠議題，核心就是要恢復核電」，可是，他卻選擇性的忘記了，是民進黨重啟了核二廠二號機，和國民黨有什麼關係？ 再來，洪耀福又說，「核食就是統獨，中國不願意見到台灣和日本關係友善及好轉」，這項愚蠢的發言，更是間接坐實了民眾長期以來的懷疑，民進黨政府果然是把「進口核食」，做為改善台日關係的籌碼。 接著，洪耀福再說，「新北市的基層很少人關心深澳電廠」，這樣的認知，簡直是經典到令人噴飯，既然如此，為什麼民進黨所提名的縣市長參選人，沒有一個敢公開力挺深澳燃煤電廠呢？蘇貞昌敢不敢站出來表態支持興建深澳燃煤電廠呢？ 最後，洪耀福應該不會忘記了，就是他所自豪的那一套「有創意的提名策略」，才把民進黨台北市長選舉這一局搞成今天的爛攤子，還外帶出走了兩位創黨元老的吧？ 洪耀福：國民黨打空汙要核電 打核食因統獨 https://udn.com/news/story/10958/3172918","https://udn.com/news/story/10958/3172918"
"9","2018-06-01","觀策站","MEDIA_NEWS_COMPANY","TW","2018-06-01 13:00:01 CST","198","…由於台中市長林佳龍政績不佳，剛出爐的《遠見雜誌》縣市長施政滿意度調查，不僅滿意度居六都市長之末，台中市民也僅有44％支持他爭取連任。此一情勢讓國民黨陣營頗感振奮，認為年底縣市長選舉有望在台中由綠轉藍，「決戰中台灣」被喊成了年底選戰的勝敗關鍵。… 原文連結：https://ppt.cc/fQZIzx:=:https://www.viewpointtaiwan.com/columnist/%e6%b1%ba%e6%88%b0%e5%8d%97%e8%87%ba%e7%81%a3-%e8%97%8d%e8%bb%8d%e5%8b%95%e8%b5%b7%e4%be%86%ef%bc%81/ 觀策站超過12萬粉絲，我們相信，多元的觀點和不同的聲音能激盪出最燦爛的花火，讓社會更加進步、發展。歡迎各界關心公共議題的專家或讀者常來瞧瞧或投稿，發表您的看法！ 我要投稿：viewpointtaiwan.com/submith:=:https://www.viewpointtaiwan.com/submith #施政滿意度, #決戰中台灣, #決戰南台灣, #深澳電廠","https://ppt.cc/fQZIzx"
"10","2018-06-01","媽媽監督核電廠聯盟","NON_PROFIT","TW","2018-06-01 15:51:11 CST","26","台灣政府應持「環境素養」，思考未來能源需求的解決方案!! (06/01/2018 TechNews科技新報) 作者 王 守誠 在《賴內閣官員及中國時報對「地熱發電」的「深層」誤導》文章中，重點放在內閣官員對成熟的地熱發電技術的偏見，這些偏見導致政府對地熱發電的策略規劃過於保守，陷入惡性循環，導致成效遠低於一般民眾及公民團體的期待。 實際上近年來綠能科技的進步不僅讓風力及太陽能等氣候能成本降低，地熱能、生質能、儲能系統、智慧電網等商業化科技進步越來越快，因此全球都將「能源轉型」的投資放在分散式能源的基礎建設，以「再生能源」取代「骯髒能源」，並改善集中式電網欠缺即時彈性調度的弱點，以地熱能為例，土耳其過去 8 年發展 1,000MW 裝置容量，未來每年平均成長 250MW。 深澳電廠議題是個「放大鏡」 深澳燃煤電廠爭議正是檢視傳統能源政策的放大鏡，若以新深澳燃煤電廠 2026 年運轉規模 1,200MW 而言，每年需進口約 100 億元燃料費用，加上發電廠及污染防制設施的設置成本共 1,000 億元，25 年的生命週期將花費 3,500 億元，僅交換 0.1% 備載容量的天然氣發電用於電力彈性調度；然而對不需要燃料的地熱發電而言，3,500 億元相當於土耳其從 2018 至 2030 年發展 3,000MW 地熱發電（ANKARA – Anadolu Agency, News Economy, April 12 2018）的民間投資。 再生能源投資對土耳其的科技業及低碳產品而言，提供極大的競爭優勢，地熱發電雖然當作基載電力，但加上大型儲能技術後，也能平衡微電網的離尖峰負載；而台灣目前的能源政策卻堅持要用傳統能源的邏輯去處理「能源轉型」的技術挑戰；應以「環境素養」（environmental literacy）建構永續可行的解決方案。 「綠色能源」的選擇方式 聯合國環境規劃署（UNEP）2016 年出版一份報告《綠色能源選擇》（Green Energy Choices），將 3 項與永續發展有關的參數表列出來，提供政府決策者客觀選擇的依據，這 3 項參數分別是環境生態影響、公衛健康影響、平均用地面積，也反映民間反對深澳電廠的主因主要為環境生態影響、公衛健康影響。 由於深澳電廠正在夾在海底火山及岩漿型熱液礦床之間，具有地熱發電潛能，以「地熱發電」（Geothermal）及「淨煤發電」（IGCC）比較（圖二、三、四），可知「地熱發電」的環境效益分別高於「淨煤發電」60 倍、140 倍、8 倍，這些客觀的評估數字告訴我們，在具有地熱發電條件的地區，新設電廠的最佳選擇。 選舉年需更用心實踐「價值」 上述聯合國報告突顯出台灣能源決策的突兀性，看似台灣過去至今的能源政策被同一批利益團體把持，刻意忽視「能源自主」的重要。而台灣民眾已走到「能源轉型」的紅綠燈前，經常透過國際成功案例建立各種途徑幫助政府，政府更須主動利用客觀的科學數據做為規劃及溝通的基礎。 深澳電廠事件中，千億的能源規劃及投資錯誤配置在倚賴進口、高排碳量的燃煤電廠，政府官員為了護航甚至發表扭曲再生能源的言論，在資訊查證極方便的網路時代，官員發表的錯誤資訊已加深民眾對政府的不信任感，尤其在選舉年更容易被有心人操弄為政治議題。 更有效益的替代方案不只有「地熱發電」，7 年內的能源科技發展應該有更多微型電網及大型儲能、更迅速交易、更多元互補、更高效低廉，因為這些都是全球正在快速普及的能源科技，例如美國的杜克能源（Duke Energy）之實例。..... ★★ 更多細節以及完整文章、分析圖表請見： https://technews.tw/2018/06/01/environmental-literacy-renewable-energy-taiwan/ ♡","https://technews.tw/2018/06/01/environmental-literacy-renewable-energy-taiwan/"
