商圈或夜市,捷運站名,2015 年,2016 年,2017 年,2018 年
西門商圈,西門,51597391,52762047,53923842,54509981
信義計畫區商圈,台北101/世貿中心 ＋ 市政府,62984965,65561227,67387684,68197590
東區商圈,忠孝復興 + 忠孝敦化,64661728,65222328,63267114,62502117
南西商圈,中山,26482840,27814082,28071567,29500963
士林夜市,劍潭,26412904,26131949,25423635,24913171
永康商圈,東門,16508693,17726057,17756261,18169917
晴光商圈,民權西路,16666256,16697879,16505814,16635025
寧夏夜市,雙連,15567646,15610969,15755089,16104291
師大夜市,台電大樓,13728129,13665549,13440448,13361185
南港車站商圈,南港,7872375,9848550,11662693,12573307
