商業名稱,商業所在地,資本額,設立年度,設立日期,地址一,地址二,狀態
涵之創指藝術名店,臺北市大安區忠孝東路4段97號地下之22,50000,101,101/01/05,305292.392,2770514.207,dismiss
熊貓商行,臺北市大安區忠孝東路4段205巷29弄7號1樓,2e+05,101,101/02/02,305730.58,2770674.218,dismiss
朝陽餐廳,臺北市大安區忠孝東路4段223巷5號地下之1,2e+05,101,101/02/14,305789.601,2770517.642,dismiss
合歡咖啡屋,臺北市大安區忠孝東路4段216巷33弄15號1樓,2e+05,101,101/02/20,305876.518,2770268.281,dismiss
零元手機通訊行,臺北市大安區忠孝東路4段223巷69號,2e+05,101,101/03/27,305781.457,2770738.629,dismiss
柏容小吃店,臺北市大安區忠孝東路4段216巷40弄14號,2e+05,101,101/03/30,305734.736,2770250.985,dismiss
昀禾工作室,臺北市大安區忠孝東路4段223巷22號,168000,101,101/03/03,305810.042,2770610.512,dismiss
忠孝建智髮廊,臺北市大安區忠孝東路4段51之2號,2e+05,101,101/03/01,305026.787,2770524.411,dismiss
丹尼衣著坊,臺北市大安區忠孝東路4段170巷6弄1號1樓,2e+05,101,101/03/27,305561.924,2770421.897,dismiss
威盛商號,臺北市大安區忠孝東路4段183之1號1樓,1e+05,101,101/04/12,305585.932,2770508.316,dismiss
艾倫查克服飾店,臺北市大安區忠孝東路4段181巷38號,50000,101,101/04/06,305570.683,2770742.369,dismiss
大嘴鳥茶舖,臺北市信義區忠孝東路4段559巷16弄8號,2e+05,101,101/04/23,306920.255,2770578.816,dismiss
婕棻服飾精品店,臺北市大安區忠孝東路4段216巷32弄20號,230000,101,101/05/01,305693.091,2770302.115,dismiss
浩嘉食品行,臺北市大安區忠孝東路4段216巷30號,80000,101,101/05/01,305787.241,2770322.462,dismiss
恩寶貝精品服飾名店,臺北市大安區忠孝東路4段181巷7弄21號,2e+05,101,101/05/02,305668.107,2770564.627,dismiss
漢林商行,臺北市大安區忠孝東路4段181巷40弄6號,2e+05,101,101/05/15,305544.09,2770751.574,dismiss
欣葳服飾店,臺北市大安區忠孝東路4段124之13號,2e+05,101,101/06/05,305257.138,2770445.585,dismiss
星屋停車場,臺北市大安區忠孝東路4段170巷6弄2號1樓,2e+05,101,101/06/05,305559.68,2770403.997,dismiss
一零一遊樂場,臺北市大安區忠孝東路4段205巷3號1樓,1e+05,101,101/06/05,305696.982,2770522.251,dismiss
