title,date,content,X1,Unnamed: 0,segs,keywords
李克强：两岸同胞走得越近越亲 两岸关系发展就会越好越实,2019,3月15日上午十三届全国人大二次会议闭幕后，国务院总理李克强在人民大会堂三楼金色大厅会见采访十三届全国人大二次会议的中外记者并回答记者提出的问题。,505,505,月 15 日上午 十三届 全国人大 二次会议 闭幕后 国务院总理 李克强 人民大会堂 三楼 金色大厅 会见 采访 十三届 全国人大 二次会议 中外记者 回答 记者 提出的 月 15 日 国务院总理 李克强 北京人民大会堂 会见 采访 十三届 全国人大 二次会议 中外记者 答记者问   新华社记者   沈伯 韩   摄 东森 新闻 云 记者 我想请教 的是 今年年初 习近平总书记 告台湾同胞书 发表 40 周年纪念 会上 重要讲话 两岸 广泛关注 外界 关注 大陆 今年会 贯彻 落实 举例来说 促进两岸 共同发展 两岸 民众 福祉 谢谢 国务院总理   李克强 今年年初 习近平总书记 纪念 告台湾同胞书 发表 40 周年纪念 会上 重要讲话 阐述 了我们 台湾问题 大政方针 原则立场 我们将 继续坚持 一个中国原则 九二共识 反对 台独 促进两岸关系和平稳定发展 促进祖国和平统一 两岸同胞 同根 相系 出台 更多的 优惠政策 台湾同胞 在大陆 不论是 投资 兴业 就业 就学 生活 居住 能够享受到 大陆同胞 同等待遇 已经出台 促进两岸 经济 文化交流 合作的 31 条 举措 现在的问题是 要把这 31 条 举措 扎扎实实 地落 到位 在这个 过程当中 还应当 有新的 举措 两岸同胞 共享发展 机遇 走得 越近 越亲 两岸关系 的发展 就会 越好 越实 我们都 希望能够 共圆 中华民族伟大复兴 的梦想 谢谢,二次会议 国务院总理 十三届 全国人大 李克强 谢谢 今年年初 中外记者 举措 采访 15 会上 周年纪念 告台湾同胞书 重要讲话 越实 能够享受到 越好 今年会 越亲 沈伯 促进两岸关系和平稳定发展 越近 现在的问题是 举例来说 要把这 我想请教 东森 会见 发表
李克强：港澳台投资可参照、或比照适用外商投资法,2019,3月15日上午十三届全国人大二次会议闭幕后，国务院总理李克强在人民大会堂三楼金色大厅会见采访十三届全国人大二次会议的中外记者并回答记者提出的问题。,506,506,月 15 日上午 十三届 全国人大 二次会议 闭幕后 国务院总理 李克强 人民大会堂 三楼 金色大厅 会见 采访 十三届 全国人大 二次会议 中外记者 回答 记者 提出的 月 15 日 国务院总理 李克强 北京人民大会堂 会见 采访 十三届 全国人大 二次会议 中外记者 答记者问   新华社记者   黄敬文   摄 香港凤凰卫视 记者 我的问题 外商投资 法 角度 不太一样 因为我们 特别关注 外商投资 法 没有涉及到 港澳台 的投资 我想这 会让 港澳台 各界 不太 理解 我也 仔细听 了您 刚刚 对外开放 表述 也没有 谈到 港澳台 会不会 中央政府 港澳台 投资政策 会有一些 调整呢 谢谢 国务院总理   李克强 香港 澳门 中华人民共和国 特别行政区 海峡两岸 同属 一个中国 历来 高度重视 港澳台 的投资 港澳 到内地 投资占 利用 境外投资 70% 不重视 我们会 进一步 发挥 港澳 单独 关税区 自由港的 作用 我刚才 台湾 记者 也说了 会为 台胞 大陆投资 兴业 创造 优惠的 条件 我这里 港澳台 投资 是可以 参照 刚刚 通过的 外商投资 法 而且我们 行之有效 的一些 制度安排 和实际 做法 还要继续 沿用 不会影响 而且会 有利于 吸引 港澳台 的投资 国务院 在制定 法规 政策性文件 的过程中 认真听取 港澳台同胞 的意见 切实 保护好 他们的 合法权益 也欢迎 有更多 港澳台 投资 谢谢,港澳台 的投资 二次会议 外商投资 国务院总理 十三届 全国人大 李克强 谢谢 中外记者 刚刚 采访 港澳 15 投资 没有涉及到 保护好 我刚才 政策性文件 也说了 会有一些 单独 而且我们 不重视 我想这 不太一样 到内地 境外投资 在制定 调整呢
国台办：任何“台独”分裂行径都阻挡不了两岸关系和平发展与祖国和平统一进程,2019,新华社北京3月12日电 针对蔡英文及民进党当局提出反制“一国两制”台湾方案，进一步恶化两岸关系，国台办发言人安峰山12日应询表示，近期，蔡英文及民进党当局的种种行径，本质就是破坏两岸关系和平发展前景，抗拒两岸和平统一大势、谋求“台独”分裂。其不断肆意攻击大陆，欺骗台湾民众，煽动两岸敌意，升高两岸对抗，恶化两岸关系，是在拿台湾民众的利益福祉做赌注，捞取选举私利，完全是为了一己之私、一党之私。陆委会更是变本加厉，处处设限，站在台湾同胞利益福祉的对立面，极力阻挡两岸同胞走近走实走好的步伐，只能是螳臂当车，不自量力。,224,224,新华社 北京 月 12 日电   蔡英文 民进党 当局 提出 反制 一国两制 台湾 方案 进一步恶化 两岸关系 国台办 发言人 安峰山 12 日应 询 近期 蔡英文 民进党 当局 的种种 行径 本质 破坏 两岸关系 和平 发展前景 抗拒 两岸和平 统一 大势 谋求 台独 分裂 肆意攻击 大陆 欺骗 台湾 民众 煽动 两岸 敌意 升高 两岸 对抗 恶化 两岸关系 是在 台湾 民众 的利益 福祉 做 赌注 捞取 选举 私利 完全是 一己之私 一党 之私 陆委会 更是 变本加厉 设限 站在 台湾同胞 利益 福祉 对立面 阻挡 两岸同胞 走近 走实 走好 的步伐 只能是 螳臂当车 不自量力 安峰山 和平统一 一国两制 是我们 一贯的 基本方针 一国两制 在台湾 具体实现 形式 充分考虑 台湾 现实情况 充分吸收 两岸 各界 意见和建议 照顾到 台湾同胞 利益 感情 逆 潮流 动的 台独 分裂 行径 阻挡不了 两岸关系 和平发展 祖国 和平统一 进程,一国两制 蔡英文 两岸关系 动的 反制 设限 的种种 利益 行径 肆意攻击 进一步恶化 抗拒 只能是 和平统一 赌注 本质 私利 螳臂当车 恶化 捞取 不自量力 12 台湾 对立面 欺骗 分裂 照顾到 民众 充分吸收 一己之私
国台办：坚决反对我建交国和台湾地区进行任何形式官方往来,2019,新华社北京3月12日电（记者赵博）3月11日至12日，“印太地区保卫宗教自由公民社会对话”在台举办，美国国务院宗教自由无任所大使布朗贝克与会。国台办发言人安峰山12日应询指出，外交部已就此表明我态度。我要重申的是，我们坚决反对我建交国和台湾地区进行任何形式的官方往来，这一立场是一贯的、明确的。,292,292,新华社 北京 月 12 日电 记者 赵博 月 11 日至 12 日 印太 地区 保卫 宗教自由 公民社会 对话 在台 举办 美国国务院 宗教自由 无任所大使 布朗 贝克 与会 国台办 发言人 安峰山 12 日应 询 指出 外交部 态度 我要 重申 的是 坚决反对 建交国 台湾地区 任何形式 的官方 往来 这一 立场 一贯的 明确的,宗教自由 12 贝克 公民社会 印太 无任所大使 保卫 布朗 重申 建交国 美国国务院 在台 地区 的官方 我要 明确的 一贯的 与会 外交部 赵博 的是 日至 态度 日应 对话 台湾地区 这一 任何形式 立场 往来
习近平参加福建代表团审议,2019,习近平栗战书汪洋王沪宁赵乐际分别参加全国人大会议一些代表团审议,34,34,习近平 栗战书 汪洋 王沪宁 赵乐际 参加 全国人大 会议 代表团 审议 新华社 北京 月 10 日电   中共中央总书记 国家主席 中央军委主席 习近平 中共中央政治局常委 全国人大常委会委员长 栗战书 中共中央政治局常委 全国政协主席 汪洋 中共中央政治局常委 中央书记处书记 王沪宁 中共中央政治局常委 中央纪委书记 赵乐际 10 日 参加了 十三届 全国人大 二次会议 代表团 审议 月 10 日 中共中央总书记 国家主席 中央军委主席 习近平 参加 十三届 全国人大 二次会议 福建 代表团 审议   新华社记者   李学仁   摄 月 10 日 中共中央总书记 国家主席 中央军委主席 习近平 参加 十三届 全国人大 二次会议 福建 代表团 审议   新华社记者   鞠鹏   摄 习近平 在福建 代表团 参加 审议 会上 雷金玉 张 林顺 兰平 勇 康涛 陈 国鹰 潘越 丁世忠 章联 生等 位 代表 围绕 打好 脱贫攻坚 战 建设 美丽乡村 发展 远洋渔业 深化 两岸 融合 发展 建设 数字中国 对外开放 推动创新 发展 老区 苏区 发展 等问题 发表意见 代表 谈到 创新 变革 打造 民族品牌 习近平 说 2001 年就 做这件事 在做 越做越大 做 企业 做事业 赚 几个钱 的问题 实实在在 心无旁骛 做 实业 这是 本分 习近平 最后的 重要讲话 中 肯定 福建的 工作 希望 福建的 同志 坚持以 新时代中国特色社会主义思想 为指导 坚持稳中求进工作总基调 新 发展理念 统筹 做好 稳 增长 促 改革 调结构 惠民 生 防风险 保稳定 工作 努力在 营造良好 发展环境 再创佳绩 推动 两岸 融合 发展 作出 示范 全面建成小康社会 圆满 收官 打下 坚实基础 习近平 营造 有利于 创新创业 创造的 发展环境 要向 改革开放 要动力 最大限度 释放 全社会 创新创业 创造 动能 不断增强 我国 在世界 大变局 中的 影响力 竞争力 坚持问题导向 解放思想 全面深化改革 开放 创新创业 创造 更好的 环境 着力解决 影响 创新创业 创造的 体制机制 营造 鼓励 创新创业 创造的 社会氛围 要为 中小企业 年轻人 发展 提供 有利条件 高技术 企业成长 建立 加速 机制 要坚持 两个 毫不动摇 落实 鼓励引导 支持 民营经济发展 的各项 政策措施 各类 所有制 企业 营造 公平 透明 法治 的发展 环境 营造 有利于 企业家 健康成长 良好氛围 民营企业 创新发展 市场竞争 中 打造一支 开拓精神 前瞻 眼光 国际视野 企业家 队伍 要发挥 经济特区 自由贸易 试验区 综合实验区 21 世纪 海上丝绸之路 核心区 多区 叠加 优势 探索 新路 吸引 优质 生产要素 集聚 全面提升 福建 产业 竞争力 力争在 建设 开放型经济新体制 走在前头 探索 海峡两岸 融合 发展 新路 对台工作 既要 着眼大局 大势 又要 注重落实 落细 两岸 应通 尽通 提升 经贸合作 畅通 基础设施 联通 能源资源 互通 行业标准 共通 努力把 福建 建成 台胞 台企 登陆的 第一 家园 要加强 两岸 交流合作 加大 文化交流 力度 把工作 台湾同胞 的心里 增进 台湾同胞 对民族 对国家 认知 感情 要在 对台工作 中 贯彻 好以 为中心的 发展 思想 台湾同胞 一视同仁 大陆 百姓 服务 造福 台湾同胞 去年 推出 31 条 惠台 措施 福建 实行 66 条 实施意见 成效 台湾同胞 都是 受益者 要把这些 措施 落实到位 同时要 听取 台湾同胞 呼声 研究 还可以 推出 惠台 利民 政策措施 能做到 的都要 尽力去做 要做好 革命老区 中央苏区 脱贫 奔小康 工作 今年是 新中国成立 70 周年 饮水思源 决不能 忘了 老区 苏区 梳理 排查 抓紧 工作 确保 老区 苏区 全面建成小康社会 进程 中一个 都不 掉队 坚持精准扶贫 精准脱贫 找到问题 根源 增强 脱贫 措施的 实效性 各级领导干部 要有 不怕疲劳 连续作战 顽强 作风 一线 深入群众 及时解决 脱贫攻坚 中的 难点 确保 各项 目标任务 如期完成 加快 老区 苏区 发展 要有 长远 眼光 多做 经济发展 生态保护 相协调 相 促进的 文章 打好 污染防治 攻坚战 打好 蓝天 碧水 净土 三大 保卫战 以党的政治建设为统领 全面落实 新时代 党的建设 总要求 全面推进 党的 各方面 建设 坚强有力 党组织 确保 工作任务 落实 月 10 日 中共中央政治局常委 全国人大常委会委员长 栗战书 参加 十三届 全国人大 二次会议 江苏 代表团 审议   新华社记者   谢环 驰   摄 栗战书 在江苏 代表团 参加 审议 认真听取 娄勤俭 吴政隆 车捷 代表发言 栗战书 说 制定 外商投资 法 习近平同志为核心的党中央 确定的 立法 彰显了 党和人民 在新时代 改革开放 进行到底 坚定 决心 宣示 我国 奉行 互利共赢 开放 战略 推动建设开放型世界经济 鲜明立场 有利于 打造 市场化 法治化 国际化 一流 营商 环境 为推动 高水平 对外开放 提供 有力的 法治 保障 希望 江苏 认真贯彻 习近平总书记 对江苏 工作的 重要指示 抓住 实施 长江经济带 发展战略 机遇 大力推进 高质量 发展 实施 乡村振兴战略 推动 高水平 对外开放 努力建设 经济 强 百姓 富 环境美 社会文明程度 高的 新 江苏 月 10 日 中共中央政治局常委 全国政协主席 汪洋 参加 十三届 全国人大 二次会议 西藏 代表团 审议   新华社记者   李学仁   摄 汪洋 在西藏 代表团 参加 审议 听取 普布 顿珠 格桑 卓嘎 扎 西江村 代表发言 汪洋 赞成 栗战书 委员长 所作的 全国人大常委会 工作报告 汪洋 充分肯定 一年 西藏 各项事业 发展 成绩 指出 西藏 经济发展 和社会 稳定持续 向好 但也要看到 风险 挑战 学习贯彻 习近平总书记 西藏 工作的 重要论述 牢牢把握 维护祖国统一 加强民族团结 着眼点 着力点 牢牢把握 依法 治藏 富民 兴藏 长期 建藏 凝聚 人心 夯实基础 的重要 原则 居安思危 稳中求进 进一步巩固 社会 大局稳定 局面 进一步加强 寺庙 管理 能力建设 进一步提高 脱贫攻坚 质量 确保 雪域高原 安定 祥和 各族 人民安居乐业 月 10 日 中共中央政治局常委 中央书记处书记 王沪宁 参加 十三届 全国人大 二次会议 新疆 代表团 审议   新华社记者   刘彬   摄 王沪宁 在新疆 代表团 参加 审议 听取 雪克 提 扎克尔 孙金龙 阿不都 热克 吐木 尼牙孜 代表发言 王沪宁 赞成 全国人大常委会 工作报告 新疆 各项工作 新成绩 希望 新疆 把学习贯彻 习近平 新时代中国特色社会主义思想 首要 政治任务 认真落实 习近平总书记 新疆 工作重要 指示精神 党中央 治疆 方略 引导 广大党员 干部 增强 四个 意识 坚定 四个 自信 两个 维护 紧紧围绕 社会稳定 长治久安 总目标 做好 保障和改善民生 工作 办好 各类教育 深化民族团结进步教育 增进 各族群众 感 幸福感 安全感 贯彻 新时代 党的建设 总要求 全面加强党的领导和党的建设 月 10 日 中共中央政治局常委 中央纪委书记 赵乐际 参加 十三届 全国人大 二次会议 海南 代表团 审议   新华社记者   燕雁   摄 赵乐际 在海南 代表团 参加 审议 陈飘 邓小刚 杨莹 代表 发言 赵乐际 充分肯定 海南 工作 取得的 新成绩 希望 海南 学习贯彻 习近平 新时代中国特色社会主义思想 学习贯彻 习近平总书记 海南 工作重要 指示精神 牢牢把握 党中央 海南 新一轮 改革开放 中的 战略定位 用好 用足 机遇 大胆 探索 创新 凝心聚力 抓好落实 加快建设 自由贸易 试验区 探索 建设中国特色 自由贸易港 以实际行动 践行 两个 维护 新的 更大 成绩 不负 党中央 重托 赵乐际 说 深化 国家监察体制改革 全面深化改革 重要内容 要把 党内监督 同国家机关监督 民主监督 司法监督 群众监督 舆论监督贯通起来 健全 党和国家 监督体系 有效的 监督 保障 各项任务 落实 陈全国 参加 审议,审议 代表团 全国人大 参加 二次会议 十三届 习近平 栗战书 赵乐际 中共中央政治局常委 王沪宁 苏区 老区 西藏 海南 创新创业 新疆 汪洋 10 发展 新华社记者 工作 代表发言 营造 打好 创造的 福建 探索 中央军委主席 脱贫攻坚
汪洋参加台湾代表团审议,2019,NA,520,520,月 日 中共中央政治局常委 全国政协主席 汪洋 参加 十三届 全国人大 二次会议 台湾 代表团 审议   新华社记者   高洁   摄,高洁 二次会议 审议 十三届 全国人大 代表团 汪洋 中共中央政治局常委 全国政协主席 新华社记者 参加 台湾 同理心 同比 同步 同步增长 同等 同种 同比增长 同比增加 同源的 同祖 同济 同源 同甘共苦 同济大学 龚正 同根 同样的 同意
刘结一：两岸关系必将克难前行 朝着祖国统一的方向迈进,2019,3月5日上午，十三届全国人大二次会议开幕会结束后，2019年全国两会第二场“部长通道”在人民大会堂举行。部长们在这里直面热点，回应关切。新华网、中国政府网进行现场直播。,135,135,月 日上午 十三届 全国人大 二次会议 开幕会 结束后 2019 年 全国两会 第二场 部长通道 人民大会堂 部长 在这里 直面 热点 回应 关切 新华网 中国政府网 现场直播 月 日 第十三届 全国人民代表大会 第二次 会议 北京人民大会堂 开幕 这是 国务院台湾事务办公室 主任 刘结 一在 部长通道 接受采访   新华社记者   殷刚   摄 香港 中评 社 记者 刘主任 注意到 今年的 台海局势 严峻复杂 对台工作 的挑战 增加了 请问 主任 国台办 贯彻落实 习近平总书记 月 日在 告台湾同胞书 发表 40 周年纪念 大会上的 讲话精神 处理好 两岸关系 推进 对台工作 刘结 习近平总书记 月 日 纪念 告台湾同胞书 发表 40 周年纪念 大会上的 重要讲话 新时代 做好 对台工作 的根本 行动指南 两岸关系 这篇重要讲话 指引 的方向 坚定地 向前 迈进 实现祖国完全统一 是我们 矢志不渝的 历史使命 历史潮流 几十年来 两岸同胞 共同努力下 两岸关系 取得了 历史性的 成就 发生了 历史性的 变化 中华民族伟大复兴 展现 光明 前景的 两岸 交流合作 越来越 同胞 交往 越来越 同胞 亲情 越来越 深厚 相互 心灵 越来越 契合 中华儿女 携手 民族 复兴 中国梦 的力量 越来越 强劲 两岸关系 走近 走实 走顺 走好 祖国 走向 统一 的大势 越来越 清晰 台湾同胞 两岸关系 台湾 才会 的认识 更加深入 推动 祖国 和平统一 进程 造福 两岸同胞 的能力 越来越 强大 两岸关系 形势 依然严峻 的道路 一帆风顺 大道之行 民心所向 势不可当 始终 牢牢把握 两岸关系 主导权 主动权 两岸关系 克难 前行 祖国统一 的方向 迈进 我们将 继续坚持 和平统一 一国两制 的方针 这是 实现祖国完全统一 最佳方式 体现了 台湾同胞 的照顾 关爱 体谅 一国 是历史 定论 台湾 是中国的 一部分 两岸 同属 一个中国 的事实 从未改变 不会改变 中国的主权 领土完整 分割 也不容 分割 两岸 统一 统一 两制 为了照顾 台湾的 现实情况 保障 台湾同胞 的利益 福祉 和平统一 在确保 国家主权 发展利益 的前提下 台湾同胞 生活方式 社会制度 会得到 的尊重 私人财产 宗教信仰 合法权益 会得到 充分的 保障 台湾同胞 的心情 会更 舒畅 日子 会更 安宁 生活会 殷实 天地会 广阔 腰杆 会更 直 底气 更足 制度 统一的 障碍 更不是 分裂的 借口 愿与 台湾同胞 作出努力 在坚持 九二共识 反对 台独 共同基础 台湾 各政党 各界 代表人士 民主协商 深入探讨 两岸关系 民族 未来 两岸关系 和平发展 作出 制度性 安排 推动 两岸 走向 和平统一 的进程 我们将 反对 遏制 台独 分裂 台独 分子 在岛内 极少数 他们是 两岸同胞 敌人 极少数人 形形色色 分裂活动 危害 台海 和平 危害 两岸同胞 的根本利益 危害 台湾同胞 切身利益 阻止 反对 台独 两岸同胞 共同责任 为了维护 中国人民 包括 台湾同胞 共同利益 祖国统一 的大势 滚滚向前 任何人 阻挡不了 我们将 持续深化 两岸 融合 发展 两岸同胞 是一家人 命运 共同体 没有理由 融合 发展 携手 发展 共享发展 秉持 两岸一家亲 的理念 率先 台湾同胞 分享 大陆 发展的 机遇 逐步为台湾同胞在大陆学习 创业 就业 生活 提供 大陆同胞 同等待遇 去年 推出了 惠及 台湾同胞 31 条 措施 深受 台胞 也为 台胞 带来了 扎实的 感 荣誉感 幸福感 列举 几个 例子 去年 共有 2000 多家 台企 获得了 税收 方面的 优惠 100 多家 台企 获得了 专项 政策支持 800 多位 台胞 考取了 热门专业 执照 100 多名 台胞 获得了 五一劳动奖章 荣誉称号 越来越多的 台湾青年 祖国大陆 追梦 筑梦 圆梦 将继续 践行 为中心的 发展理念 台湾同胞 做实事 办好事 解难事 在民族 复兴 进程 中 不会让 台胞 缺席 掉队 我们将 团结 台胞 克服困难 排除障碍 两岸 应通 尽通 构建 两岸 共同市场 台湾同胞 的发展 天地 广阔 内生 动力 充沛 两岸同胞 同根 同种 中华文化 是我们 共同的 传家宝 我们要 台湾同胞 一道 传承 弘扬 优秀 传统文化 不断深化 两岸同胞 之间 的心灵 契合 台湾的 前途 祖国统一 台湾同胞 福祉 系于 民族 复兴 台湾同胞 美好生活 的向往 只能 祖国统一 民族 复兴 进程 中 愿与 台湾同胞 携手 努力 推动两岸关系和平发展 推进祖国和平统一进程 共圆 中华民族伟大复兴的中国梦 共创 两岸同胞 美好的未来,越来越 台湾同胞 会更 两岸关系 两岸同胞 祖国统一 获得了 危害 台胞 会得到 大会上的 我们将 部长通道 复兴 和平统一 民族 历史性的 两岸 统一 进程 的方向 携手 愿与 对台工作 分割 多家 的大势 广阔 迈进 走向
李克强谈港澳台工作,2019,3月5日，第十三届全国人民代表大会第二次会议在北京人民大会堂开幕。国务院总理李克强作政府工作报告。 新华社记者庞兴雷摄,503,503,月 日 第十三届 全国人民代表大会 第二次 会议 北京人民大会堂 开幕 国务院总理 李克强 作 政府工作报告   新华社记者 庞兴雷 摄 新华社 北京 月 日电   国务院总理 李克强 日 在作 政府工作报告 时说 要继续 准确 贯彻 一国两制 港人治港 澳人治澳 高度自治的方针 严格依照宪法和基本法办事 全力支持 香港 澳门特别行政区政府 行政长官 依法 施政 支持 港澳 抓住 共建 一带一路 粤港澳大 湾区 建设的 机遇 更好 发挥 优势 全面深化 内地 互利 合作 我们坚信 香港 澳门 一定能 祖国内地 发展 一定能 长期 繁荣 稳定 要坚持 对台工作 大政方针 贯彻落实 习近平总书记 告台湾同胞书 发表 40 周年纪念 会上 重要讲话精神 一个中国原则 九二共识 推动两岸关系和平发展 推进祖国和平统一进程 坚决反对 遏制 台独 分裂 图谋 行径 坚决维护 国家主权和领土完整 深化 两岸 融合 发展 持续 两岸经济 文化交流 合作 两岸同胞 同根 相系 同命相连 应 携手 共创 共享 中国人的 美好未来 月 日 第十三届 全国人民代表大会 第一次 会议 北京人民大会堂 开幕 国务院总理 李克强 作 政府工作报告   新华社记者   姚大伟   摄 新华社 北京 月 日电   国务院总理 李克强 日 在作 政府工作报告 时说 要继续 准确 贯彻 一国两制 方针 严格依照宪法和基本法办事 全力支持 香港 澳门特别行政区政府 行政长官 依法 施政 大力发展 经济 持续 改善民生 有序推进民主 促进社会和谐 支持 香港 澳门融入国家发展大局 深化 内地 港澳地区 交流合作 我们坚信 香港 澳门 一定能 祖国内地 发展 繁荣 李克强 说 要继续 贯彻 对台工作 大政方针 一个中国原则 九二共识 基础上 推动两岸关系和平发展 推进祖国和平统一进程 坚决维护 国家主权和领土完整 绝不容忍 台独 分裂 图谋 行径 两岸经济 文化交流 合作 逐步为台湾同胞在大陆学习 创业 就业 生活 提供 大陆同胞 同等待遇 两岸 同根 骨肉相亲 两岸同胞 顺应 历史 大势 共担民族大义 共创 中华民族伟大复兴 美好未来,政府工作报告 李克强 国务院总理 香港 一定能 要继续 全力支持 祖国内地 澳门特别行政区政府 贯彻 在作 我们坚信 施政 全国人民代表大会 时说 内地 行政长官 严格依照宪法和基本法办事 第十三届 开幕 繁荣 准确 澳门 北京人民大会堂 同根 坚决维护 依法 会议 共创 美好未来
国台办：“一国两制”是国家统一最佳方式,2019,在2月27日国台办例行新闻发布会上，有记者提问，大陆提出“探索‘两制’台湾方案”，引发台湾舆论对“一国两制”的关注和探讨，但岛内有些人对“一国两制”还有疑虑，请发言人再做进一步阐述。,190,190,月 27 日 国台办 例行 新闻发布会上 记者 提问 大陆 提出 探索 两制 台湾 方案 引发 台湾 舆论 一国两制 的关注 探讨 岛内 有些人 一国两制 疑虑 请 发言人 再做 进一步 阐述 国台办 发言人 安峰山 应询 两岸 同属 一个中国 中国的主权 领土完整 分割 也不可能 分割 这是 不容置疑的事实 充分的 法理 基础 民族 复兴 国家统一 大势所趋 大义 祖国 统一 统一 两岸关系 发展历程 的历史 定论 新时代 中华民族伟大复兴 必然要求 台湾 前途 国家统一 台湾同胞 福祉 系于 民族 复兴 两岸 中国人 共同努力 谋求 国家统一 抚平 历史 创伤 安峰山 说 和平统一 一国两制 是我们 解决台湾问题 基本方针 国家统一 最佳方式 充分考虑 台湾 现实情况 有利于 统一 台湾的 长治久安 一国两制 体现 我们对 台湾同胞 最大的 善意 关爱 会给 台湾同胞 带来 更大的 发展机遇 更好的生活 条件 和平统一 台湾 永保太平 民众 安居乐业 强大 祖国 做 台湾同胞 民生 福祉 会更好 发展空间 更大 在国际上 腰杆 更硬 底气 更足 更加安全 更有 尊严 安峰山 指出 制度 统一的 障碍 更不是 分裂的 借口 一国两制 提出 本来就是 为了照顾 台湾 现实情况 维护 台湾同胞 利益 福祉 习总书记 指出 一国两制 在台湾 具体实现 形式 充分考虑 台湾 现实情况 充分吸收 两岸 各界 意见和建议 照顾到 台湾同胞 利益 感情 在确保 国家主权 发展利益 的前提下 和平统一 台湾同胞 的社会制度 生活方式 将得到 尊重 台湾同胞 私人财产 宗教信仰 合法权益 将得到 充分保障,一国两制 现实情况 国家统一 台湾同胞 将得到 统一 充分考虑 台湾 分割 和平统一 安峰山 福祉 提出 疑虑 不容置疑的事实 再做 祖国 利益 有些人 充分的 的关注 复兴 抚平 本来就是 为了照顾 创伤 永保太平 更好的生活 在确保 民族
国台办：以“钉钉子”精神持续做好“31条措施”落实工作,2019,在2月27日国台办例行新闻发布会上，有记者提问，促进两岸经济文化交流合作的“31条措施”发布实施明天（28日）将满一年，请问一年来 “31条”在推动扩大两岸交流合作中发挥了哪些作用？下一步如何深化落实？,223,223,月 27 日 国台办 例行 新闻发布会上 记者 提问 促进两岸 经济 文化交流 合作的 31 条 措施 发布实施 明天 28 日 满一年 请问 一年来   31 条 推动 两岸 交流合作 中 发挥了 作用 下一步 深化 落实 国台办 发言人 安峰山 应询 颁布实施 31 条 惠及 台湾同胞 措施 体现了 率先 台湾同胞 分享 大陆 发展机遇 真诚 意愿 彰显了 两岸一家亲 的重要 理念 31 条 措施 实施一年 台企 在大陆 的投资 兴业 台胞 在大陆 发展 带来了 实实在在的 好处 取得了 良好效果 一是 提升了 台湾同胞 在大陆 学习 工作 生活的 便利化 二是 台湾同胞 享受 同等待遇 在更大范围 更多 领域 落实 三是 台湾同胞 有更多 参与感 感和 融入 感 进一步促进 两岸 经济社会 融合 发展 安峰山 指出 截至目前 大陆 已有 包括 25 省区市 在内的 72 个地方 制定了 具体落实 举措 涵盖 东部地区 省份 中西部 东北地区 大部分 省份 计划单列市 不少地方 公布了 包括 政策 解读 办事 流程和 联系电话 等内容 实施细则 做到了 条条 案例 项项 有着落 一些地方 本地实际 先行先试 台胞 台企 提供更多 的与 当地居民 企业 同等待遇 近一年来 据不完全统计 已经有 2000 余家台 企 享受到 高新技术企业 等各类 税收优惠 100 多家 台企 工业 转型升级 绿色 制造 智能制造 专项资金 的支持 一批 优秀 台企 中标 北京 新机场 港珠澳大桥 武汉 天兴洲 长江大桥 杭州 城市名片 灯光秀 政府 采购项目 800 多名 台胞 考取了 多个 热门 行业的 资格 100 多名 台胞 五一劳动奖章 三八红旗手 五四青年 奖章 等各类 荣誉称号 2018 年 台生 报考 大陆 高校 人数 台 青来 大陆 就业 实习的 人数 以及由 大陆 就业创业 机构 所提供 服务的 新增 台企 数量 都保持 两位数 增长 越来越多的 台胞 台企 台生 台青 选择 大陆 发展 人生 理想 安峰山 我们将 深入贯彻 习总书记 率先 台湾同胞 分享 大陆 发展机遇 台湾同胞 台湾企业 提供 同等待遇 重要讲话精神 会同 有关部门 和地方 钉钉子 精神 持续 做好 31 条 措施 落实工作 及时协调 解决 台胞 台企 普遍关心 的问题 研究 出台 更多 惠及 台湾同胞 政策措施 台胞 台企 在大陆 发展 提供更多 便利条件 台胞 有更多 感,台企 台胞 台湾同胞 31 省份 大陆 等各类 在大陆 措施 人数 有更多 台生 同等待遇 多名 100 发展 安峰山 实施一年 天兴洲 案例 长江大桥 良好效果 的与 项项 做到了 所提供 条条 行业的 城市名片 流程和
